trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I Need You,M83,181206,french shoegaze,0.187,0.526,2.0,-7.291,1.0,0.0326,0.0261,0.0342,0.172,0.0739,72.259,audio_features,1na2MOlie83rN9sTNRuEOj,spotify:track:1na2MOlie83rN9sTNRuEOj,https://api.spotify.com/v1/tracks/1na2MOlie83rN9sTNRuEOj,https://api.spotify.com/v1/audio-analysis/1na2MOlie83rN9sTNRuEOj,181280.0,4.0
Kim & Jessie,M83,41323,french shoegaze,0.498,0.553,5.0,-6.193,1.0,0.0332,0.000103,0.528,0.273,0.235,111.015,audio_features,1cTu1MiLR4rOyzIzZd6GYP,spotify:track:1cTu1MiLR4rOyzIzZd6GYP,https://api.spotify.com/v1/tracks/1cTu1MiLR4rOyzIzZd6GYP,https://api.spotify.com/v1/audio-analysis/1cTu1MiLR4rOyzIzZd6GYP,322933.0,4.0
Midnight City,M83,5825994,french shoegaze,0.526,0.712,11.0,-6.525,0.0,0.0356,0.0161,0.0,0.179,0.32,105.009,audio_features,1eyzqe2QqGZUmfcPZtrIyt,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,241440.0,4.0
Midnight City - Eric Prydz Private Remix,M83,244947,french shoegaze,0.534,0.849,11.0,-7.415,0.0,0.0678,0.00087,0.508,0.552,0.398,125.009,audio_features,53YYzXe4shE5FF13XBrhGz,spotify:track:53YYzXe4shE5FF13XBrhGz,https://api.spotify.com/v1/tracks/53YYzXe4shE5FF13XBrhGz,https://api.spotify.com/v1/audio-analysis/53YYzXe4shE5FF13XBrhGz,357242.0,4.0
My Tears Are Becoming a Sea,M83,151748,french shoegaze,0.194,0.376,4.0,-11.356,1.0,0.0463,0.11,0.386,0.593,0.0723,48.637,audio_features,1Fwj0wThn3kTg8D7KgWdsU,spotify:track:1Fwj0wThn3kTg8D7KgWdsU,https://api.spotify.com/v1/tracks/1Fwj0wThn3kTg8D7KgWdsU,https://api.spotify.com/v1/audio-analysis/1Fwj0wThn3kTg8D7KgWdsU,151827.0,3.0
Oblivion,M83,356508,french shoegaze,0.399,0.612,4.0,-7.814,0.0,0.0358,0.00317,0.33,0.127,0.0567,128.167,audio_features,79npfYK6N5RnBc1jiaoHCr,spotify:track:79npfYK6N5RnBc1jiaoHCr,https://api.spotify.com/v1/tracks/79npfYK6N5RnBc1jiaoHCr,https://api.spotify.com/v1/audio-analysis/79npfYK6N5RnBc1jiaoHCr,356674.0,4.0
Outro,M83,398482,french shoegaze,0.226,0.261,2.0,-11.276,1.0,0.0339,0.0301,0.0677,0.0628,0.084,108.915,audio_features,2QVmiA93GVhWNTWQctyY1K,spotify:track:2QVmiA93GVhWNTWQctyY1K,https://api.spotify.com/v1/tracks/2QVmiA93GVhWNTWQctyY1K,https://api.spotify.com/v1/audio-analysis/2QVmiA93GVhWNTWQctyY1K,247027.0,4.0
StarWaves,M83,220817,french shoegaze,0.321,0.177,8.0,-12.708,1.0,0.035,0.237,0.837,0.102,0.0399,99.088,audio_features,0v9Ud7xm4hiYEFu5nKcYzC,spotify:track:0v9Ud7xm4hiYEFu5nKcYzC,https://api.spotify.com/v1/tracks/0v9Ud7xm4hiYEFu5nKcYzC,https://api.spotify.com/v1/audio-analysis/0v9Ud7xm4hiYEFu5nKcYzC,221022.0,4.0
Wait,M83,686194,french shoegaze,0.437,0.229,2.0,-10.514,1.0,0.0308,0.221,0.0599,0.0935,0.0754,147.911,audio_features,3rTnGUeDrnZV22DvRuUuXr,spotify:track:3rTnGUeDrnZV22DvRuUuXr,https://api.spotify.com/v1/tracks/3rTnGUeDrnZV22DvRuUuXr,https://api.spotify.com/v1/audio-analysis/3rTnGUeDrnZV22DvRuUuXr,343253.0,4.0
I Need You,M83,181206,french shoegaze,0.187,0.526,2.0,-7.291,1.0,0.0326,0.0261,0.0342,0.172,0.0739,72.259,audio_features,1na2MOlie83rN9sTNRuEOj,spotify:track:1na2MOlie83rN9sTNRuEOj,https://api.spotify.com/v1/tracks/1na2MOlie83rN9sTNRuEOj,https://api.spotify.com/v1/audio-analysis/1na2MOlie83rN9sTNRuEOj,181280.0,4.0
