trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Burden,Subtact,224832,future bass,0.55,0.285,7.0,-16.903,1.0,0.0343,0.72,0.516,0.0986,0.0472,89.968,audio_features,33GiPCZF3WRncZ98s1zrmM,spotify:track:33GiPCZF3WRncZ98s1zrmM,https://api.spotify.com/v1/tracks/33GiPCZF3WRncZ98s1zrmM,https://api.spotify.com/v1/audio-analysis/33GiPCZF3WRncZ98s1zrmM,225000.0,4.0
By My Side,smle,42902,future bass,0.739,0.525,1.0,-7.642,1.0,0.141,0.0657,0.0885,0.112,0.427,84.654,audio_features,6l5507qzfCtItxXClqkOJ6,spotify:track:6l5507qzfCtItxXClqkOJ6,https://api.spotify.com/v1/tracks/6l5507qzfCtItxXClqkOJ6,https://api.spotify.com/v1/audio-analysis/6l5507qzfCtItxXClqkOJ6,152307.0,4.0
Color,Grant,4881212,future bass,0.659,0.672,4.0,-7.56,0.0,0.0975,0.0535,3.37e-05,0.0941,0.289,110.04,audio_features,5gneV1qwaIndUU4aZ3uhXP,spotify:track:5gneV1qwaIndUU4aZ3uhXP,https://api.spotify.com/v1/tracks/5gneV1qwaIndUU4aZ3uhXP,https://api.spotify.com/v1/audio-analysis/5gneV1qwaIndUU4aZ3uhXP,213818.0,4.0
Favor,Vindata,1585840,future bass,0.617,0.644,0.0,-6.681,1.0,0.0881,0.0577,2.06e-05,0.0906,0.182,140.051,audio_features,6YD9XQ6woFtacq7kPCfEGL,spotify:track:6YD9XQ6woFtacq7kPCfEGL,https://api.spotify.com/v1/tracks/6YD9XQ6woFtacq7kPCfEGL,https://api.spotify.com/v1/audio-analysis/6YD9XQ6woFtacq7kPCfEGL,222857.0,4.0
Move On,Grant,182057,future bass,0.492,0.812,8.0,-5.446,1.0,0.119,0.132,0.0,0.26,0.607,80.281,audio_features,5jnoK2o5jY46qhPR30RepX,spotify:track:5jnoK2o5jY46qhPR30RepX,https://api.spotify.com/v1/tracks/5jnoK2o5jY46qhPR30RepX,https://api.spotify.com/v1/audio-analysis/5jnoK2o5jY46qhPR30RepX,182250.0,4.0
Sad About It,Gill Chang,4245012,future bass,0.786,0.761,0.0,-2.53,1.0,0.0997,0.614,1.24e-06,0.125,0.388,139.968,audio_features,5Wvg1nzVtPcw0BfVrOQ2dY,spotify:track:5Wvg1nzVtPcw0BfVrOQ2dY,https://api.spotify.com/v1/tracks/5Wvg1nzVtPcw0BfVrOQ2dY,https://api.spotify.com/v1/audio-analysis/5Wvg1nzVtPcw0BfVrOQ2dY,223714.0,4.0
Shut The World Out,Kasbo,245240,future bass,0.496,0.679,8.0,-6.893,1.0,0.0345,0.0308,0.00327,0.316,0.224,105.059,audio_features,3Up1MsHqcxUVgB2iuqFRq2,spotify:track:3Up1MsHqcxUVgB2iuqFRq2,https://api.spotify.com/v1/tracks/3Up1MsHqcxUVgB2iuqFRq2,https://api.spotify.com/v1/audio-analysis/3Up1MsHqcxUVgB2iuqFRq2,268966.0,4.0
Sleepwalking,munro,329508,future bass,0.426,0.491,5.0,-6.66,0.0,0.0365,0.474,0.00331,0.083,0.0701,61.063,audio_features,4k36VDWDSL7WrGWetWDWYL,spotify:track:4k36VDWDSL7WrGWetWDWYL,https://api.spotify.com/v1/tracks/4k36VDWDSL7WrGWetWDWYL,https://api.spotify.com/v1/audio-analysis/4k36VDWDSL7WrGWetWDWYL,329508.0,3.0
Why Do I Try,Gill Chang,289650,future bass,0.713,0.867,5.0,-1.237,1.0,0.0313,0.582,8.38e-05,0.116,0.792,130.009,audio_features,2Ic3ZpvOSXUsmXcIrFpwz4,spotify:track:2Ic3ZpvOSXUsmXcIrFpwz4,https://api.spotify.com/v1/tracks/2Ic3ZpvOSXUsmXcIrFpwz4,https://api.spotify.com/v1/audio-analysis/2Ic3ZpvOSXUsmXcIrFpwz4,187418.0,4.0
Burden,Subtact,224832,future bass,0.55,0.285,7.0,-16.903,1.0,0.0343,0.72,0.516,0.0986,0.0472,89.968,audio_features,33GiPCZF3WRncZ98s1zrmM,spotify:track:33GiPCZF3WRncZ98s1zrmM,https://api.spotify.com/v1/tracks/33GiPCZF3WRncZ98s1zrmM,https://api.spotify.com/v1/audio-analysis/33GiPCZF3WRncZ98s1zrmM,225000.0,4.0
By My Side,smle,42902,future bass,0.739,0.525,1.0,-7.642,1.0,0.141,0.0657,0.0885,0.112,0.427,84.654,audio_features,6l5507qzfCtItxXClqkOJ6,spotify:track:6l5507qzfCtItxXClqkOJ6,https://api.spotify.com/v1/tracks/6l5507qzfCtItxXClqkOJ6,https://api.spotify.com/v1/audio-analysis/6l5507qzfCtItxXClqkOJ6,152307.0,4.0
Color,Grant,4881212,future bass,0.659,0.672,4.0,-7.56,0.0,0.0975,0.0535,3.37e-05,0.0941,0.289,110.04,audio_features,5gneV1qwaIndUU4aZ3uhXP,spotify:track:5gneV1qwaIndUU4aZ3uhXP,https://api.spotify.com/v1/tracks/5gneV1qwaIndUU4aZ3uhXP,https://api.spotify.com/v1/audio-analysis/5gneV1qwaIndUU4aZ3uhXP,213818.0,4.0
Favor,Vindata,1585840,future bass,0.617,0.644,0.0,-6.681,1.0,0.0881,0.0577,2.06e-05,0.0906,0.182,140.051,audio_features,6YD9XQ6woFtacq7kPCfEGL,spotify:track:6YD9XQ6woFtacq7kPCfEGL,https://api.spotify.com/v1/tracks/6YD9XQ6woFtacq7kPCfEGL,https://api.spotify.com/v1/audio-analysis/6YD9XQ6woFtacq7kPCfEGL,222857.0,4.0
Move On,Grant,182057,future bass,0.492,0.812,8.0,-5.446,1.0,0.119,0.132,0.0,0.26,0.607,80.281,audio_features,5jnoK2o5jY46qhPR30RepX,spotify:track:5jnoK2o5jY46qhPR30RepX,https://api.spotify.com/v1/tracks/5jnoK2o5jY46qhPR30RepX,https://api.spotify.com/v1/audio-analysis/5jnoK2o5jY46qhPR30RepX,182250.0,4.0
Sad About It,Gill Chang,4245012,future bass,0.786,0.761,0.0,-2.53,1.0,0.0997,0.614,1.24e-06,0.125,0.388,139.968,audio_features,5Wvg1nzVtPcw0BfVrOQ2dY,spotify:track:5Wvg1nzVtPcw0BfVrOQ2dY,https://api.spotify.com/v1/tracks/5Wvg1nzVtPcw0BfVrOQ2dY,https://api.spotify.com/v1/audio-analysis/5Wvg1nzVtPcw0BfVrOQ2dY,223714.0,4.0
Shut The World Out,Kasbo,245240,future bass,0.496,0.679,8.0,-6.893,1.0,0.0345,0.0308,0.00327,0.316,0.224,105.059,audio_features,3Up1MsHqcxUVgB2iuqFRq2,spotify:track:3Up1MsHqcxUVgB2iuqFRq2,https://api.spotify.com/v1/tracks/3Up1MsHqcxUVgB2iuqFRq2,https://api.spotify.com/v1/audio-analysis/3Up1MsHqcxUVgB2iuqFRq2,268966.0,4.0
Sleepwalking,munro,329508,future bass,0.426,0.491,5.0,-6.66,0.0,0.0365,0.474,0.00331,0.083,0.0701,61.063,audio_features,4k36VDWDSL7WrGWetWDWYL,spotify:track:4k36VDWDSL7WrGWetWDWYL,https://api.spotify.com/v1/tracks/4k36VDWDSL7WrGWetWDWYL,https://api.spotify.com/v1/audio-analysis/4k36VDWDSL7WrGWetWDWYL,329508.0,3.0
Why Do I Try,Gill Chang,289650,future bass,0.713,0.867,5.0,-1.237,1.0,0.0313,0.582,8.38e-05,0.116,0.792,130.009,audio_features,2Ic3ZpvOSXUsmXcIrFpwz4,spotify:track:2Ic3ZpvOSXUsmXcIrFpwz4,https://api.spotify.com/v1/tracks/2Ic3ZpvOSXUsmXcIrFpwz4,https://api.spotify.com/v1/audio-analysis/2Ic3ZpvOSXUsmXcIrFpwz4,187418.0,4.0
