trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Band-Aid,Halvorsen,1575015,gaming edm,0.771,0.706,6.0,-9.089,1.0,0.256,0.0161,0.000143,0.0911,0.846,110.089,audio_features,0TthKUCausuhIBCgnGGI37,spotify:track:0TthKUCausuhIBCgnGGI37,https://api.spotify.com/v1/tracks/0TthKUCausuhIBCgnGGI37,https://api.spotify.com/v1/audio-analysis/0TthKUCausuhIBCgnGGI37,178909.0,4.0
Castle,Clarx,1057223,gaming edm,0.672,0.759,8.0,-7.761,1.0,0.0266,0.0826,0.00225,0.19,0.217,110.005,audio_features,7tUToegtVh5dodpcqaYrHo,spotify:track:7tUToegtVh5dodpcqaYrHo,https://api.spotify.com/v1/tracks/7tUToegtVh5dodpcqaYrHo,https://api.spotify.com/v1/audio-analysis/7tUToegtVh5dodpcqaYrHo,158182.0,4.0
Galaxies,Protostar,245114,gaming edm,0.426,0.91,1.0,-1.948,1.0,0.0365,0.000329,0.553,0.106,0.295,175.961,audio_features,2xO3tUdbE42rjV81NrQJ0S,spotify:track:2xO3tUdbE42rjV81NrQJ0S,https://api.spotify.com/v1/tracks/2xO3tUdbE42rjV81NrQJ0S,https://api.spotify.com/v1/audio-analysis/2xO3tUdbE42rjV81NrQJ0S,245114.0,4.0
Hate You,Jim Yosef,6056472,gaming edm,0.651,0.661,10.0,-5.088,0.0,0.0322,0.572,0.0,0.121,0.389,97.056,audio_features,1ZbzOXEYMJNT1zxqLHyCfA,spotify:track:1ZbzOXEYMJNT1zxqLHyCfA,https://api.spotify.com/v1/tracks/1ZbzOXEYMJNT1zxqLHyCfA,https://api.spotify.com/v1/audio-analysis/1ZbzOXEYMJNT1zxqLHyCfA,197945.0,4.0
Shooting Star,Anna Yvette,2597914,gaming edm,0.56,0.742,8.0,-5.28,1.0,0.0301,0.0171,0.0,0.178,0.387,125.027,audio_features,3NaTMzagO4nwJVKL9tXcWm,spotify:track:3NaTMzagO4nwJVKL9tXcWm,https://api.spotify.com/v1/tracks/3NaTMzagO4nwJVKL9tXcWm,https://api.spotify.com/v1/audio-analysis/3NaTMzagO4nwJVKL9tXcWm,239839.0,4.0
War Zone,Unknown Brain,3567398,gaming edm,0.372,0.835,10.0,-4.049,0.0,0.264,0.156,0.000369,0.0973,0.463,80.014,audio_features,134KuDqugUFSbDUk0kZmLk,spotify:track:134KuDqugUFSbDUk0kZmLk,https://api.spotify.com/v1/tracks/134KuDqugUFSbDUk0kZmLk,https://api.spotify.com/v1/audio-analysis/134KuDqugUFSbDUk0kZmLk,183008.0,4.0
Band-Aid,Halvorsen,1575015,gaming edm,0.771,0.706,6.0,-9.089,1.0,0.256,0.0161,0.000143,0.0911,0.846,110.089,audio_features,0TthKUCausuhIBCgnGGI37,spotify:track:0TthKUCausuhIBCgnGGI37,https://api.spotify.com/v1/tracks/0TthKUCausuhIBCgnGGI37,https://api.spotify.com/v1/audio-analysis/0TthKUCausuhIBCgnGGI37,178909.0,4.0
Castle,Clarx,1057223,gaming edm,0.672,0.759,8.0,-7.761,1.0,0.0266,0.0826,0.00225,0.19,0.217,110.005,audio_features,7tUToegtVh5dodpcqaYrHo,spotify:track:7tUToegtVh5dodpcqaYrHo,https://api.spotify.com/v1/tracks/7tUToegtVh5dodpcqaYrHo,https://api.spotify.com/v1/audio-analysis/7tUToegtVh5dodpcqaYrHo,158182.0,4.0
Galaxies,Protostar,245114,gaming edm,0.426,0.91,1.0,-1.948,1.0,0.0365,0.000329,0.553,0.106,0.295,175.961,audio_features,2xO3tUdbE42rjV81NrQJ0S,spotify:track:2xO3tUdbE42rjV81NrQJ0S,https://api.spotify.com/v1/tracks/2xO3tUdbE42rjV81NrQJ0S,https://api.spotify.com/v1/audio-analysis/2xO3tUdbE42rjV81NrQJ0S,245114.0,4.0
Hate You,Jim Yosef,6056472,gaming edm,0.651,0.661,10.0,-5.088,0.0,0.0322,0.572,0.0,0.121,0.389,97.056,audio_features,1ZbzOXEYMJNT1zxqLHyCfA,spotify:track:1ZbzOXEYMJNT1zxqLHyCfA,https://api.spotify.com/v1/tracks/1ZbzOXEYMJNT1zxqLHyCfA,https://api.spotify.com/v1/audio-analysis/1ZbzOXEYMJNT1zxqLHyCfA,197945.0,4.0
Shooting Star,Anna Yvette,2597914,gaming edm,0.56,0.742,8.0,-5.28,1.0,0.0301,0.0171,0.0,0.178,0.387,125.027,audio_features,3NaTMzagO4nwJVKL9tXcWm,spotify:track:3NaTMzagO4nwJVKL9tXcWm,https://api.spotify.com/v1/tracks/3NaTMzagO4nwJVKL9tXcWm,https://api.spotify.com/v1/audio-analysis/3NaTMzagO4nwJVKL9tXcWm,239839.0,4.0
War Zone,Unknown Brain,3567398,gaming edm,0.372,0.835,10.0,-4.049,0.0,0.264,0.156,0.000369,0.0973,0.463,80.014,audio_features,134KuDqugUFSbDUk0kZmLk,spotify:track:134KuDqugUFSbDUk0kZmLk,https://api.spotify.com/v1/tracks/134KuDqugUFSbDUk0kZmLk,https://api.spotify.com/v1/audio-analysis/134KuDqugUFSbDUk0kZmLk,183008.0,4.0
