trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Cane Shuga,Glass Animals,5385966,gauze pop,0.796,0.794,5.0,-5.661,0.0,0.0386,0.536,0.29,0.0896,0.853,136.055,audio_features,7GHqPV9RCRofSXh68htAkg,spotify:track:7GHqPV9RCRofSXh68htAkg,https://api.spotify.com/v1/tracks/7GHqPV9RCRofSXh68htAkg,https://api.spotify.com/v1/audio-analysis/7GHqPV9RCRofSXh68htAkg,196570.0,4.0
Caught in the Strange,Racing Glaciers,205402,gauze pop,0.414,0.181,7.0,-15.892,0.0,0.0309,0.657,0.896,0.102,0.0389,137.046,audio_features,67SFgwRk1tnYDIIB10j78g,spotify:track:67SFgwRk1tnYDIIB10j78g,https://api.spotify.com/v1/tracks/67SFgwRk1tnYDIIB10j78g,https://api.spotify.com/v1/audio-analysis/67SFgwRk1tnYDIIB10j78g,205403.0,4.0
Heat Waves,Glass Animals,2944992,gauze pop,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805.0,4.0
Heat Waves (with iann dior),Glass Animals,175301,gauze pop,0.655,0.716,8.0,-5.077,0.0,0.0897,0.476,0.0,0.479,0.521,80.813,audio_features,2CEsWDkJQjZyYyZQpxmPVg,spotify:track:2CEsWDkJQjZyYyZQpxmPVg,https://api.spotify.com/v1/tracks/2CEsWDkJQjZyYyZQpxmPVg,https://api.spotify.com/v1/audio-analysis/2CEsWDkJQjZyYyZQpxmPVg,175302.0,4.0
Heat Waves - Slowed,Glass Animals,15163,gauze pop,0.633,0.55,9.0,-9.965,1.0,0.0924,0.649,0.000363,0.147,0.333,147.099,audio_features,1K2RnVhm3eauKnA8PAcPu1,spotify:track:1K2RnVhm3eauKnA8PAcPu1,https://api.spotify.com/v1/tracks/1K2RnVhm3eauKnA8PAcPu1,https://api.spotify.com/v1/audio-analysis/1K2RnVhm3eauKnA8PAcPu1,262248.0,4.0
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,1380293,gauze pop,0.703,0.624,7.0,-6.228,1.0,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,audio_features,6IbCvfmmICEEAyDwQ9zcbt,spotify:track:6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/tracks/6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/audio-analysis/6IbCvfmmICEEAyDwQ9zcbt,195191.0,4.0
Cane Shuga,Glass Animals,5385966,gauze pop,0.796,0.794,5.0,-5.661,0.0,0.0386,0.536,0.29,0.0896,0.853,136.055,audio_features,7GHqPV9RCRofSXh68htAkg,spotify:track:7GHqPV9RCRofSXh68htAkg,https://api.spotify.com/v1/tracks/7GHqPV9RCRofSXh68htAkg,https://api.spotify.com/v1/audio-analysis/7GHqPV9RCRofSXh68htAkg,196570.0,4.0
Caught in the Strange,Racing Glaciers,205402,gauze pop,0.414,0.181,7.0,-15.892,0.0,0.0309,0.657,0.896,0.102,0.0389,137.046,audio_features,67SFgwRk1tnYDIIB10j78g,spotify:track:67SFgwRk1tnYDIIB10j78g,https://api.spotify.com/v1/tracks/67SFgwRk1tnYDIIB10j78g,https://api.spotify.com/v1/audio-analysis/67SFgwRk1tnYDIIB10j78g,205403.0,4.0
Heat Waves,Glass Animals,2944992,gauze pop,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805.0,4.0
Heat Waves (with iann dior),Glass Animals,175301,gauze pop,0.655,0.716,8.0,-5.077,0.0,0.0897,0.476,0.0,0.479,0.521,80.813,audio_features,2CEsWDkJQjZyYyZQpxmPVg,spotify:track:2CEsWDkJQjZyYyZQpxmPVg,https://api.spotify.com/v1/tracks/2CEsWDkJQjZyYyZQpxmPVg,https://api.spotify.com/v1/audio-analysis/2CEsWDkJQjZyYyZQpxmPVg,175302.0,4.0
Heat Waves - Slowed,Glass Animals,15163,gauze pop,0.633,0.55,9.0,-9.965,1.0,0.0924,0.649,0.000363,0.147,0.333,147.099,audio_features,1K2RnVhm3eauKnA8PAcPu1,spotify:track:1K2RnVhm3eauKnA8PAcPu1,https://api.spotify.com/v1/tracks/1K2RnVhm3eauKnA8PAcPu1,https://api.spotify.com/v1/audio-analysis/1K2RnVhm3eauKnA8PAcPu1,262248.0,4.0
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,1380293,gauze pop,0.703,0.624,7.0,-6.228,1.0,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,audio_features,6IbCvfmmICEEAyDwQ9zcbt,spotify:track:6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/tracks/6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/audio-analysis/6IbCvfmmICEEAyDwQ9zcbt,195191.0,4.0
