trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A Place Among the Stars,Hans Zimmer,1670916,german soundtrack,0.171,0.0325,4.0,-25.382,0.0,0.043,0.97,0.87,0.0756,0.0284,70.821,audio_features,7KNoh3Bn4QfgkIGBywkAB0,spotify:track:7KNoh3Bn4QfgkIGBywkAB0,https://api.spotify.com/v1/tracks/7KNoh3Bn4QfgkIGBywkAB0,https://api.spotify.com/v1/audio-analysis/7KNoh3Bn4QfgkIGBywkAB0,207118.0,3.0
Afraid of Time,Hans Zimmer,1311152,german soundtrack,0.245,0.00336,9.0,-38.793,0.0,0.0451,0.92,0.0234,0.119,0.0505,119.949,audio_features,1UbDqlLHBY7SxKVamO6hqJ,spotify:track:1UbDqlLHBY7SxKVamO6hqJ,https://api.spotify.com/v1/tracks/1UbDqlLHBY7SxKVamO6hqJ,https://api.spotify.com/v1/audio-analysis/1UbDqlLHBY7SxKVamO6hqJ,152673.0,3.0
Atmospheric Entry,Hans Zimmer,844679,german soundtrack,0.0681,0.00552,0.0,-36.657,1.0,0.0611,0.000225,0.573,0.116,0.0282,74.42,audio_features,3rrIDEeu3ih9dAzop5LiPk,spotify:track:3rrIDEeu3ih9dAzop5LiPk,https://api.spotify.com/v1/tracks/3rrIDEeu3ih9dAzop5LiPk,https://api.spotify.com/v1/audio-analysis/3rrIDEeu3ih9dAzop5LiPk,100986.0,3.0
You’re Where You Belong / Give ‘Em Hell,Harold Faltermeyer,24142,german soundtrack,0.157,0.0927,2.0,-20.179,1.0,0.0379,0.587,0.779,0.111,0.0325,145.73,audio_features,5aAFhwGmoTsYd3ICgj5Ms2,spotify:track:5aAFhwGmoTsYd3ICgj5Ms2,https://api.spotify.com/v1/tracks/5aAFhwGmoTsYd3ICgj5Ms2,https://api.spotify.com/v1/audio-analysis/5aAFhwGmoTsYd3ICgj5Ms2,346347.0,4.0
Cornfield Chase,Hans Zimmer,6180202,german soundtrack,0.18,0.226,9.0,-16.457,0.0,0.042,0.951,0.982,0.0998,0.048,94.079,audio_features,6pWgRkpqVfxnj3WuIcJ7WP,spotify:track:6pWgRkpqVfxnj3WuIcJ7WP,https://api.spotify.com/v1/tracks/6pWgRkpqVfxnj3WuIcJ7WP,https://api.spotify.com/v1/audio-analysis/6pWgRkpqVfxnj3WuIcJ7WP,126960.0,4.0
Coward,Hans Zimmer,3439997,german soundtrack,0.427,0.262,0.0,-18.505,1.0,0.0429,0.244,0.879,0.227,0.0405,119.983,audio_features,4GBZUZe04pHVN0TLhejCSS,spotify:track:4GBZUZe04pHVN0TLhejCSS,https://api.spotify.com/v1/tracks/4GBZUZe04pHVN0TLhejCSS,https://api.spotify.com/v1/audio-analysis/4GBZUZe04pHVN0TLhejCSS,506876.0,4.0
Davy Jones,Hans Zimmer,11031,german soundtrack,0.31,0.0558,9.0,-19.072,0.0,0.0285,0.475,0.0447,0.127,0.106,79.924,audio_features,6buHoQU9OTdbJrAuniVwGL,spotify:track:6buHoQU9OTdbJrAuniVwGL,https://api.spotify.com/v1/tracks/6buHoQU9OTdbJrAuniVwGL,https://api.spotify.com/v1/audio-analysis/6buHoQU9OTdbJrAuniVwGL,195240.0,4.0
Day One,Hans Zimmer,2140569,german soundtrack,0.311,0.0173,9.0,-27.788,0.0,0.0348,0.927,0.964,0.0727,0.0658,95.985,audio_features,4WmB04GBqS4xPMYN9dHgBw,spotify:track:4WmB04GBqS4xPMYN9dHgBw,https://api.spotify.com/v1/tracks/4WmB04GBqS4xPMYN9dHgBw,https://api.spotify.com/v1/audio-analysis/4WmB04GBqS4xPMYN9dHgBw,199423.0,3.0
Day One - Original Demo,Hans Zimmer,1853041,german soundtrack,0.347,0.0213,9.0,-24.608,0.0,0.0356,0.97,0.926,0.0803,0.0385,96.101,audio_features,1GelvXCuNRJkSTV8UwAAGw,spotify:track:1GelvXCuNRJkSTV8UwAAGw,https://api.spotify.com/v1/tracks/1GelvXCuNRJkSTV8UwAAGw,https://api.spotify.com/v1/audio-analysis/1GelvXCuNRJkSTV8UwAAGw,229146.0,3.0
Day One Dark,Hans Zimmer,4442581,german soundtrack,0.301,0.308,9.0,-18.163,0.0,0.0481,0.698,0.924,0.345,0.11,119.967,audio_features,1fVtXWaLht2ACju6yLRrRf,spotify:track:1fVtXWaLht2ACju6yLRrRf,https://api.spotify.com/v1/tracks/1fVtXWaLht2ACju6yLRrRf,https://api.spotify.com/v1/audio-analysis/1fVtXWaLht2ACju6yLRrRf,417240.0,3.0
