trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
|BONKERS|,staplegun,124898,gym phonk,0.751,0.946,0.0,-6.47,1.0,0.393,0.0766,0.878,0.22,0.542,148.027,audio_features,2G23H0snYYKYqRlyFvVObS,spotify:track:2G23H0snYYKYqRlyFvVObS,https://api.spotify.com/v1/tracks/2G23H0snYYKYqRlyFvVObS,https://api.spotify.com/v1/audio-analysis/2G23H0snYYKYqRlyFvVObS,212335.0,4.0
CURSED,MoonDeity,155427,gym phonk,0.688,0.708,0.0,-4.961,1.0,0.246,0.339,0.909,0.584,0.39,123.921,audio_features,4Cl2yoVbGozFm97tBNgq0L,spotify:track:4Cl2yoVbGozFm97tBNgq0L,https://api.spotify.com/v1/tracks/4Cl2yoVbGozFm97tBNgq0L,https://api.spotify.com/v1/audio-analysis/4Cl2yoVbGozFm97tBNgq0L,155542.0,4.0
Demons Around,yatashigang,165525,gym phonk,0.448,0.673,5.0,-6.851,0.0,0.34,0.017,0.000156,0.176,0.187,181.127,audio_features,7KXAgGAHEB1Ny89pL6eEA0,spotify:track:7KXAgGAHEB1Ny89pL6eEA0,https://api.spotify.com/v1/tracks/7KXAgGAHEB1Ny89pL6eEA0,https://api.spotify.com/v1/audio-analysis/7KXAgGAHEB1Ny89pL6eEA0,165559.0,4.0
Electric,MOON,157313,gym phonk,0.682,0.746,11.0,-6.372,1.0,0.192,0.00512,0.401,0.196,0.392,129.995,audio_features,1EZTyuldgPG3zfh0TyJtTl,spotify:track:1EZTyuldgPG3zfh0TyJtTl,https://api.spotify.com/v1/tracks/1EZTyuldgPG3zfh0TyJtTl,https://api.spotify.com/v1/audio-analysis/1EZTyuldgPG3zfh0TyJtTl,110769.0,4.0
FIGHT!,MoonDeity,151842,gym phonk,0.701,0.9,1.0,1.099,1.0,0.129,0.00158,0.946,0.626,0.506,109.135,audio_features,2KOR0FNI6I9OgSH0w59oCI,spotify:track:2KOR0FNI6I9OgSH0w59oCI,https://api.spotify.com/v1/tracks/2KOR0FNI6I9OgSH0w59oCI,https://api.spotify.com/v1/audio-analysis/2KOR0FNI6I9OgSH0w59oCI,116767.0,4.0
GO!,MoonDeity,149828,gym phonk,0.708,0.912,7.0,-3.189,1.0,0.0838,0.487,0.0177,0.79,0.571,118.013,audio_features,3Fmzn4AgdZ0owwgmomtY9l,spotify:track:3Fmzn4AgdZ0owwgmomtY9l,https://api.spotify.com/v1/tracks/3Fmzn4AgdZ0owwgmomtY9l,https://api.spotify.com/v1/audio-analysis/3Fmzn4AgdZ0owwgmomtY9l,150466.0,4.0
GigaChad Theme (Phonk House Version) - Sped Up,g3ox_em,122349,gym phonk,0.494,0.536,9.0,-5.758,1.0,0.0588,0.000928,0.931,0.188,0.69,153.933,audio_features,23Ax0HD24WJH0GALIsqZ8H,spotify:track:23Ax0HD24WJH0GALIsqZ8H,https://api.spotify.com/v1/tracks/23Ax0HD24WJH0GALIsqZ8H,https://api.spotify.com/v1/audio-analysis/23Ax0HD24WJH0GALIsqZ8H,122350.0,4.0
GigaChad Theme - Phonk House Version,g3ox_em,51194,gym phonk,0.588,0.496,9.0,-5.947,1.0,0.0417,0.00166,0.936,0.186,0.582,128.001,audio_features,7mLWNwcvwRdEviz6SfYp8A,spotify:track:7mLWNwcvwRdEviz6SfYp8A,https://api.spotify.com/v1/tracks/7mLWNwcvwRdEviz6SfYp8A,https://api.spotify.com/v1/audio-analysis/7mLWNwcvwRdEviz6SfYp8A,146274.0,4.0
God's Revenge,Feerix,44562,gym phonk,0.725,0.955,0.0,-1.477,1.0,0.167,0.000661,0.0366,0.409,0.445,128.024,audio_features,7x3SAQDjvfr7is2O4xZZ4u,spotify:track:7x3SAQDjvfr7is2O4xZZ4u,https://api.spotify.com/v1/tracks/7x3SAQDjvfr7is2O4xZZ4u,https://api.spotify.com/v1/audio-analysis/7x3SAQDjvfr7is2O4xZZ4u,124687.0,4.0
HEART RATE,CURSEDEVIL,125333,gym phonk,0.882,0.66,8.0,-2.982,0.0,0.281,0.384,0.0798,0.119,0.46,130.06,audio_features,2ht13ee9lxkXCMOxVQo0jB,spotify:track:2ht13ee9lxkXCMOxVQo0jB,https://api.spotify.com/v1/tracks/2ht13ee9lxkXCMOxVQo0jB,https://api.spotify.com/v1/audio-analysis/2ht13ee9lxkXCMOxVQo0jB,125538.0,4.0
IMMACULATE,VISXGE,794123,gym phonk,0.78,0.385,7.0,-7.568,1.0,0.358,0.00151,5.3e-06,0.661,0.34,117.931,audio_features,5Txeau6Fi96zS4THXUJ4w7,spotify:track:5Txeau6Fi96zS4THXUJ4w7,https://api.spotify.com/v1/tracks/5Txeau6Fi96zS4THXUJ4w7,https://api.spotify.com/v1/audio-analysis/5Txeau6Fi96zS4THXUJ4w7,140874.0,4.0
NEON BLADE,MoonDeity,3830139,gym phonk,0.548,0.996,7.0,-2.169,1.0,0.112,0.0284,0.92,0.595,0.893,94.999,audio_features,0iUrxveyNUBfj0cqjYEijt,spotify:track:0iUrxveyNUBfj0cqjYEijt,https://api.spotify.com/v1/tracks/0iUrxveyNUBfj0cqjYEijt,https://api.spotify.com/v1/audio-analysis/0iUrxveyNUBfj0cqjYEijt,265263.0,4.0
NEON BLADE - Slowed + Reverb,MoonDeity,236900,gym phonk,0.502,0.997,1.0,-2.803,1.0,0.103,0.0595,0.962,0.438,0.968,82.876,audio_features,7kDFbQE78O8SDBzOthsKNM,spotify:track:7kDFbQE78O8SDBzOthsKNM,https://api.spotify.com/v1/tracks/7kDFbQE78O8SDBzOthsKNM,https://api.spotify.com/v1/audio-analysis/7kDFbQE78O8SDBzOthsKNM,304091.0,4.0
NEON BLADE - Sped Up,MoonDeity,11183,gym phonk,0.512,0.977,9.0,-11.67,0.0,0.0646,0.00284,0.968,0.192,0.89,104.827,audio_features,3D9ulQZoQfdGbt9JCLgdjd,spotify:track:3D9ulQZoQfdGbt9JCLgdjd,https://api.spotify.com/v1/tracks/3D9ulQZoQfdGbt9JCLgdjd,https://api.spotify.com/v1/audio-analysis/3D9ulQZoQfdGbt9JCLgdjd,164258.0,4.0
OBELISK,STAYSOLD,576791,gym phonk,0.629,0.558,1.0,-7.422,1.0,0.274,0.0428,0.834,0.155,0.298,119.991,audio_features,40ChhbByhzoIOs6NzSIT3n,spotify:track:40ChhbByhzoIOs6NzSIT3n,https://api.spotify.com/v1/tracks/40ChhbByhzoIOs6NzSIT3n,https://api.spotify.com/v1/audio-analysis/40ChhbByhzoIOs6NzSIT3n,162833.0,4.0
Obliterate,Yvetzal,131980,gym phonk,0.789,0.937,11.0,-2.038,1.0,0.133,0.0192,0.155,0.301,0.954,135.042,audio_features,55H02yyv7Vad1LFg3kmnVB,spotify:track:55H02yyv7Vad1LFg3kmnVB,https://api.spotify.com/v1/tracks/55H02yyv7Vad1LFg3kmnVB,https://api.spotify.com/v1/audio-analysis/55H02yyv7Vad1LFg3kmnVB,132046.0,4.0
PANIC ATTACK,PANICX,20397,gym phonk,0.536,0.717,0.0,-6.515,1.0,0.506,0.17,0.299,0.0661,0.127,118.491,audio_features,5qMj5s9IKefTPEz5GoetY7,spotify:track:5qMj5s9IKefTPEz5GoetY7,https://api.spotify.com/v1/tracks/5qMj5s9IKefTPEz5GoetY7,https://api.spotify.com/v1/audio-analysis/5qMj5s9IKefTPEz5GoetY7,82497.0,3.0
RAGNAROK,chyxz,56088,gym phonk,0.736,0.604,11.0,-5.448,0.0,0.133,3.26e-05,0.932,0.917,0.401,125.989,audio_features,1sWb35nydLCjD71JGURDEv,spotify:track:1sWb35nydLCjD71JGURDEv,https://api.spotify.com/v1/tracks/1sWb35nydLCjD71JGURDEv,https://api.spotify.com/v1/audio-analysis/1sWb35nydLCjD71JGURDEv,195714.0,4.0
RAVEN,Phonkha,142880,gym phonk,0.709,0.819,11.0,-6.047,0.0,0.131,0.632,0.736,0.17,0.656,125.29,audio_features,33jNhRb9njyX482vPmFPMu,spotify:track:33jNhRb9njyX482vPmFPMu,https://api.spotify.com/v1/tracks/33jNhRb9njyX482vPmFPMu,https://api.spotify.com/v1/audio-analysis/33jNhRb9njyX482vPmFPMu,146030.0,4.0
SHADOW,ONIMXRU,90082,gym phonk,0.721,0.692,7.0,-2.927,1.0,0.0414,0.000166,0.275,0.104,0.531,120.005,audio_features,0wGbyS1tExQSwOYu6UceyE,spotify:track:0wGbyS1tExQSwOYu6UceyE,https://api.spotify.com/v1/tracks/0wGbyS1tExQSwOYu6UceyE,https://api.spotify.com/v1/audio-analysis/0wGbyS1tExQSwOYu6UceyE,162042.0,4.0
SLAUGHTER HOUSE,Phonkha,187234,gym phonk,0.812,0.504,7.0,-6.512,1.0,0.388,0.00434,0.0151,0.717,0.701,114.995,audio_features,512GmOfa7bOg5IJcrVHMdy,spotify:track:512GmOfa7bOg5IJcrVHMdy,https://api.spotify.com/v1/tracks/512GmOfa7bOg5IJcrVHMdy,https://api.spotify.com/v1/audio-analysis/512GmOfa7bOg5IJcrVHMdy,151135.0,4.0
SUNRISE (Slowed + Reverb),Xantesha,138645,gym phonk,0.74,0.934,10.0,-8.178,1.0,0.0384,0.063,0.831,0.198,0.261,119.693,audio_features,0G17UriYHMjXnZE2OJJSMR,spotify:track:0G17UriYHMjXnZE2OJJSMR,https://api.spotify.com/v1/tracks/0G17UriYHMjXnZE2OJJSMR,https://api.spotify.com/v1/audio-analysis/0G17UriYHMjXnZE2OJJSMR,138857.0,4.0
Show Me Your Back,FindMyName,29835,gym phonk,0.816,0.614,2.0,-9.707,1.0,0.0678,0.313,0.849,0.101,0.132,100.018,audio_features,5Ro8cPLumZRfhhfVxBG5hJ,spotify:track:5Ro8cPLumZRfhhfVxBG5hJ,https://api.spotify.com/v1/tracks/5Ro8cPLumZRfhhfVxBG5hJ,https://api.spotify.com/v1/audio-analysis/5Ro8cPLumZRfhhfVxBG5hJ,194400.0,4.0
|BONKERS|,staplegun,124898,gym phonk,0.751,0.946,0.0,-6.47,1.0,0.393,0.0766,0.878,0.22,0.542,148.027,audio_features,2G23H0snYYKYqRlyFvVObS,spotify:track:2G23H0snYYKYqRlyFvVObS,https://api.spotify.com/v1/tracks/2G23H0snYYKYqRlyFvVObS,https://api.spotify.com/v1/audio-analysis/2G23H0snYYKYqRlyFvVObS,212335.0,4.0
