trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A Sky Full of Stars,Taron Egerton,372839,hollywood,0.44,0.676,6.0,-7.57,1.0,0.0582,0.152,0.0201,0.108,0.429,125.013,audio_features,2VeLdiYiILcCOEV0izfzEW,spotify:track:2VeLdiYiILcCOEV0izfzEW,https://api.spotify.com/v1/tracks/2VeLdiYiILcCOEV0izfzEW,https://api.spotify.com/v1/audio-analysis/2VeLdiYiILcCOEV0izfzEW,206438.0,4.0
City Of Stars,Ryan Gosling,33040,hollywood,0.492,0.116,2.0,-15.15,0.0,0.0379,0.899,1.93e-06,0.0889,0.434,111.787,audio_features,6XQHlsNu6so4PdglFkJQRJ,spotify:track:6XQHlsNu6so4PdglFkJQRJ,https://api.spotify.com/v1/tracks/6XQHlsNu6so4PdglFkJQRJ,https://api.spotify.com/v1/audio-analysis/6XQHlsNu6so4PdglFkJQRJ,149707.0,4.0
Come Alive,Hugh Jackman,225933,hollywood,0.702,0.77,7.0,-9.411,1.0,0.128,0.00558,0.000802,0.211,0.235,118.034,audio_features,5xNUR50KxswPRAvx7S163g,spotify:track:5xNUR50KxswPRAvx7S163g,https://api.spotify.com/v1/tracks/5xNUR50KxswPRAvx7S163g,https://api.spotify.com/v1/audio-analysis/5xNUR50KxswPRAvx7S163g,225933.0,4.0
From Now On,Hugh Jackman,37170,hollywood,0.516,0.518,4.0,-10.383,1.0,0.04,0.00483,0.00895,0.585,0.0834,108.027,audio_features,3IkWmgGsXbsafrunwPojXO,spotify:track:3IkWmgGsXbsafrunwPojXO,https://api.spotify.com/v1/tracks/3IkWmgGsXbsafrunwPojXO,https://api.spotify.com/v1/audio-analysis/3IkWmgGsXbsafrunwPojXO,349560.0,4.0
Rewrite The Stars,Zac Efron,217440,hollywood,0.684,0.619,10.0,-7.005,1.0,0.0386,0.0716,0.0,0.122,0.284,125.046,audio_features,65fpYBrI8o2cfrwf2US4gq,spotify:track:65fpYBrI8o2cfrwf2US4gq,https://api.spotify.com/v1/tracks/65fpYBrI8o2cfrwf2US4gq,https://api.spotify.com/v1/audio-analysis/65fpYBrI8o2cfrwf2US4gq,217440.0,4.0
The Greatest Show,Hugh Jackman,1941934,hollywood,0.417,0.824,11.0,-7.36,0.0,0.105,0.000239,0.0545,0.0725,0.4,157.92,audio_features,4ylWMuGbMXNDgDd8lErEle,spotify:track:4ylWMuGbMXNDgDd8lErEle,https://api.spotify.com/v1/tracks/4ylWMuGbMXNDgDd8lErEle,https://api.spotify.com/v1/audio-analysis/4ylWMuGbMXNDgDd8lErEle,302147.0,4.0
The Other Side,Hugh Jackman,410334,hollywood,0.638,0.795,0.0,-8.45,1.0,0.302,0.00433,0.00139,0.153,0.31,153.99,audio_features,2cKovq3l6OJjhVVDbVKOsr,spotify:track:2cKovq3l6OJjhVVDbVKOsr,https://api.spotify.com/v1/tracks/2cKovq3l6OJjhVVDbVKOsr,https://api.spotify.com/v1/audio-analysis/2cKovq3l6OJjhVVDbVKOsr,214373.0,4.0
A Sky Full of Stars,Taron Egerton,372839,hollywood,0.44,0.676,6.0,-7.57,1.0,0.0582,0.152,0.0201,0.108,0.429,125.013,audio_features,2VeLdiYiILcCOEV0izfzEW,spotify:track:2VeLdiYiILcCOEV0izfzEW,https://api.spotify.com/v1/tracks/2VeLdiYiILcCOEV0izfzEW,https://api.spotify.com/v1/audio-analysis/2VeLdiYiILcCOEV0izfzEW,206438.0,4.0
City Of Stars,Ryan Gosling,33040,hollywood,0.492,0.116,2.0,-15.15,0.0,0.0379,0.899,1.93e-06,0.0889,0.434,111.787,audio_features,6XQHlsNu6so4PdglFkJQRJ,spotify:track:6XQHlsNu6so4PdglFkJQRJ,https://api.spotify.com/v1/tracks/6XQHlsNu6so4PdglFkJQRJ,https://api.spotify.com/v1/audio-analysis/6XQHlsNu6so4PdglFkJQRJ,149707.0,4.0
Come Alive,Hugh Jackman,225933,hollywood,0.702,0.77,7.0,-9.411,1.0,0.128,0.00558,0.000802,0.211,0.235,118.034,audio_features,5xNUR50KxswPRAvx7S163g,spotify:track:5xNUR50KxswPRAvx7S163g,https://api.spotify.com/v1/tracks/5xNUR50KxswPRAvx7S163g,https://api.spotify.com/v1/audio-analysis/5xNUR50KxswPRAvx7S163g,225933.0,4.0
