trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
all I want is you,Rebzyyx,151415,hyperpop,0.46,0.999,11.0,-1.307,1.0,0.325,0.112,0.0,0.245,0.779,145.911,audio_features,7lOvJBqH38ZY59eLU7bioq,spotify:track:7lOvJBqH38ZY59eLU7bioq,https://api.spotify.com/v1/tracks/7lOvJBqH38ZY59eLU7bioq,https://api.spotify.com/v1/audio-analysis/7lOvJBqH38ZY59eLU7bioq,151415.0,4.0
love yourself (spend forever),cookii,127927,hyperpop,0.646,0.396,2.0,-9.376,1.0,0.06,0.0188,1.01e-05,0.0713,0.435,129.399,audio_features,7KYuvjh2Bhtx77yZSHYEMx,spotify:track:7KYuvjh2Bhtx77yZSHYEMx,https://api.spotify.com/v1/tracks/7KYuvjh2Bhtx77yZSHYEMx,https://api.spotify.com/v1/audio-analysis/7KYuvjh2Bhtx77yZSHYEMx,165169.0,4.0
not that inna you,cookii,161276,hyperpop,0.765,0.442,4.0,-6.602,1.0,0.0421,0.149,0.0,0.0674,0.913,124.999,audio_features,38ywo4HXKHVuOyMUzpYu7Y,spotify:track:38ywo4HXKHVuOyMUzpYu7Y,https://api.spotify.com/v1/tracks/38ywo4HXKHVuOyMUzpYu7Y,https://api.spotify.com/v1/audio-analysis/38ywo4HXKHVuOyMUzpYu7Y,161312.0,4.0
stalker,ElyOtto,99588,hyperpop,0.646,0.789,2.0,-4.556,1.0,0.0387,0.0394,0.0,0.238,0.854,177.879,audio_features,5lIkxf9apwwahN64CLgGOI,spotify:track:5lIkxf9apwwahN64CLgGOI,https://api.spotify.com/v1/tracks/5lIkxf9apwwahN64CLgGOI,https://api.spotify.com/v1/audio-analysis/5lIkxf9apwwahN64CLgGOI,99733.0,4.0
Participation Trophies,Madelline,4686422,hyperpop,0.644,0.474,1.0,-7.705,1.0,0.036,0.0108,0.00615,0.104,0.267,178.009,audio_features,1lPcz78ga6HOCTzEjoy9EP,spotify:track:1lPcz78ga6HOCTzEjoy9EP,https://api.spotify.com/v1/tracks/1lPcz78ga6HOCTzEjoy9EP,https://api.spotify.com/v1/audio-analysis/1lPcz78ga6HOCTzEjoy9EP,202442.0,4.0
SugarCrash!,ElyOtto,421868,hyperpop,0.748,0.734,0.0,-6.499,1.0,0.124,0.524,1.15e-05,0.0975,0.368,97.753,audio_features,2ePtv8MlBO9nuuXABqAfEX,spotify:track:2ePtv8MlBO9nuuXABqAfEX,https://api.spotify.com/v1/tracks/2ePtv8MlBO9nuuXABqAfEX,https://api.spotify.com/v1/audio-analysis/2ePtv8MlBO9nuuXABqAfEX,80081.0,4.0
SugarCrash! (feat. Kim Petras & Curtis Waters),ElyOtto,152371,hyperpop,0.658,0.756,0.0,-6.372,1.0,0.0936,0.123,0.0,0.0537,0.519,97.115,audio_features,6wGOOMMVgaT9LEi2y9jeq1,spotify:track:6wGOOMMVgaT9LEi2y9jeq1,https://api.spotify.com/v1/tracks/6wGOOMMVgaT9LEi2y9jeq1,https://api.spotify.com/v1/audio-analysis/6wGOOMMVgaT9LEi2y9jeq1,152373.0,4.0
TEETH!,ElyOtto,88096,hyperpop,0.713,0.443,6.0,-11.824,1.0,0.0544,0.162,4.72e-06,0.29,0.788,164.413,audio_features,4t2AtxetnW6fRtZfk5NJvW,spotify:track:4t2AtxetnW6fRtZfk5NJvW,https://api.spotify.com/v1/tracks/4t2AtxetnW6fRtZfk5NJvW,https://api.spotify.com/v1/audio-analysis/4t2AtxetnW6fRtZfk5NJvW,82307.0,4.0
all I want is you,Rebzyyx,151415,hyperpop,0.46,0.999,11.0,-1.307,1.0,0.325,0.112,0.0,0.245,0.779,145.911,audio_features,7lOvJBqH38ZY59eLU7bioq,spotify:track:7lOvJBqH38ZY59eLU7bioq,https://api.spotify.com/v1/tracks/7lOvJBqH38ZY59eLU7bioq,https://api.spotify.com/v1/audio-analysis/7lOvJBqH38ZY59eLU7bioq,151415.0,4.0
love yourself (spend forever),cookii,127927,hyperpop,0.646,0.396,2.0,-9.376,1.0,0.06,0.0188,1.01e-05,0.0713,0.435,129.399,audio_features,7KYuvjh2Bhtx77yZSHYEMx,spotify:track:7KYuvjh2Bhtx77yZSHYEMx,https://api.spotify.com/v1/tracks/7KYuvjh2Bhtx77yZSHYEMx,https://api.spotify.com/v1/audio-analysis/7KYuvjh2Bhtx77yZSHYEMx,165169.0,4.0
not that inna you,cookii,161276,hyperpop,0.765,0.442,4.0,-6.602,1.0,0.0421,0.149,0.0,0.0674,0.913,124.999,audio_features,38ywo4HXKHVuOyMUzpYu7Y,spotify:track:38ywo4HXKHVuOyMUzpYu7Y,https://api.spotify.com/v1/tracks/38ywo4HXKHVuOyMUzpYu7Y,https://api.spotify.com/v1/audio-analysis/38ywo4HXKHVuOyMUzpYu7Y,161312.0,4.0
stalker,ElyOtto,99588,hyperpop,0.646,0.789,2.0,-4.556,1.0,0.0387,0.0394,0.0,0.238,0.854,177.879,audio_features,5lIkxf9apwwahN64CLgGOI,spotify:track:5lIkxf9apwwahN64CLgGOI,https://api.spotify.com/v1/tracks/5lIkxf9apwwahN64CLgGOI,https://api.spotify.com/v1/audio-analysis/5lIkxf9apwwahN64CLgGOI,99733.0,4.0
Participation Trophies,Madelline,4686422,hyperpop,0.644,0.474,1.0,-7.705,1.0,0.036,0.0108,0.00615,0.104,0.267,178.009,audio_features,1lPcz78ga6HOCTzEjoy9EP,spotify:track:1lPcz78ga6HOCTzEjoy9EP,https://api.spotify.com/v1/tracks/1lPcz78ga6HOCTzEjoy9EP,https://api.spotify.com/v1/audio-analysis/1lPcz78ga6HOCTzEjoy9EP,202442.0,4.0
