trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Anything You Need,Low Roar,6469206,icelandic indie,0.221,0.34,9.0,-10.935,0.0,0.0314,0.806,0.989,0.104,0.0397,85.665,audio_features,2ZaibgMfl2NS3ntzYqnLhm,spotify:track:2ZaibgMfl2NS3ntzYqnLhm,https://api.spotify.com/v1/tracks/2ZaibgMfl2NS3ntzYqnLhm,https://api.spotify.com/v1/audio-analysis/2ZaibgMfl2NS3ntzYqnLhm,195653.0,4.0
Because We Have To,Low Roar,708139,icelandic indie,0.303,0.159,7.0,-14.491,0.0,0.0305,0.933,0.251,0.107,0.111,105.004,audio_features,4fxpn4Wz6QjMeo4ZSJpcyV,spotify:track:4fxpn4Wz6QjMeo4ZSJpcyV,https://api.spotify.com/v1/tracks/4fxpn4Wz6QjMeo4ZSJpcyV,https://api.spotify.com/v1/audio-analysis/4fxpn4Wz6QjMeo4ZSJpcyV,235800.0,3.0
Bones,Low Roar,4283568,icelandic indie,0.508,0.411,11.0,-9.857,0.0,0.0386,0.25,0.00981,0.162,0.353,69.995,audio_features,6lt8Z886tMHpNqzOFWX8Yn,spotify:track:6lt8Z886tMHpNqzOFWX8Yn,https://api.spotify.com/v1/tracks/6lt8Z886tMHpNqzOFWX8Yn,https://api.spotify.com/v1/audio-analysis/6lt8Z886tMHpNqzOFWX8Yn,169806.0,3.0
Breathe In,Low Roar,18651170,icelandic indie,0.112,0.274,7.0,-13.56,1.0,0.033,0.871,0.576,0.0554,0.111,86.679,audio_features,00JzUNcRdhoALWUIiK5UnA,spotify:track:00JzUNcRdhoALWUIiK5UnA,https://api.spotify.com/v1/tracks/00JzUNcRdhoALWUIiK5UnA,https://api.spotify.com/v1/audio-analysis/00JzUNcRdhoALWUIiK5UnA,454773.0,3.0
David,Low Roar,917111,icelandic indie,0.439,0.378,9.0,-11.776,1.0,0.033,0.689,0.208,0.168,0.0811,110.862,audio_features,6vMhmuAwyL2tUCqej1f0gO,spotify:track:6vMhmuAwyL2tUCqej1f0gO,https://api.spotify.com/v1/tracks/6vMhmuAwyL2tUCqej1f0gO,https://api.spotify.com/v1/audio-analysis/6vMhmuAwyL2tUCqej1f0gO,336692.0,4.0
Dreamer,Low Roar,4431839,icelandic indie,0.255,0.161,9.0,-12.711,0.0,0.0327,0.925,0.0155,0.147,0.0679,74.007,audio_features,0LHMAiZXmYy97d23W2O8f4,spotify:track:0LHMAiZXmYy97d23W2O8f4,https://api.spotify.com/v1/tracks/0LHMAiZXmYy97d23W2O8f4,https://api.spotify.com/v1/audio-analysis/0LHMAiZXmYy97d23W2O8f4,309720.0,4.0
Easy Way Out,Low Roar,6655800,icelandic indie,0.505,0.42,9.0,-9.364,0.0,0.0266,0.558,0.0499,0.218,0.113,109.921,audio_features,00G1BtS8r791C63yZLVc0R,spotify:track:00G1BtS8r791C63yZLVc0R,https://api.spotify.com/v1/tracks/00G1BtS8r791C63yZLVc0R,https://api.spotify.com/v1/audio-analysis/00G1BtS8r791C63yZLVc0R,288667.0,4.0
Fade Away,Low Roar,361834,icelandic indie,0.415,0.338,9.0,-12.703,0.0,0.0535,0.885,0.348,0.116,0.202,141.399,audio_features,49STsddEpwQEIEymiWjpQY,spotify:track:49STsddEpwQEIEymiWjpQY,https://api.spotify.com/v1/tracks/49STsddEpwQEIEymiWjpQY,https://api.spotify.com/v1/audio-analysis/49STsddEpwQEIEymiWjpQY,351701.0,4.0
Give Me an Answer,Low Roar,41131,icelandic indie,0.542,0.488,7.0,-8.732,1.0,0.0381,0.278,9.48e-05,0.598,0.465,80.011,audio_features,4dGMVfWmT03qsMzKGhUwDp,spotify:track:4dGMVfWmT03qsMzKGhUwDp,https://api.spotify.com/v1/tracks/4dGMVfWmT03qsMzKGhUwDp,https://api.spotify.com/v1/audio-analysis/4dGMVfWmT03qsMzKGhUwDp,223484.0,4.0
Give Up,Low Roar,1130668,icelandic indie,0.234,0.389,0.0,-9.215,1.0,0.0298,0.882,0.0806,0.107,0.0631,164.542,audio_features,4L321mZADfO4S04ICSIrwR,spotify:track:4L321mZADfO4S04ICSIrwR,https://api.spotify.com/v1/tracks/4L321mZADfO4S04ICSIrwR,https://api.spotify.com/v1/audio-analysis/4L321mZADfO4S04ICSIrwR,186600.0,4.0
