trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
As the World Caves In,Matt Maltese,6006563,indie anthem-folk,0.331,0.45,10.0,-5.362,1.0,0.034,0.365,0.00464,0.22,0.18,123.829,audio_features,4JE6agBLHGA5TaF6FlqfBD,spotify:track:4JE6agBLHGA5TaF6FlqfBD,https://api.spotify.com/v1/tracks/4JE6agBLHGA5TaF6FlqfBD,https://api.spotify.com/v1/audio-analysis/4JE6agBLHGA5TaF6FlqfBD,218755.0,4.0
madhouse,Matt Maltese,639062,indie anthem-folk,0.641,0.533,10.0,-8.421,1.0,0.0516,0.597,2.35e-06,0.143,0.64,156.995,audio_features,36fC4xtAucJ7KH6sdSDDo7,spotify:track:36fC4xtAucJ7KH6sdSDDo7,https://api.spotify.com/v1/tracks/36fC4xtAucJ7KH6sdSDDo7,https://api.spotify.com/v1/audio-analysis/36fC4xtAucJ7KH6sdSDDo7,211075.0,4.0
Curl up & Die,Matt Maltese,683172,indie anthem-folk,0.615,0.281,11.0,-8.468,1.0,0.0273,0.874,0.537,0.108,0.233,131.979,audio_features,0mDn9q0XZBVI3xICivkTY1,spotify:track:0mDn9q0XZBVI3xICivkTY1,https://api.spotify.com/v1/tracks/0mDn9q0XZBVI3xICivkTY1,https://api.spotify.com/v1/audio-analysis/0mDn9q0XZBVI3xICivkTY1,202022.0,3.0
Even If It's a Lie - Demo,Matt Maltese,1881390,indie anthem-folk,0.481,0.293,2.0,-5.999,1.0,0.0294,0.948,7.11e-05,0.11,0.134,82.965,audio_features,0MVeLASrPyBrC6hwwhIMwu,spotify:track:0MVeLASrPyBrC6hwwhIMwu,https://api.spotify.com/v1/tracks/0MVeLASrPyBrC6hwwhIMwu,https://api.spotify.com/v1/audio-analysis/0MVeLASrPyBrC6hwwhIMwu,237928.0,4.0
Everybody But Me,Nick Wilson,14371,indie anthem-folk,0.659,0.571,1.0,-5.654,0.0,0.0371,0.0698,0.0,0.107,0.21,122.949,audio_features,6uHuk7MrwQSAc98f0eNrWM,spotify:track:6uHuk7MrwQSAc98f0eNrWM,https://api.spotify.com/v1/tracks/6uHuk7MrwQSAc98f0eNrWM,https://api.spotify.com/v1/audio-analysis/6uHuk7MrwQSAc98f0eNrWM,184633.0,4.0
Everyone Adores You (at least I do),Matt Maltese,3841385,indie anthem-folk,0.599,0.427,5.0,-9.037,1.0,0.0242,0.747,0.105,0.0984,0.111,73.801,audio_features,6klFWv2xDGeTDoiKTtx4hg,spotify:track:6klFWv2xDGeTDoiKTtx4hg,https://api.spotify.com/v1/tracks/6klFWv2xDGeTDoiKTtx4hg,https://api.spotify.com/v1/audio-analysis/6klFWv2xDGeTDoiKTtx4hg,203133.0,4.0
I Found - Acoustic,Amber Run,1930110,indie anthem-folk,0.386,0.0887,7.0,-11.166,0.0,0.0512,0.957,0.0,0.126,0.274,171.234,audio_features,3i7Iyc932rv1AZz7gl7dj8,spotify:track:3i7Iyc932rv1AZz7gl7dj8,https://api.spotify.com/v1/tracks/3i7Iyc932rv1AZz7gl7dj8,https://api.spotify.com/v1/audio-analysis/3i7Iyc932rv1AZz7gl7dj8,259480.0,3.0
Krystal,Matt Maltese,5618982,indie anthem-folk,0.521,0.509,3.0,-8.059,1.0,0.0276,0.738,0.784,0.119,0.37,153.563,audio_features,5JJPfHpByZ66XsEyCNVi2p,spotify:track:5JJPfHpByZ66XsEyCNVi2p,https://api.spotify.com/v1/tracks/5JJPfHpByZ66XsEyCNVi2p,https://api.spotify.com/v1/audio-analysis/5JJPfHpByZ66XsEyCNVi2p,220245.0,4.0
Rom-Com Gone Wrong,Matt Maltese,4371497,indie anthem-folk,0.601,0.422,3.0,-8.539,1.0,0.0231,0.842,0.245,0.139,0.356,76.46,audio_features,3JPykcDhUA7DMrxN6eXzQ4,spotify:track:3JPykcDhUA7DMrxN6eXzQ4,https://api.spotify.com/v1/tracks/3JPykcDhUA7DMrxN6eXzQ4,https://api.spotify.com/v1/audio-analysis/3JPykcDhUA7DMrxN6eXzQ4,205837.0,4.0
Smile in the Face of the Devil,Matt Maltese,1427927,indie anthem-folk,0.48,0.363,3.0,-7.561,1.0,0.029,0.913,0.75,0.11,0.176,120.61,audio_features,0h6X7BCq7IYKHNoXln3LX3,spotify:track:0h6X7BCq7IYKHNoXln3LX3,https://api.spotify.com/v1/tracks/0h6X7BCq7IYKHNoXln3LX3,https://api.spotify.com/v1/audio-analysis/0h6X7BCq7IYKHNoXln3LX3,158714.0,3.0
