trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
kissing girls,Grady,1303964,indie electropop,0.415,0.456,0.0,-7.315,1.0,0.106,0.934,0.0,0.49,0.72,181.452,audio_features,5lCtzEEl2FxySHX4zR9yEf,spotify:track:5lCtzEEl2FxySHX4zR9yEf,https://api.spotify.com/v1/tracks/5lCtzEEl2FxySHX4zR9yEf,https://api.spotify.com/v1/audio-analysis/5lCtzEEl2FxySHX4zR9yEf,100750.0,3.0
Blonde,Glades,168267,indie electropop,0.599,0.793,8.0,-2.337,1.0,0.0452,0.133,0.0,0.0714,0.711,89.948,audio_features,7nAvzwClhnCWd1DnJ3Izq3,spotify:track:7nAvzwClhnCWd1DnJ3Izq3,https://api.spotify.com/v1/tracks/7nAvzwClhnCWd1DnJ3Izq3,https://api.spotify.com/v1/audio-analysis/7nAvzwClhnCWd1DnJ3Izq3,169013.0,4.0
Bloodhound,Skott,2288525,indie electropop,0.607,0.586,6.0,-8.658,0.0,0.0406,0.516,0.00431,0.336,0.394,145.824,audio_features,3aj6KpLUGmAQRW12hb4SML,spotify:track:3aj6KpLUGmAQRW12hb4SML,https://api.spotify.com/v1/tracks/3aj6KpLUGmAQRW12hb4SML,https://api.spotify.com/v1/audio-analysis/3aj6KpLUGmAQRW12hb4SML,178147.0,4.0
Bone,So Below,1701634,indie electropop,0.552,0.645,8.0,-7.262,1.0,0.0321,0.0617,0.0,0.0814,0.252,92.985,audio_features,2WQphuGZM7glstWmTxWboB,spotify:track:2WQphuGZM7glstWmTxWboB,https://api.spotify.com/v1/tracks/2WQphuGZM7glstWmTxWboB,https://api.spotify.com/v1/audio-analysis/2WQphuGZM7glstWmTxWboB,252903.0,4.0
Out Of Touch,CUT_,241866,indie electropop,0.726,0.6,0.0,-10.993,0.0,0.0389,0.375,0.452,0.0963,0.473,124.995,audio_features,3DgjbN7e2gppallutVbat6,spotify:track:3DgjbN7e2gppallutVbat6,https://api.spotify.com/v1/tracks/3DgjbN7e2gppallutVbat6,https://api.spotify.com/v1/audio-analysis/3DgjbN7e2gppallutVbat6,241920.0,4.0
WHOSE LOVE (feat. Tempest),Naomi Wild,209947,indie electropop,0.716,0.535,0.0,-7.656,1.0,0.0432,0.344,1.85e-05,0.123,0.337,124.011,audio_features,2IM8UcsHElXjQkkhlOuODo,spotify:track:2IM8UcsHElXjQkkhlOuODo,https://api.spotify.com/v1/tracks/2IM8UcsHElXjQkkhlOuODo,https://api.spotify.com/v1/audio-analysis/2IM8UcsHElXjQkkhlOuODo,210758.0,4.0
kissing girls,Grady,1303964,indie electropop,0.415,0.456,0.0,-7.315,1.0,0.106,0.934,0.0,0.49,0.72,181.452,audio_features,5lCtzEEl2FxySHX4zR9yEf,spotify:track:5lCtzEEl2FxySHX4zR9yEf,https://api.spotify.com/v1/tracks/5lCtzEEl2FxySHX4zR9yEf,https://api.spotify.com/v1/audio-analysis/5lCtzEEl2FxySHX4zR9yEf,100750.0,3.0
Blonde,Glades,168267,indie electropop,0.599,0.793,8.0,-2.337,1.0,0.0452,0.133,0.0,0.0714,0.711,89.948,audio_features,7nAvzwClhnCWd1DnJ3Izq3,spotify:track:7nAvzwClhnCWd1DnJ3Izq3,https://api.spotify.com/v1/tracks/7nAvzwClhnCWd1DnJ3Izq3,https://api.spotify.com/v1/audio-analysis/7nAvzwClhnCWd1DnJ3Izq3,169013.0,4.0
Bloodhound,Skott,2288525,indie electropop,0.607,0.586,6.0,-8.658,0.0,0.0406,0.516,0.00431,0.336,0.394,145.824,audio_features,3aj6KpLUGmAQRW12hb4SML,spotify:track:3aj6KpLUGmAQRW12hb4SML,https://api.spotify.com/v1/tracks/3aj6KpLUGmAQRW12hb4SML,https://api.spotify.com/v1/audio-analysis/3aj6KpLUGmAQRW12hb4SML,178147.0,4.0
Bone,So Below,1701634,indie electropop,0.552,0.645,8.0,-7.262,1.0,0.0321,0.0617,0.0,0.0814,0.252,92.985,audio_features,2WQphuGZM7glstWmTxWboB,spotify:track:2WQphuGZM7glstWmTxWboB,https://api.spotify.com/v1/tracks/2WQphuGZM7glstWmTxWboB,https://api.spotify.com/v1/audio-analysis/2WQphuGZM7glstWmTxWboB,252903.0,4.0
Out Of Touch,CUT_,241866,indie electropop,0.726,0.6,0.0,-10.993,0.0,0.0389,0.375,0.452,0.0963,0.473,124.995,audio_features,3DgjbN7e2gppallutVbat6,spotify:track:3DgjbN7e2gppallutVbat6,https://api.spotify.com/v1/tracks/3DgjbN7e2gppallutVbat6,https://api.spotify.com/v1/audio-analysis/3DgjbN7e2gppallutVbat6,241920.0,4.0
WHOSE LOVE (feat. Tempest),Naomi Wild,209947,indie electropop,0.716,0.535,0.0,-7.656,1.0,0.0432,0.344,1.85e-05,0.123,0.337,124.011,audio_features,2IM8UcsHElXjQkkhlOuODo,spotify:track:2IM8UcsHElXjQkkhlOuODo,https://api.spotify.com/v1/tracks/2IM8UcsHElXjQkkhlOuODo,https://api.spotify.com/v1/audio-analysis/2IM8UcsHElXjQkkhlOuODo,210758.0,4.0
