trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Zeta Halo,Curtis Schweitzer,3764141,indie game soundtrack,0.175,0.122,11.0,-24.231,0.0,0.04,0.988,0.967,0.0819,0.0362,136.607,audio_features,5P9YtbHxyGuZx9OOxrKr1L,spotify:track:5P9YtbHxyGuZx9OOxrKr1L,https://api.spotify.com/v1/tracks/5P9YtbHxyGuZx9OOxrKr1L,https://api.spotify.com/v1/audio-analysis/5P9YtbHxyGuZx9OOxrKr1L,211147.0,3.0
Follow the Signal,Curtis Schweitzer,135560,indie game soundtrack,0.112,0.0644,7.0,-27.554,1.0,0.0374,0.899,0.974,0.0907,0.0331,158.312,audio_features,24vJOrZWFL6wCr6AyqFeHc,spotify:track:24vJOrZWFL6wCr6AyqFeHc,https://api.spotify.com/v1/tracks/24vJOrZWFL6wCr6AyqFeHc,https://api.spotify.com/v1/audio-analysis/24vJOrZWFL6wCr6AyqFeHc,135560.0,4.0
Foundations,Curtis Schweitzer,204106,indie game soundtrack,0.442,0.315,7.0,-20.382,0.0,0.0483,0.836,0.954,0.084,0.0706,120.063,audio_features,4pIUe7nlQWBvQ7NzMCcrUC,spotify:track:4pIUe7nlQWBvQ7NzMCcrUC,https://api.spotify.com/v1/tracks/4pIUe7nlQWBvQ7NzMCcrUC,https://api.spotify.com/v1/audio-analysis/4pIUe7nlQWBvQ7NzMCcrUC,204107.0,4.0
Gbraakon Escape,Curtis Schweitzer,94023,indie game soundtrack,0.567,0.618,5.0,-14.604,1.0,0.0389,0.48,0.861,0.094,0.291,82.513,audio_features,6hnFTbHHF5siJVrSrl7D8G,spotify:track:6hnFTbHHF5siJVrSrl7D8G,https://api.spotify.com/v1/tracks/6hnFTbHHF5siJVrSrl7D8G,https://api.spotify.com/v1/audio-analysis/6hnFTbHHF5siJVrSrl7D8G,149533.0,3.0
MEGALOVANIA,Toby Fox,256084,indie game soundtrack,0.719,0.632,7.0,-9.849,1.0,0.0602,0.000377,0.855,0.0362,0.934,119.987,audio_features,1J03Vp93ybKIxfzYI4YJtL,spotify:track:1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/tracks/1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/audio-analysis/1J03Vp93ybKIxfzYI4YJtL,156000.0,4.0
Reverie,Curtis Schweitzer,220573,indie game soundtrack,0.0848,0.0805,9.0,-23.849,1.0,0.0465,0.962,0.938,0.0768,0.0339,78.347,audio_features,1h5lhndp3pa6XaS1jJ9HHN,spotify:track:1h5lhndp3pa6XaS1jJ9HHN,https://api.spotify.com/v1/tracks/1h5lhndp3pa6XaS1jJ9HHN,https://api.spotify.com/v1/audio-analysis/1h5lhndp3pa6XaS1jJ9HHN,220573.0,4.0
Sacrifice,Curtis Schweitzer,111994,indie game soundtrack,0.233,0.0601,10.0,-24.708,1.0,0.0385,0.9,0.937,0.0724,0.0743,142.037,audio_features,28PzGxbgGDLZLy3uDrcxIz,spotify:track:28PzGxbgGDLZLy3uDrcxIz,https://api.spotify.com/v1/tracks/28PzGxbgGDLZLy3uDrcxIz,https://api.spotify.com/v1/audio-analysis/28PzGxbgGDLZLy3uDrcxIz,97293.0,4.0
The Banished,Joel Corelitz,164879,indie game soundtrack,0.613,0.319,9.0,-19.033,0.0,0.0333,0.465,0.873,0.104,0.0554,128.003,audio_features,6jiZOdKOBCqiE31jVlIhpB,spotify:track:6jiZOdKOBCqiE31jVlIhpB,https://api.spotify.com/v1/tracks/6jiZOdKOBCqiE31jVlIhpB,https://api.spotify.com/v1/audio-analysis/6jiZOdKOBCqiE31jVlIhpB,165693.0,4.0
The Weapon,Curtis Schweitzer,131933,indie game soundtrack,0.156,0.0235,9.0,-28.491,0.0,0.0432,0.96,0.082,0.0936,0.0276,61.625,audio_features,5etBrb3OxsOn1xnfeJgsEX,spotify:track:5etBrb3OxsOn1xnfeJgsEX,https://api.spotify.com/v1/tracks/5etBrb3OxsOn1xnfeJgsEX,https://api.spotify.com/v1/audio-analysis/5etBrb3OxsOn1xnfeJgsEX,131933.0,4.0
Zeta Halo,Curtis Schweitzer,3764141,indie game soundtrack,0.175,0.122,11.0,-24.231,0.0,0.04,0.988,0.967,0.0819,0.0362,136.607,audio_features,5P9YtbHxyGuZx9OOxrKr1L,spotify:track:5P9YtbHxyGuZx9OOxrKr1L,https://api.spotify.com/v1/tracks/5P9YtbHxyGuZx9OOxrKr1L,https://api.spotify.com/v1/audio-analysis/5P9YtbHxyGuZx9OOxrKr1L,211147.0,3.0
Follow the Signal,Curtis Schweitzer,135560,indie game soundtrack,0.112,0.0644,7.0,-27.554,1.0,0.0374,0.899,0.974,0.0907,0.0331,158.312,audio_features,24vJOrZWFL6wCr6AyqFeHc,spotify:track:24vJOrZWFL6wCr6AyqFeHc,https://api.spotify.com/v1/tracks/24vJOrZWFL6wCr6AyqFeHc,https://api.spotify.com/v1/audio-analysis/24vJOrZWFL6wCr6AyqFeHc,135560.0,4.0
Foundations,Curtis Schweitzer,204106,indie game soundtrack,0.442,0.315,7.0,-20.382,0.0,0.0483,0.836,0.954,0.084,0.0706,120.063,audio_features,4pIUe7nlQWBvQ7NzMCcrUC,spotify:track:4pIUe7nlQWBvQ7NzMCcrUC,https://api.spotify.com/v1/tracks/4pIUe7nlQWBvQ7NzMCcrUC,https://api.spotify.com/v1/audio-analysis/4pIUe7nlQWBvQ7NzMCcrUC,204107.0,4.0
Gbraakon Escape,Curtis Schweitzer,94023,indie game soundtrack,0.567,0.618,5.0,-14.604,1.0,0.0389,0.48,0.861,0.094,0.291,82.513,audio_features,6hnFTbHHF5siJVrSrl7D8G,spotify:track:6hnFTbHHF5siJVrSrl7D8G,https://api.spotify.com/v1/tracks/6hnFTbHHF5siJVrSrl7D8G,https://api.spotify.com/v1/audio-analysis/6hnFTbHHF5siJVrSrl7D8G,149533.0,3.0
MEGALOVANIA,Toby Fox,256084,indie game soundtrack,0.719,0.632,7.0,-9.849,1.0,0.0602,0.000377,0.855,0.0362,0.934,119.987,audio_features,1J03Vp93ybKIxfzYI4YJtL,spotify:track:1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/tracks/1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/audio-analysis/1J03Vp93ybKIxfzYI4YJtL,156000.0,4.0
Reverie,Curtis Schweitzer,220573,indie game soundtrack,0.0848,0.0805,9.0,-23.849,1.0,0.0465,0.962,0.938,0.0768,0.0339,78.347,audio_features,1h5lhndp3pa6XaS1jJ9HHN,spotify:track:1h5lhndp3pa6XaS1jJ9HHN,https://api.spotify.com/v1/tracks/1h5lhndp3pa6XaS1jJ9HHN,https://api.spotify.com/v1/audio-analysis/1h5lhndp3pa6XaS1jJ9HHN,220573.0,4.0
Sacrifice,Curtis Schweitzer,111994,indie game soundtrack,0.233,0.0601,10.0,-24.708,1.0,0.0385,0.9,0.937,0.0724,0.0743,142.037,audio_features,28PzGxbgGDLZLy3uDrcxIz,spotify:track:28PzGxbgGDLZLy3uDrcxIz,https://api.spotify.com/v1/tracks/28PzGxbgGDLZLy3uDrcxIz,https://api.spotify.com/v1/audio-analysis/28PzGxbgGDLZLy3uDrcxIz,97293.0,4.0
The Banished,Joel Corelitz,164879,indie game soundtrack,0.613,0.319,9.0,-19.033,0.0,0.0333,0.465,0.873,0.104,0.0554,128.003,audio_features,6jiZOdKOBCqiE31jVlIhpB,spotify:track:6jiZOdKOBCqiE31jVlIhpB,https://api.spotify.com/v1/tracks/6jiZOdKOBCqiE31jVlIhpB,https://api.spotify.com/v1/audio-analysis/6jiZOdKOBCqiE31jVlIhpB,165693.0,4.0
The Weapon,Curtis Schweitzer,131933,indie game soundtrack,0.156,0.0235,9.0,-28.491,0.0,0.0432,0.96,0.082,0.0936,0.0276,61.625,audio_features,5etBrb3OxsOn1xnfeJgsEX,spotify:track:5etBrb3OxsOn1xnfeJgsEX,https://api.spotify.com/v1/tracks/5etBrb3OxsOn1xnfeJgsEX,https://api.spotify.com/v1/audio-analysis/5etBrb3OxsOn1xnfeJgsEX,131933.0,4.0
