trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All Time Low,Jon Bellion,4315705,indie pop rap,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,audio_features,0SuLAslEMFZAXf0SwY7syi,spotify:track:0SuLAslEMFZAXf0SwY7syi,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,https://api.spotify.com/v1/audio-analysis/0SuLAslEMFZAXf0SwY7syi,217603.0,4.0
All for Me,Hoodie Allen,4851911,indie pop rap,0.74,0.7,4.0,-7.066,0.0,0.165,0.126,0.0,0.208,0.377,89.971,audio_features,1yxO5CmOSNFq600UkDiPMn,spotify:track:1yxO5CmOSNFq600UkDiPMn,https://api.spotify.com/v1/tracks/1yxO5CmOSNFq600UkDiPMn,https://api.spotify.com/v1/audio-analysis/1yxO5CmOSNFq600UkDiPMn,224049.0,4.0
Back When We Were Kids,Timeflies,2720,indie pop rap,0.636,0.648,4.0,-4.477,1.0,0.0587,0.0318,0.0,0.231,0.464,107.015,audio_features,4p2RANKodMmW1lbMTpCtly,spotify:track:4p2RANKodMmW1lbMTpCtly,https://api.spotify.com/v1/tracks/4p2RANKodMmW1lbMTpCtly,https://api.spotify.com/v1/audio-analysis/4p2RANKodMmW1lbMTpCtly,181465.0,4.0
Guillotine,Jon Bellion,124221,indie pop rap,0.574,0.803,4.0,-3.17,0.0,0.186,0.102,4.15e-06,0.0861,0.647,97.967,audio_features,2FK1qmw8XNBqUe5CcgTVnE,spotify:track:2FK1qmw8XNBqUe5CcgTVnE,https://api.spotify.com/v1/tracks/2FK1qmw8XNBqUe5CcgTVnE,https://api.spotify.com/v1/audio-analysis/2FK1qmw8XNBqUe5CcgTVnE,208125.0,4.0
Hate The Way (feat. blackbear),G-Eazy,214214,indie pop rap,0.569,0.865,4.0,-3.844,0.0,0.266,0.0673,0.0,0.312,0.361,82.011,audio_features,3QGppKBPd9gHOgHJzRbVIw,spotify:track:3QGppKBPd9gHOgHJzRbVIw,https://api.spotify.com/v1/tracks/3QGppKBPd9gHOgHJzRbVIw,https://api.spotify.com/v1/audio-analysis/3QGppKBPd9gHOgHJzRbVIw,214363.0,4.0
"Me, Myself & I",G-Eazy,496234,indie pop rap,0.756,0.674,0.0,-6.518,0.0,0.0959,0.0184,0.0,0.158,0.389,111.995,audio_features,40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,251467.0,4.0
Put Me First (feat. Josh Golden),Witt Lowry,5117618,indie pop rap,0.796,0.699,2.0,-7.029,1.0,0.101,0.294,4.74e-06,0.162,0.431,124.115,audio_features,4RmMhIXDNqtZ9xDrUCpn5w,spotify:track:4RmMhIXDNqtZ9xDrUCpn5w,https://api.spotify.com/v1/tracks/4RmMhIXDNqtZ9xDrUCpn5w,https://api.spotify.com/v1/audio-analysis/4RmMhIXDNqtZ9xDrUCpn5w,158440.0,4.0
Ross And Rachel,Jake Miller,387217,indie pop rap,0.66,0.639,9.0,-6.61,1.0,0.0286,0.345,0.00109,0.0775,0.227,124.068,audio_features,4vCiNW18AyeaUAZosVnX61,spotify:track:4vCiNW18AyeaUAZosVnX61,https://api.spotify.com/v1/tracks/4vCiNW18AyeaUAZosVnX61,https://api.spotify.com/v1/audio-analysis/4vCiNW18AyeaUAZosVnX61,192980.0,4.0
All Time Low,Jon Bellion,4315705,indie pop rap,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,audio_features,0SuLAslEMFZAXf0SwY7syi,spotify:track:0SuLAslEMFZAXf0SwY7syi,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,https://api.spotify.com/v1/audio-analysis/0SuLAslEMFZAXf0SwY7syi,217603.0,4.0
All for Me,Hoodie Allen,4851911,indie pop rap,0.74,0.7,4.0,-7.066,0.0,0.165,0.126,0.0,0.208,0.377,89.971,audio_features,1yxO5CmOSNFq600UkDiPMn,spotify:track:1yxO5CmOSNFq600UkDiPMn,https://api.spotify.com/v1/tracks/1yxO5CmOSNFq600UkDiPMn,https://api.spotify.com/v1/audio-analysis/1yxO5CmOSNFq600UkDiPMn,224049.0,4.0
