trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
affection,BETWEEN FRIENDS,5557135,indie pop,0.394,0.565,2.0,-7.264,1.0,0.126,0.518,1.68e-06,0.0853,0.308,90.773,audio_features,4LyIHEDbAWDeKV0JbVZae9,spotify:track:4LyIHEDbAWDeKV0JbVZae9,https://api.spotify.com/v1/tracks/4LyIHEDbAWDeKV0JbVZae9,https://api.spotify.com/v1/audio-analysis/4LyIHEDbAWDeKV0JbVZae9,235226.0,4.0
i saw you in a dream,The Japanese House,400608,indie pop,0.607,0.451,4.0,-8.206,1.0,0.0286,0.0604,0.0,0.19,0.676,94.054,audio_features,0U3u0HdRQjD8mAMYBak4Ok,spotify:track:0U3u0HdRQjD8mAMYBak4Ok,https://api.spotify.com/v1/tracks/0U3u0HdRQjD8mAMYBak4Ok,https://api.spotify.com/v1/audio-analysis/0U3u0HdRQjD8mAMYBak4Ok,208280.0,4.0
more,BETWEEN FRIENDS,269795,indie pop,0.386,0.516,0.0,-9.223,1.0,0.285,0.515,0.0,0.0972,0.556,95.0,audio_features,28Jp7gcgysBhWZJ9mnXEYd,spotify:track:28Jp7gcgysBhWZJ9mnXEYd,https://api.spotify.com/v1/tracks/28Jp7gcgysBhWZJ9mnXEYd,https://api.spotify.com/v1/audio-analysis/28Jp7gcgysBhWZJ9mnXEYd,193280.0,4.0
Born In The Slumber,flora cash,638360,indie pop,0.619,0.332,1.0,-8.598,0.0,0.0339,0.723,0.0,0.131,0.0878,120.008,audio_features,6mRYWQUJJ1Z02aMviz2Dj7,spotify:track:6mRYWQUJJ1Z02aMviz2Dj7,https://api.spotify.com/v1/tracks/6mRYWQUJJ1Z02aMviz2Dj7,https://api.spotify.com/v1/audio-analysis/6mRYWQUJJ1Z02aMviz2Dj7,212840.0,4.0
Crybaby,Dreamer Boy,1235694,indie pop,0.626,0.652,5.0,-6.132,1.0,0.0351,0.501,2.68e-06,0.118,0.475,138.007,audio_features,2bXOylRRysIa9H2OBt1TBj,spotify:track:2bXOylRRysIa9H2OBt1TBj,https://api.spotify.com/v1/tracks/2bXOylRRysIa9H2OBt1TBj,https://api.spotify.com/v1/audio-analysis/2bXOylRRysIa9H2OBt1TBj,205950.0,4.0
Django,Samia,831126,indie pop,0.558,0.136,8.0,-11.731,0.0,0.0337,0.799,0.0,0.1,0.141,80.259,audio_features,7n8oAD5lFVciTlfPAChrCr,spotify:track:7n8oAD5lFVciTlfPAChrCr,https://api.spotify.com/v1/tracks/7n8oAD5lFVciTlfPAChrCr,https://api.spotify.com/v1/audio-analysis/7n8oAD5lFVciTlfPAChrCr,204285.0,4.0
Flight Risk,Tommy Lefroy,59026,indie pop,0.348,0.165,6.0,-6.816,1.0,0.0439,0.418,0.0,0.162,0.109,47.971,audio_features,0kAsY8KaG5sM6uwAEt3qyg,spotify:track:0kAsY8KaG5sM6uwAEt3qyg,https://api.spotify.com/v1/tracks/0kAsY8KaG5sM6uwAEt3qyg,https://api.spotify.com/v1/audio-analysis/0kAsY8KaG5sM6uwAEt3qyg,59027.0,4.0
Funeral,Phoebe Bridgers,2555320,indie pop,0.218,0.263,11.0,-14.416,1.0,0.0376,0.947,0.00028,0.0919,0.307,170.724,audio_features,3rJDsZjIaCfJQSqRUvl0BM,spotify:track:3rJDsZjIaCfJQSqRUvl0BM,https://api.spotify.com/v1/tracks/3rJDsZjIaCfJQSqRUvl0BM,https://api.spotify.com/v1/audio-analysis/3rJDsZjIaCfJQSqRUvl0BM,232373.0,4.0
I Don't Wanna See You Cryin' Anymore,Adam Melchor,894908,indie pop,0.664,0.414,0.0,-11.931,1.0,0.0304,0.874,0.0346,0.132,0.699,77.948,audio_features,75GzLKzGuCPSayNucAoSC6,spotify:track:75GzLKzGuCPSayNucAoSC6,https://api.spotify.com/v1/tracks/75GzLKzGuCPSayNucAoSC6,https://api.spotify.com/v1/audio-analysis/75GzLKzGuCPSayNucAoSC6,223728.0,4.0
I Wish I Never Met You,Babygirl,6408913,indie pop,0.82,0.494,1.0,-9.151,1.0,0.0309,0.281,0.0358,0.154,0.909,109.956,audio_features,12l2XM75QCGVCXM37Ktxzs,spotify:track:12l2XM75QCGVCXM37Ktxzs,https://api.spotify.com/v1/tracks/12l2XM75QCGVCXM37Ktxzs,https://api.spotify.com/v1/audio-analysis/12l2XM75QCGVCXM37Ktxzs,211744.0,4.0
