trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
crash,EDEN,4539000,indie poptimism,0.503,0.212,0.0,-12.735,0.0,0.0658,0.872,0.000293,0.12,0.185,118.492,audio_features,7EkMIQ2PzEzwQroLl6dUvw,spotify:track:7EkMIQ2PzEzwQroLl6dUvw,https://api.spotify.com/v1/tracks/7EkMIQ2PzEzwQroLl6dUvw,https://api.spotify.com/v1/audio-analysis/7EkMIQ2PzEzwQroLl6dUvw,232412.0,4.0
drugs,EDEN,4622914,indie poptimism,0.484,0.444,4.0,-6.935,0.0,0.0636,0.601,0.0,0.238,0.226,144.21,audio_features,3OXpdrHLT4IqM76RajgM6Q,spotify:track:3OXpdrHLT4IqM76RajgM6Q,https://api.spotify.com/v1/tracks/3OXpdrHLT4IqM76RajgM6Q,https://api.spotify.com/v1/audio-analysis/3OXpdrHLT4IqM76RajgM6Q,338333.0,4.0
gold,EDEN,1769815,indie poptimism,0.7,0.454,8.0,-9.574,1.0,0.172,0.612,0.0,0.379,0.583,97.032,audio_features,3jZihewg1kioufCyUKhm7w,spotify:track:3jZihewg1kioufCyUKhm7w,https://api.spotify.com/v1/tracks/3jZihewg1kioufCyUKhm7w,https://api.spotify.com/v1/audio-analysis/3jZihewg1kioufCyUKhm7w,196701.0,4.0
Electric Love,BØRNS,5771945,indie poptimism,0.611,0.797,6.0,-7.627,0.0,0.0533,0.00543,0.00137,0.26,0.518,120.041,audio_features,2GiJYvgVaD2HtM8GqD9EgQ,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/tracks/2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/audio-analysis/2GiJYvgVaD2HtM8GqD9EgQ,218107.0,4.0
Forever,Labrinth,8354,indie poptimism,0.563,0.459,4.0,-7.781,0.0,0.0292,0.92,0.724,0.11,0.197,79.983,audio_features,6potEImiklXkwD9qFzpu15,spotify:track:6potEImiklXkwD9qFzpu15,https://api.spotify.com/v1/tracks/6potEImiklXkwD9qFzpu15,https://api.spotify.com/v1/audio-analysis/6potEImiklXkwD9qFzpu15,202536.0,4.0
Formula,Labrinth,1435694,indie poptimism,0.574,0.664,11.0,-6.068,1.0,0.0409,0.0448,0.0553,0.146,0.226,144.654,audio_features,6EtKlIQmGPB9SX8UjDJG5s,spotify:track:6EtKlIQmGPB9SX8UjDJG5s,https://api.spotify.com/v1/tracks/6EtKlIQmGPB9SX8UjDJG5s,https://api.spotify.com/v1/audio-analysis/6EtKlIQmGPB9SX8UjDJG5s,91870.0,4.0
Fumes,EDEN,4532199,indie poptimism,0.388,0.836,7.0,-3.269,1.0,0.231,0.161,0.0,0.936,0.353,76.305,audio_features,7fJALFBexDXzu0QdatF5O4,spotify:track:7fJALFBexDXzu0QdatF5O4,https://api.spotify.com/v1/tracks/7fJALFBexDXzu0QdatF5O4,https://api.spotify.com/v1/audio-analysis/7fJALFBexDXzu0QdatF5O4,214632.0,4.0
Go Fuck Yourself,Two Feet,137178,indie poptimism,0.765,0.327,6.0,-8.029,1.0,0.277,0.571,0.0479,0.0787,0.292,74.931,audio_features,4NZrZgrRoR4GwR7flWOXRI,spotify:track:4NZrZgrRoR4GwR7flWOXRI,https://api.spotify.com/v1/tracks/4NZrZgrRoR4GwR7flWOXRI,https://api.spotify.com/v1/audio-analysis/4NZrZgrRoR4GwR7flWOXRI,129600.0,4.0
Happiest Year,Jaymes Young,3961593,indie poptimism,0.502,0.168,1.0,-14.061,1.0,0.0486,0.885,0.0,0.111,0.355,112.881,audio_features,219slQu3ALbTSAe9P22hvE,spotify:track:219slQu3ALbTSAe9P22hvE,https://api.spotify.com/v1/tracks/219slQu3ALbTSAe9P22hvE,https://api.spotify.com/v1/audio-analysis/219slQu3ALbTSAe9P22hvE,228443.0,3.0
Hurt People,Two Feet,387254,indie poptimism,0.387,0.62,6.0,-4.204,1.0,0.0811,0.616,0.0,0.0827,0.405,97.402,audio_features,16mrdTSWwfVfOiZNw84tQC,spotify:track:16mrdTSWwfVfOiZNw84tQC,https://api.spotify.com/v1/tracks/16mrdTSWwfVfOiZNw84tQC,https://api.spotify.com/v1/audio-analysis/16mrdTSWwfVfOiZNw84tQC,193813.0,3.0
