trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Deep End,Fousheé,1273627,indie r&b,0.711,0.592,4.0,-7.136,0.0,0.23,0.758,0.0,0.156,0.535,124.749,audio_features,6HlE9t71z9DjGi7KqSyEpA,spotify:track:6HlE9t71z9DjGi7KqSyEpA,https://api.spotify.com/v1/tracks/6HlE9t71z9DjGi7KqSyEpA,https://api.spotify.com/v1/audio-analysis/6HlE9t71z9DjGi7KqSyEpA,141224.0,4.0
Follow Through,Devin Kennedy,7360674,indie r&b,0.585,0.51,7.0,-8.056,1.0,0.0705,0.818,5.81e-06,0.28,0.622,78.324,audio_features,0ywYfM7AOcyvOql97K6O5p,spotify:track:0ywYfM7AOcyvOql97K6O5p,https://api.spotify.com/v1/tracks/0ywYfM7AOcyvOql97K6O5p,https://api.spotify.com/v1/audio-analysis/0ywYfM7AOcyvOql97K6O5p,140446.0,4.0
Forget About You,Devin Kennedy,151712,indie r&b,0.503,0.264,10.0,-9.762,0.0,0.0632,0.807,0.0,0.24,0.44,45.861,audio_features,16BMKSNU69eW0y1Q0vWvwa,spotify:track:16BMKSNU69eW0y1Q0vWvwa,https://api.spotify.com/v1/tracks/16BMKSNU69eW0y1Q0vWvwa,https://api.spotify.com/v1/audio-analysis/16BMKSNU69eW0y1Q0vWvwa,100739.0,4.0
Hurt U,Devin Kennedy,638332,indie r&b,0.678,0.558,2.0,-8.235,1.0,0.0526,0.573,0.0,0.105,0.574,147.98,audio_features,3fZ31KU4L6HjkiFBVH7rz9,spotify:track:3fZ31KU4L6HjkiFBVH7rz9,https://api.spotify.com/v1/tracks/3fZ31KU4L6HjkiFBVH7rz9,https://api.spotify.com/v1/audio-analysis/3fZ31KU4L6HjkiFBVH7rz9,172493.0,4.0
Lip Service,Cautious Clay,745815,indie r&b,0.488,0.264,5.0,-12.325,1.0,0.0336,0.484,0.0,0.131,0.304,100.337,audio_features,3tqo6JRpy7V6LNVcGDdo0Z,spotify:track:3tqo6JRpy7V6LNVcGDdo0Z,https://api.spotify.com/v1/tracks/3tqo6JRpy7V6LNVcGDdo0Z,https://api.spotify.com/v1/audio-analysis/3tqo6JRpy7V6LNVcGDdo0Z,149235.0,4.0
Loose Change,Devin Kennedy,3512213,indie r&b,0.825,0.42,11.0,-14.702,1.0,0.0516,0.326,0.0,0.151,0.781,119.953,audio_features,0ax8NVafraj3HnfCwvnHK4,spotify:track:0ax8NVafraj3HnfCwvnHK4,https://api.spotify.com/v1/tracks/0ax8NVafraj3HnfCwvnHK4,https://api.spotify.com/v1/audio-analysis/0ax8NVafraj3HnfCwvnHK4,163500.0,4.0
Shook,Cautious Clay,45467,indie r&b,0.693,0.694,8.0,-6.973,1.0,0.0533,0.344,0.000109,0.112,0.882,90.011,audio_features,66V5BpE4bbuRWZyehvmuq6,spotify:track:66V5BpE4bbuRWZyehvmuq6,https://api.spotify.com/v1/tracks/66V5BpE4bbuRWZyehvmuq6,https://api.spotify.com/v1/audio-analysis/66V5BpE4bbuRWZyehvmuq6,149999.0,4.0
Something Bout That Feeling,Devin Kennedy,132688,indie r&b,0.69,0.397,5.0,-6.514,1.0,0.0453,0.064,0.0,0.0784,0.772,203.723,audio_features,0pH9ckmrcCM6O0MTart24w,spotify:track:0pH9ckmrcCM6O0MTart24w,https://api.spotify.com/v1/tracks/0pH9ckmrcCM6O0MTart24w,https://api.spotify.com/v1/audio-analysis/0pH9ckmrcCM6O0MTart24w,132689.0,4.0
Wildfire,Cautious Clay,76542,indie r&b,0.564,0.352,9.0,-10.788,1.0,0.0321,0.673,0.000213,0.449,0.415,85.013,audio_features,2GQomOm5bdbNnUooS3HEuF,spotify:track:2GQomOm5bdbNnUooS3HEuF,https://api.spotify.com/v1/tracks/2GQomOm5bdbNnUooS3HEuF,https://api.spotify.com/v1/audio-analysis/2GQomOm5bdbNnUooS3HEuF,151913.0,4.0
Deep End,Fousheé,1273627,indie r&b,0.711,0.592,4.0,-7.136,0.0,0.23,0.758,0.0,0.156,0.535,124.749,audio_features,6HlE9t71z9DjGi7KqSyEpA,spotify:track:6HlE9t71z9DjGi7KqSyEpA,https://api.spotify.com/v1/tracks/6HlE9t71z9DjGi7KqSyEpA,https://api.spotify.com/v1/audio-analysis/6HlE9t71z9DjGi7KqSyEpA,141224.0,4.0
