trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Again to Goshintai,RADWIMPS,1496410,j-pop,0.2,0.318,5.0,-11.267,1.0,0.0449,0.925,0.894,0.114,0.0465,119.593,audio_features,5axz8UbmqJO9Yr0w8eMKUe,spotify:track:5axz8UbmqJO9Yr0w8eMKUe,https://api.spotify.com/v1/tracks/5axz8UbmqJO9Yr0w8eMKUe,https://api.spotify.com/v1/audio-analysis/5axz8UbmqJO9Yr0w8eMKUe,143253.0,4.0
Autumn festival,RADWIMPS,748966,j-pop,0.637,0.205,7.0,-15.144,1.0,0.0411,0.99,0.967,0.147,0.345,110.386,audio_features,1BikQ3e5AUfDSdzTosW9bE,spotify:track:1BikQ3e5AUfDSdzTosW9bE,https://api.spotify.com/v1/tracks/1BikQ3e5AUfDSdzTosW9bE,https://api.spotify.com/v1/audio-analysis/1BikQ3e5AUfDSdzTosW9bE,67987.0,3.0
Zenzenzense - movie ver.,RADWIMPS,11163228,j-pop,0.321,0.906,11.0,-3.967,1.0,0.141,0.000439,0.0,0.0862,0.641,189.776,audio_features,2DLrgv7HhJanCuD8L9uJLR,spotify:track:2DLrgv7HhJanCuD8L9uJLR,https://api.spotify.com/v1/tracks/2DLrgv7HhJanCuD8L9uJLR,https://api.spotify.com/v1/audio-analysis/2DLrgv7HhJanCuD8L9uJLR,285880.0,4.0
again,YUI,530354,j-pop,0.595,0.83,4.0,-3.836,0.0,0.0379,0.046,0.0,0.361,0.494,139.922,audio_features,4OQq1bcP12GQQXJNupxqfR,spotify:track:4OQq1bcP12GQQXJNupxqfR,https://api.spotify.com/v1/tracks/4OQq1bcP12GQQXJNupxqfR,https://api.spotify.com/v1/audio-analysis/4OQq1bcP12GQQXJNupxqfR,254347.0,4.0
me me she,RADWIMPS,27377,j-pop,0.617,0.592,4.0,-4.816,1.0,0.0289,0.0204,1.05e-06,0.147,0.374,117.97,audio_features,0BYa5V0RyOYthDeCMUBJQZ,spotify:track:0BYa5V0RyOYthDeCMUBJQZ,https://api.spotify.com/v1/tracks/0BYa5V0RyOYthDeCMUBJQZ,https://api.spotify.com/v1/audio-analysis/0BYa5V0RyOYthDeCMUBJQZ,281493.0,4.0
キケンナアソビ,Creep Hyp,836626,j-pop,0.683,0.684,11.0,-5.325,1.0,0.0307,0.138,0.0,0.16,0.674,88.018,audio_features,2XvtKqNuL8vCkekyzmb8OJ,spotify:track:2XvtKqNuL8vCkekyzmb8OJ,https://api.spotify.com/v1/tracks/2XvtKqNuL8vCkekyzmb8OJ,https://api.spotify.com/v1/audio-analysis/2XvtKqNuL8vCkekyzmb8OJ,241213.0,4.0
ハルジオン,YOASOBI,197935,j-pop,0.687,0.873,8.0,-3.852,1.0,0.0335,0.0545,0.0,0.318,0.884,130.024,audio_features,08YwAPnX8sygJUXG9rvhDv,spotify:track:08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/tracks/08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/audio-analysis/08YwAPnX8sygJUXG9rvhDv,198600.0,4.0
バイ・マイ・サイ,RADWIMPS,35067707,j-pop,0.611,0.493,1.0,-8.365,0.0,0.0289,0.603,1.92e-05,0.159,0.425,95.995,audio_features,5h8jp1tzNDBhETtY4l1pjI,spotify:track:5h8jp1tzNDBhETtY4l1pjI,https://api.spotify.com/v1/tracks/5h8jp1tzNDBhETtY4l1pjI,https://api.spotify.com/v1/audio-analysis/5h8jp1tzNDBhETtY4l1pjI,282613.0,4.0
盗作,ヨルシカ,239046,j-pop,0.654,0.756,1.0,-4.46,1.0,0.0326,0.00946,0.013,0.0685,0.865,99.988,audio_features,0k0zcBRE3StKssNhEF86rW,spotify:track:0k0zcBRE3StKssNhEF86rW,https://api.spotify.com/v1/tracks/0k0zcBRE3StKssNhEF86rW,https://api.spotify.com/v1/audio-analysis/0k0zcBRE3StKssNhEF86rW,239120.0,4.0
記念撮影,BUMP OF CHICKEN,437806,j-pop,0.615,0.738,9.0,-6.883,1.0,0.0291,0.115,0.0,0.0554,0.67,119.924,audio_features,1pfZ0POxTGl7JbQyCdst5Q,spotify:track:1pfZ0POxTGl7JbQyCdst5Q,https://api.spotify.com/v1/tracks/1pfZ0POxTGl7JbQyCdst5Q,https://api.spotify.com/v1/audio-analysis/1pfZ0POxTGl7JbQyCdst5Q,282563.0,4.0
