trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Allure,DaniSogen,156000,japanese chillhop,0.635,0.238,11.0,-20.089,0.0,0.0317,0.91,0.914,0.0857,0.136,120.005,audio_features,6epWOvYxmfcqxhuRAlMooB,spotify:track:6epWOvYxmfcqxhuRAlMooB,https://api.spotify.com/v1/tracks/6epWOvYxmfcqxhuRAlMooB,https://api.spotify.com/v1/audio-analysis/6epWOvYxmfcqxhuRAlMooB,156000.0,4.0
let me hold you,lofi.samurai,85979,japanese chillhop,0.533,0.331,10.0,-15.903,0.0,0.587,0.982,0.648,0.829,0.23,69.527,audio_features,66k75vZNgRnOuJosuAFNeY,spotify:track:66k75vZNgRnOuJosuAFNeY,https://api.spotify.com/v1/tracks/66k75vZNgRnOuJosuAFNeY,https://api.spotify.com/v1/audio-analysis/66k75vZNgRnOuJosuAFNeY,85979.0,4.0
Bloom,SPEECHLESS,155715,japanese chillhop,0.662,0.206,11.0,-14.994,0.0,0.0473,0.95,0.797,0.102,0.278,123.934,audio_features,0BbPcyNwgIbB9GYNwCN9Ja,spotify:track:0BbPcyNwgIbB9GYNwCN9Ja,https://api.spotify.com/v1/tracks/0BbPcyNwgIbB9GYNwCN9Ja,https://api.spotify.com/v1/audio-analysis/0BbPcyNwgIbB9GYNwCN9Ja,155716.0,4.0
Butterfly Lullaby,Tenno,176417,japanese chillhop,0.566,0.375,7.0,-14.698,0.0,0.0382,0.822,0.826,0.239,0.139,134.048,audio_features,7ipfmsder4iuSkCeYfs9Bm,spotify:track:7ipfmsder4iuSkCeYfs9Bm,https://api.spotify.com/v1/tracks/7ipfmsder4iuSkCeYfs9Bm,https://api.spotify.com/v1/audio-analysis/7ipfmsder4iuSkCeYfs9Bm,176418.0,4.0
Cherry Blossom,Tosama Beats,299220,japanese chillhop,0.695,0.333,2.0,-13.224,1.0,0.0305,0.735,0.826,0.0893,0.452,77.006,audio_features,4pAjQMx0HQFUDHv9J9mtQw,spotify:track:4pAjQMx0HQFUDHv9J9mtQw,https://api.spotify.com/v1/tracks/4pAjQMx0HQFUDHv9J9mtQw,https://api.spotify.com/v1/audio-analysis/4pAjQMx0HQFUDHv9J9mtQw,149610.0,4.0
Evening Rain,DaniSogen,168157,japanese chillhop,0.64,0.288,8.0,-17.264,0.0,0.0413,0.884,0.848,0.144,0.325,76.012,audio_features,6RpBuAEyOoMC4nSzYZrDOK,spotify:track:6RpBuAEyOoMC4nSzYZrDOK,https://api.spotify.com/v1/tracks/6RpBuAEyOoMC4nSzYZrDOK,https://api.spotify.com/v1/audio-analysis/6RpBuAEyOoMC4nSzYZrDOK,168158.0,4.0
I Can't Hate You,Kayou.,1360459,japanese chillhop,0.693,0.438,10.0,-9.452,0.0,0.0943,0.451,0.000277,0.107,0.191,139.873,audio_features,21NeQgKhabORuZ3pfsPfz5,spotify:track:21NeQgKhabORuZ3pfsPfz5,https://api.spotify.com/v1/tracks/21NeQgKhabORuZ3pfsPfz5,https://api.spotify.com/v1/audio-analysis/21NeQgKhabORuZ3pfsPfz5,178481.0,4.0
I'm Sorry,Swell,28052,japanese chillhop,0.944,0.543,6.0,-9.61,0.0,0.164,0.0841,9.83e-05,0.0332,0.733,134.953,audio_features,7MIxz8un6IEkwPndC43mFU,spotify:track:7MIxz8un6IEkwPndC43mFU,https://api.spotify.com/v1/tracks/7MIxz8un6IEkwPndC43mFU,https://api.spotify.com/v1/audio-analysis/7MIxz8un6IEkwPndC43mFU,157333.0,4.0
Luna,Tenno,154615,japanese chillhop,0.395,0.379,9.0,-13.785,0.0,0.192,0.936,0.977,0.344,0.0379,207.841,audio_features,5FMeLrcoOH6iwTS5QD7aLR,spotify:track:5FMeLrcoOH6iwTS5QD7aLR,https://api.spotify.com/v1/tracks/5FMeLrcoOH6iwTS5QD7aLR,https://api.spotify.com/v1/audio-analysis/5FMeLrcoOH6iwTS5QD7aLR,154615.0,3.0
Nagata Lights,Mujo,122240,japanese chillhop,0.544,0.33,6.0,-10.364,0.0,0.0978,0.872,0.935,0.108,0.65,69.77,audio_features,3tI6ByTenOTqT0fIj5digf,spotify:track:3tI6ByTenOTqT0fIj5digf,https://api.spotify.com/v1/tracks/3tI6ByTenOTqT0fIj5digf,https://api.spotify.com/v1/audio-analysis/3tI6ByTenOTqT0fIj5digf,122240.0,4.0
