trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
生絲,Yoh kamiyama,114515,japanese teen pop,0.68,0.707,8.0,-5.287,0.0,0.0336,0.184,0.0,0.296,0.602,127.92,audio_features,6hIlhl0dHbyhncChSURr7h,spotify:track:6hIlhl0dHbyhncChSURr7h,https://api.spotify.com/v1/tracks/6hIlhl0dHbyhncChSURr7h,https://api.spotify.com/v1/audio-analysis/6hIlhl0dHbyhncChSURr7h,264387.0,4.0
色彩,Riria.,6844262,japanese teen pop,0.694,0.498,5.0,-6.814,0.0,0.028,0.426,0.00514,0.144,0.288,119.968,audio_features,5beUlYNGOPmsPga7iB9SE1,spotify:track:5beUlYNGOPmsPga7iB9SE1,https://api.spotify.com/v1/tracks/5beUlYNGOPmsPga7iB9SE1,https://api.spotify.com/v1/audio-analysis/5beUlYNGOPmsPga7iB9SE1,311500.0,4.0
色香水,Yoh kamiyama,109652914,japanese teen pop,0.613,0.857,7.0,-5.272,1.0,0.0271,0.0686,7.93e-05,0.256,0.698,147.974,audio_features,7FpABRyv5TaZz0llkhjPgc,spotify:track:7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/tracks/7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/audio-analysis/7FpABRyv5TaZz0llkhjPgc,250792.0,4.0
Shinunoga E-Wa,Fujii Kaze,139660,japanese teen pop,0.6,0.76,6.0,-6.124,0.0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,audio_features,0o9zmvc5f3EFApU52PPIyW,spotify:track:0o9zmvc5f3EFApU52PPIyW,https://api.spotify.com/v1/tracks/0o9zmvc5f3EFApU52PPIyW,https://api.spotify.com/v1/audio-analysis/0o9zmvc5f3EFApU52PPIyW,185573.0,4.0
YELLOW,Yoh kamiyama,3325872,japanese teen pop,0.786,0.719,7.0,-4.77,0.0,0.0353,0.0144,0.000638,0.0887,0.686,117.981,audio_features,6oLejuhWNQf76ydBbtLrT9,spotify:track:6oLejuhWNQf76ydBbtLrT9,https://api.spotify.com/v1/tracks/6oLejuhWNQf76ydBbtLrT9,https://api.spotify.com/v1/audio-analysis/6oLejuhWNQf76ydBbtLrT9,178712.0,4.0
生絲,Yoh kamiyama,114515,japanese teen pop,0.68,0.707,8.0,-5.287,0.0,0.0336,0.184,0.0,0.296,0.602,127.92,audio_features,6hIlhl0dHbyhncChSURr7h,spotify:track:6hIlhl0dHbyhncChSURr7h,https://api.spotify.com/v1/tracks/6hIlhl0dHbyhncChSURr7h,https://api.spotify.com/v1/audio-analysis/6hIlhl0dHbyhncChSURr7h,264387.0,4.0
色彩,Riria.,6844262,japanese teen pop,0.694,0.498,5.0,-6.814,0.0,0.028,0.426,0.00514,0.144,0.288,119.968,audio_features,5beUlYNGOPmsPga7iB9SE1,spotify:track:5beUlYNGOPmsPga7iB9SE1,https://api.spotify.com/v1/tracks/5beUlYNGOPmsPga7iB9SE1,https://api.spotify.com/v1/audio-analysis/5beUlYNGOPmsPga7iB9SE1,311500.0,4.0
色香水,Yoh kamiyama,109652914,japanese teen pop,0.613,0.857,7.0,-5.272,1.0,0.0271,0.0686,7.93e-05,0.256,0.698,147.974,audio_features,7FpABRyv5TaZz0llkhjPgc,spotify:track:7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/tracks/7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/audio-analysis/7FpABRyv5TaZz0llkhjPgc,250792.0,4.0
Shinunoga E-Wa,Fujii Kaze,139660,japanese teen pop,0.6,0.76,6.0,-6.124,0.0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,audio_features,0o9zmvc5f3EFApU52PPIyW,spotify:track:0o9zmvc5f3EFApU52PPIyW,https://api.spotify.com/v1/tracks/0o9zmvc5f3EFApU52PPIyW,https://api.spotify.com/v1/audio-analysis/0o9zmvc5f3EFApU52PPIyW,185573.0,4.0
YELLOW,Yoh kamiyama,3325872,japanese teen pop,0.786,0.719,7.0,-4.77,0.0,0.0353,0.0144,0.000638,0.0887,0.686,117.981,audio_features,6oLejuhWNQf76ydBbtLrT9,spotify:track:6oLejuhWNQf76ydBbtLrT9,https://api.spotify.com/v1/tracks/6oLejuhWNQf76ydBbtLrT9,https://api.spotify.com/v1/audio-analysis/6oLejuhWNQf76ydBbtLrT9,178712.0,4.0
