trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All I Wanna Do,Jay Park,3111686,k-pop,0.403,0.724,8.0,-6.064,1.0,0.246,0.377,0.0,0.0927,0.428,97.133,audio_features,2FWquqPNxte8iqZ3ATQG0p,spotify:track:2FWquqPNxte8iqZ3ATQG0p,https://api.spotify.com/v1/tracks/2FWquqPNxte8iqZ3ATQG0p,https://api.spotify.com/v1/audio-analysis/2FWquqPNxte8iqZ3ATQG0p,216786.0,4.0
BTBT,B.I,605012,k-pop,0.766,0.664,9.0,-6.932,0.0,0.177,0.334,0.0,0.115,0.509,109.946,audio_features,4XcxgZSriCYamtIA7BgT7V,spotify:track:4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/tracks/4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/audio-analysis/4XcxgZSriCYamtIA7BgT7V,219550.0,4.0
Bad Boy,CHUNG HA,6303704,k-pop,0.822,0.574,5.0,-4.02,0.0,0.0461,0.351,0.0,0.245,0.743,116.987,audio_features,1WCOna34eEMPgjfOOZkGQc,spotify:track:1WCOna34eEMPgjfOOZkGQc,https://api.spotify.com/v1/tracks/1WCOna34eEMPgjfOOZkGQc,https://api.spotify.com/v1/audio-analysis/1WCOna34eEMPgjfOOZkGQc,182587.0,4.0
Beautiful,Crush,478850,k-pop,0.416,0.41,10.0,-6.146,1.0,0.0292,0.843,0.0,0.107,0.219,110.252,audio_features,6mzF8HvHdVrzJNd8M1uFCS,spotify:track:6mzF8HvHdVrzJNd8M1uFCS,https://api.spotify.com/v1/tracks/6mzF8HvHdVrzJNd8M1uFCS,https://api.spotify.com/v1/audio-analysis/6mzF8HvHdVrzJNd8M1uFCS,227584.0,4.0
Your eyes tell,BTS,383,k-pop,0.449,0.491,9.0,-6.433,0.0,0.029,0.279,0.0,0.0654,0.258,139.923,audio_features,3TZ7NHkMT82AhwuYsd00Hz,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,245147.0,4.0
Boy With Luv (feat. Halsey),BTS,16330,k-pop,0.645,0.862,11.0,-4.761,0.0,0.0845,0.0933,0.0,0.193,0.803,119.947,audio_features,4a9tbd947vo9K8Vti9JwcI,spotify:track:4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/tracks/4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/audio-analysis/4a9tbd947vo9K8Vti9JwcI,229773.0,4.0
Congratulations,Eric Nam,2126204,k-pop,0.534,0.504,9.0,-4.02,1.0,0.102,0.354,0.0,0.0739,0.367,86.482,audio_features,134RSOYlwz0HNRDsGWdeba,spotify:track:134RSOYlwz0HNRDsGWdeba,https://api.spotify.com/v1/tracks/134RSOYlwz0HNRDsGWdeba,https://api.spotify.com/v1/audio-analysis/134RSOYlwz0HNRDsGWdeba,176440.0,4.0
I Don't Know You Anymore,Eric Nam,338403,k-pop,0.655,0.731,0.0,-5.154,0.0,0.0648,0.106,0.0,0.127,0.47,101.978,audio_features,09ZDPL4NSDNxfIic9gPnCn,spotify:track:09ZDPL4NSDNxfIic9gPnCn,https://api.spotify.com/v1/tracks/09ZDPL4NSDNxfIic9gPnCn,https://api.spotify.com/v1/audio-analysis/09ZDPL4NSDNxfIic9gPnCn,166333.0,4.0
It's You,Henry,551798,k-pop,0.55,0.465,7.0,-6.09,1.0,0.0248,0.609,0.0,0.109,0.314,76.033,audio_features,61OtYav1fiUCr73JwZD2Sb,spotify:track:61OtYav1fiUCr73JwZD2Sb,https://api.spotify.com/v1/tracks/61OtYav1fiUCr73JwZD2Sb,https://api.spotify.com/v1/audio-analysis/61OtYav1fiUCr73JwZD2Sb,231002.0,4.0
Lost On Me,Eric Nam,5083969,k-pop,0.752,0.537,1.0,-6.273,1.0,0.0505,0.45,0.000158,0.111,0.696,147.02,audio_features,5ijpPkVMurycFFfNKVlcoc,spotify:track:5ijpPkVMurycFFfNKVlcoc,https://api.spotify.com/v1/tracks/5ijpPkVMurycFFfNKVlcoc,https://api.spotify.com/v1/audio-analysis/5ijpPkVMurycFFfNKVlcoc,174387.0,4.0
Love Die Young,Eric Nam,49720,k-pop,0.662,0.39,11.0,-8.802,1.0,0.125,0.655,0.0,0.0933,0.22,76.016,audio_features,4DERyalxTlWCdlHkVi0TfO,spotify:track:4DERyalxTlWCdlHkVi0TfO,https://api.spotify.com/v1/tracks/4DERyalxTlWCdlHkVi0TfO,https://api.spotify.com/v1/audio-analysis/4DERyalxTlWCdlHkVi0TfO,203213.0,4.0
MONEY,LISA,168227,k-pop,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,audio_features,7hU3IHwjX150XLoTVmjD0q,spotify:track:7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/tracks/7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/audio-analysis/7hU3IHwjX150XLoTVmjD0q,168228.0,4.0
Make It Right (feat. Lauv),BTS,452554,k-pop,0.583,0.68,7.0,-7.809,1.0,0.422,0.0304,0.0,0.189,0.343,97.568,audio_features,2WH4oy1SYppZrcdgKwSA0j,spotify:track:2WH4oy1SYppZrcdgKwSA0j,https://api.spotify.com/v1/tracks/2WH4oy1SYppZrcdgKwSA0j,https://api.spotify.com/v1/audio-analysis/2WH4oy1SYppZrcdgKwSA0j,226321.0,4.0
Stay Alive (Prod. SUGA of BTS),Jung Kook,98339,k-pop,0.512,0.76,2.0,-5.889,0.0,0.0682,0.299,0.0,0.103,0.495,130.096,audio_features,7CAdT0HdiQNlt1C7xk2hep,spotify:track:7CAdT0HdiQNlt1C7xk2hep,https://api.spotify.com/v1/tracks/7CAdT0HdiQNlt1C7xk2hep,https://api.spotify.com/v1/audio-analysis/7CAdT0HdiQNlt1C7xk2hep,210928.0,4.0
WHO DO U LOVE?,Monsta X,188980,k-pop,0.782,0.637,10.0,-5.63,0.0,0.264,0.28,0.0,0.114,0.389,101.989,audio_features,6YKCEtfZXXyionWJPtT5jb,spotify:track:6YKCEtfZXXyionWJPtT5jb,https://api.spotify.com/v1/tracks/6YKCEtfZXXyionWJPtT5jb,https://api.spotify.com/v1/audio-analysis/6YKCEtfZXXyionWJPtT5jb,189035.0,4.0
All I Wanna Do,Jay Park,3111686,k-pop,0.403,0.724,8.0,-6.064,1.0,0.246,0.377,0.0,0.0927,0.428,97.133,audio_features,2FWquqPNxte8iqZ3ATQG0p,spotify:track:2FWquqPNxte8iqZ3ATQG0p,https://api.spotify.com/v1/tracks/2FWquqPNxte8iqZ3ATQG0p,https://api.spotify.com/v1/audio-analysis/2FWquqPNxte8iqZ3ATQG0p,216786.0,4.0
BTBT,B.I,605012,k-pop,0.766,0.664,9.0,-6.932,0.0,0.177,0.334,0.0,0.115,0.509,109.946,audio_features,4XcxgZSriCYamtIA7BgT7V,spotify:track:4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/tracks/4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/audio-analysis/4XcxgZSriCYamtIA7BgT7V,219550.0,4.0
Bad Boy,CHUNG HA,6303704,k-pop,0.822,0.574,5.0,-4.02,0.0,0.0461,0.351,0.0,0.245,0.743,116.987,audio_features,1WCOna34eEMPgjfOOZkGQc,spotify:track:1WCOna34eEMPgjfOOZkGQc,https://api.spotify.com/v1/tracks/1WCOna34eEMPgjfOOZkGQc,https://api.spotify.com/v1/audio-analysis/1WCOna34eEMPgjfOOZkGQc,182587.0,4.0
Beautiful,Crush,478850,k-pop,0.416,0.41,10.0,-6.146,1.0,0.0292,0.843,0.0,0.107,0.219,110.252,audio_features,6mzF8HvHdVrzJNd8M1uFCS,spotify:track:6mzF8HvHdVrzJNd8M1uFCS,https://api.spotify.com/v1/tracks/6mzF8HvHdVrzJNd8M1uFCS,https://api.spotify.com/v1/audio-analysis/6mzF8HvHdVrzJNd8M1uFCS,227584.0,4.0
Your eyes tell,BTS,383,k-pop,0.449,0.491,9.0,-6.433,0.0,0.029,0.279,0.0,0.0654,0.258,139.923,audio_features,3TZ7NHkMT82AhwuYsd00Hz,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,245147.0,4.0
Boy With Luv (feat. Halsey),BTS,16330,k-pop,0.645,0.862,11.0,-4.761,0.0,0.0845,0.0933,0.0,0.193,0.803,119.947,audio_features,4a9tbd947vo9K8Vti9JwcI,spotify:track:4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/tracks/4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/audio-analysis/4a9tbd947vo9K8Vti9JwcI,229773.0,4.0
Congratulations,Eric Nam,2126204,k-pop,0.534,0.504,9.0,-4.02,1.0,0.102,0.354,0.0,0.0739,0.367,86.482,audio_features,134RSOYlwz0HNRDsGWdeba,spotify:track:134RSOYlwz0HNRDsGWdeba,https://api.spotify.com/v1/tracks/134RSOYlwz0HNRDsGWdeba,https://api.spotify.com/v1/audio-analysis/134RSOYlwz0HNRDsGWdeba,176440.0,4.0
I Don't Know You Anymore,Eric Nam,338403,k-pop,0.655,0.731,0.0,-5.154,0.0,0.0648,0.106,0.0,0.127,0.47,101.978,audio_features,09ZDPL4NSDNxfIic9gPnCn,spotify:track:09ZDPL4NSDNxfIic9gPnCn,https://api.spotify.com/v1/tracks/09ZDPL4NSDNxfIic9gPnCn,https://api.spotify.com/v1/audio-analysis/09ZDPL4NSDNxfIic9gPnCn,166333.0,4.0
