trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Birds,imagiro,161327,lo-fi beats,0.611,0.426,4.0,-17.413,1.0,0.0444,0.899,0.888,0.0912,0.579,140.021,audio_features,4uhgyx6gD0n8nk4kzy0ABy,spotify:track:4uhgyx6gD0n8nk4kzy0ABy,https://api.spotify.com/v1/tracks/4uhgyx6gD0n8nk4kzy0ABy,https://api.spotify.com/v1/audio-analysis/4uhgyx6gD0n8nk4kzy0ABy,161328.0,4.0
north fell,Delayde,512874,lo-fi beats,0.647,0.114,8.0,-22.331,1.0,0.0539,0.956,0.903,0.113,0.11,72.974,audio_features,0mkM19QK1ZYcJzBKgY3ckK,spotify:track:0mkM19QK1ZYcJzBKgY3ckK,https://api.spotify.com/v1/tracks/0mkM19QK1ZYcJzBKgY3ckK,https://api.spotify.com/v1/audio-analysis/0mkM19QK1ZYcJzBKgY3ckK,170959.0,4.0
time travel,chief.,129779,lo-fi beats,0.382,0.18,9.0,-14.781,0.0,0.0485,0.887,0.816,0.0969,0.0752,153.347,audio_features,2LZtTBORHwvehJlJZBQCJB,spotify:track:2LZtTBORHwvehJlJZBQCJB,https://api.spotify.com/v1/tracks/2LZtTBORHwvehJlJZBQCJB,https://api.spotify.com/v1/audio-analysis/2LZtTBORHwvehJlJZBQCJB,129780.0,4.0
Cloyster,HM Surf,343800,lo-fi beats,0.593,0.162,10.0,-21.771,1.0,0.0391,0.94,0.849,0.0823,0.585,169.976,audio_features,3WJs0R8pZ4eOfJx3Om8ySr,spotify:track:3WJs0R8pZ4eOfJx3Om8ySr,https://api.spotify.com/v1/tracks/3WJs0R8pZ4eOfJx3Om8ySr,https://api.spotify.com/v1/audio-analysis/3WJs0R8pZ4eOfJx3Om8ySr,114601.0,4.0
Fallen Leaves,Retro Jungle,708921,lo-fi beats,0.644,0.0904,7.0,-24.887,1.0,0.04,0.795,0.93,0.107,0.314,130.047,audio_features,4QJ3kR7tnwUdbjgCz04hDh,spotify:track:4QJ3kR7tnwUdbjgCz04hDh,https://api.spotify.com/v1/tracks/4QJ3kR7tnwUdbjgCz04hDh,https://api.spotify.com/v1/audio-analysis/4QJ3kR7tnwUdbjgCz04hDh,236308.0,4.0
Falling for U,Peachy!,124000,lo-fi beats,0.719,0.36,6.0,-12.034,1.0,0.398,0.748,2.18e-06,0.0812,0.409,80.184,audio_features,2xhGZ3WzOa3tir28y7Cb88,spotify:track:2xhGZ3WzOa3tir28y7Cb88,https://api.spotify.com/v1/tracks/2xhGZ3WzOa3tir28y7Cb88,https://api.spotify.com/v1/audio-analysis/2xhGZ3WzOa3tir28y7Cb88,124000.0,4.0
Felted,Tom Doolie,111890,lo-fi beats,0.548,0.106,9.0,-19.316,0.0,0.0342,0.907,0.935,0.081,0.365,140.073,audio_features,0pc7pvoTQFPebXtWw35AK2,spotify:track:0pc7pvoTQFPebXtWw35AK2,https://api.spotify.com/v1/tracks/0pc7pvoTQFPebXtWw35AK2,https://api.spotify.com/v1/audio-analysis/0pc7pvoTQFPebXtWw35AK2,111890.0,4.0
Frost,Oatmello,130652,lo-fi beats,0.691,0.296,11.0,-16.54,0.0,0.0446,0.875,0.916,0.0854,0.255,137.995,audio_features,61Ti0m8GexReFbEj02jcOr,spotify:track:61Ti0m8GexReFbEj02jcOr,https://api.spotify.com/v1/tracks/61Ti0m8GexReFbEj02jcOr,https://api.spotify.com/v1/audio-analysis/61Ti0m8GexReFbEj02jcOr,130652.0,4.0
Healing,Laffey,146002,lo-fi beats,0.706,0.122,9.0,-19.783,1.0,0.0551,0.977,0.838,0.105,0.153,106.032,audio_features,5DAkTcEdBHQ96didB0uMwV,spotify:track:5DAkTcEdBHQ96didB0uMwV,https://api.spotify.com/v1/tracks/5DAkTcEdBHQ96didB0uMwV,https://api.spotify.com/v1/audio-analysis/5DAkTcEdBHQ96didB0uMwV,146002.0,4.0
I Am Fine,HM Surf,301000,lo-fi beats,0.508,0.182,3.0,-15.63,1.0,0.0285,0.842,0.924,0.116,0.238,66.033,audio_features,2wwx1g1SbQomP46X4qOZhU,spotify:track:2wwx1g1SbQomP46X4qOZhU,https://api.spotify.com/v1/tracks/2wwx1g1SbQomP46X4qOZhU,https://api.spotify.com/v1/audio-analysis/2wwx1g1SbQomP46X4qOZhU,150500.0,3.0
Ice Field,WYS,341712,lo-fi beats,0.592,0.147,0.0,-24.41,1.0,0.0315,0.932,0.921,0.123,0.0701,130.081,audio_features,4MCFdo1lyXrCtAmnJr8xXH,spotify:track:4MCFdo1lyXrCtAmnJr8xXH,https://api.spotify.com/v1/tracks/4MCFdo1lyXrCtAmnJr8xXH,https://api.spotify.com/v1/audio-analysis/4MCFdo1lyXrCtAmnJr8xXH,170856.0,4.0
Last Summer,Retro Jungle,379200,lo-fi beats,0.46,0.0799,4.0,-20.05,0.0,0.0352,0.943,0.882,0.0892,0.15,149.647,audio_features,7Kv7Q13skaIKLt7w2OShlH,spotify:track:7Kv7Q13skaIKLt7w2OShlH,https://api.spotify.com/v1/tracks/7Kv7Q13skaIKLt7w2OShlH,https://api.spotify.com/v1/audio-analysis/7Kv7Q13skaIKLt7w2OShlH,126400.0,4.0
Moss,imagiro,164625,lo-fi beats,0.742,0.28,5.0,-8.157,0.0,0.098,0.932,0.908,0.124,0.0964,82.997,audio_features,2juhNawrmbYjLxXdWqv600,spotify:track:2juhNawrmbYjLxXdWqv600,https://api.spotify.com/v1/tracks/2juhNawrmbYjLxXdWqv600,https://api.spotify.com/v1/audio-analysis/2juhNawrmbYjLxXdWqv600,164625.0,4.0
Mourning Dove,WYS,141158,lo-fi beats,0.654,0.535,6.0,-11.861,0.0,0.0429,0.771,0.908,0.0879,0.183,139.932,audio_features,6htUZ2aZGaZDbQ0LHjZwUI,spotify:track:6htUZ2aZGaZDbQ0LHjZwUI,https://api.spotify.com/v1/tracks/6htUZ2aZGaZDbQ0LHjZwUI,https://api.spotify.com/v1/audio-analysis/6htUZ2aZGaZDbQ0LHjZwUI,141159.0,4.0
Second Birth,DLJ,156666,lo-fi beats,0.58,0.254,11.0,-18.344,0.0,0.0884,0.0628,0.835,0.342,0.0763,144.008,audio_features,5v20VA1m4f82DLwXOHTTqK,spotify:track:5v20VA1m4f82DLwXOHTTqK,https://api.spotify.com/v1/tracks/5v20VA1m4f82DLwXOHTTqK,https://api.spotify.com/v1/audio-analysis/5v20VA1m4f82DLwXOHTTqK,156667.0,4.0
Simple Dreams,WYS,165255,lo-fi beats,0.644,0.241,0.0,-14.602,1.0,0.0416,0.875,0.36,0.401,0.0592,138.946,audio_features,1718OP6tEungb83wOs5Usl,spotify:track:1718OP6tEungb83wOs5Usl,https://api.spotify.com/v1/tracks/1718OP6tEungb83wOs5Usl,https://api.spotify.com/v1/audio-analysis/1718OP6tEungb83wOs5Usl,165255.0,4.0
