trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aquela Paz,DJ Lagoa,416000,lo-fi brasileiro,0.323,0.0742,10.0,-24.299,1.0,0.0328,0.981,0.944,0.0735,0.0398,60.035,audio_features,7I4ty3om2Ep1WlcGftwShl,spotify:track:7I4ty3om2Ep1WlcGftwShl,https://api.spotify.com/v1/tracks/7I4ty3om2Ep1WlcGftwShl,https://api.spotify.com/v1/audio-analysis/7I4ty3om2Ep1WlcGftwShl,208000.0,4.0
cerulean.,Gabriel Cavalcanti,245332,lo-fi brasileiro,0.579,0.0741,5.0,-21.105,1.0,0.0266,0.923,0.9,0.0846,0.196,90.073,audio_features,2eORR9aSjyp16BxFRbJTFh,spotify:track:2eORR9aSjyp16BxFRbJTFh,https://api.spotify.com/v1/tracks/2eORR9aSjyp16BxFRbJTFh,https://api.spotify.com/v1/audio-analysis/2eORR9aSjyp16BxFRbJTFh,122667.0,4.0
falling again,middt,326019,lo-fi brasileiro,0.666,0.115,4.0,-15.478,1.0,0.0333,0.966,0.972,0.0987,0.11,61.994,audio_features,4g3jSrPVcRABEqmuVb0Brh,spotify:track:4g3jSrPVcRABEqmuVb0Brh,https://api.spotify.com/v1/tracks/4g3jSrPVcRABEqmuVb0Brh,https://api.spotify.com/v1/audio-analysis/4g3jSrPVcRABEqmuVb0Brh,108673.0,4.0
Counting Sheep,DJ Lagoa,268800,lo-fi brasileiro,0.473,0.2,10.0,-16.99,1.0,0.0306,0.824,0.898,0.101,0.0431,75.01,audio_features,1BpFpM2QBsuV7lrRPHiiay,spotify:track:1BpFpM2QBsuV7lrRPHiiay,https://api.spotify.com/v1/tracks/1BpFpM2QBsuV7lrRPHiiay,https://api.spotify.com/v1/audio-analysis/1BpFpM2QBsuV7lrRPHiiay,134400.0,4.0
Dance of the Falling Roses,Pelicano,369472,lo-fi brasileiro,0.39,0.131,5.0,-19.976,0.0,0.0307,0.956,0.944,0.0908,0.0478,75.697,audio_features,2cSx9A7ryO74N3Stx6IakX,spotify:track:2cSx9A7ryO74N3Stx6IakX,https://api.spotify.com/v1/tracks/2cSx9A7ryO74N3Stx6IakX,https://api.spotify.com/v1/audio-analysis/2cSx9A7ryO74N3Stx6IakX,184737.0,3.0
Aquela Paz,DJ Lagoa,416000,lo-fi brasileiro,0.323,0.0742,10.0,-24.299,1.0,0.0328,0.981,0.944,0.0735,0.0398,60.035,audio_features,7I4ty3om2Ep1WlcGftwShl,spotify:track:7I4ty3om2Ep1WlcGftwShl,https://api.spotify.com/v1/tracks/7I4ty3om2Ep1WlcGftwShl,https://api.spotify.com/v1/audio-analysis/7I4ty3om2Ep1WlcGftwShl,208000.0,4.0
cerulean.,Gabriel Cavalcanti,245332,lo-fi brasileiro,0.579,0.0741,5.0,-21.105,1.0,0.0266,0.923,0.9,0.0846,0.196,90.073,audio_features,2eORR9aSjyp16BxFRbJTFh,spotify:track:2eORR9aSjyp16BxFRbJTFh,https://api.spotify.com/v1/tracks/2eORR9aSjyp16BxFRbJTFh,https://api.spotify.com/v1/audio-analysis/2eORR9aSjyp16BxFRbJTFh,122667.0,4.0
falling again,middt,326019,lo-fi brasileiro,0.666,0.115,4.0,-15.478,1.0,0.0333,0.966,0.972,0.0987,0.11,61.994,audio_features,4g3jSrPVcRABEqmuVb0Brh,spotify:track:4g3jSrPVcRABEqmuVb0Brh,https://api.spotify.com/v1/tracks/4g3jSrPVcRABEqmuVb0Brh,https://api.spotify.com/v1/audio-analysis/4g3jSrPVcRABEqmuVb0Brh,108673.0,4.0
Counting Sheep,DJ Lagoa,268800,lo-fi brasileiro,0.473,0.2,10.0,-16.99,1.0,0.0306,0.824,0.898,0.101,0.0431,75.01,audio_features,1BpFpM2QBsuV7lrRPHiiay,spotify:track:1BpFpM2QBsuV7lrRPHiiay,https://api.spotify.com/v1/tracks/1BpFpM2QBsuV7lrRPHiiay,https://api.spotify.com/v1/audio-analysis/1BpFpM2QBsuV7lrRPHiiay,134400.0,4.0
Dance of the Falling Roses,Pelicano,369472,lo-fi brasileiro,0.39,0.131,5.0,-19.976,0.0,0.0307,0.956,0.944,0.0908,0.0478,75.697,audio_features,2cSx9A7ryO74N3Stx6IakX,spotify:track:2cSx9A7ryO74N3Stx6IakX,https://api.spotify.com/v1/tracks/2cSx9A7ryO74N3Stx6IakX,https://api.spotify.com/v1/audio-analysis/2cSx9A7ryO74N3Stx6IakX,184737.0,3.0
