trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
17 (slowed + reverb),Shiloh Dynasty,280765,lo-fi chill,0.78,0.24,11.0,-12.996,1.0,0.0711,0.373,0.0141,0.452,0.171,140.502,audio_features,2Nbhq0jI4SR7whs7YNZEuJ,spotify:track:2Nbhq0jI4SR7whs7YNZEuJ,https://api.spotify.com/v1/tracks/2Nbhq0jI4SR7whs7YNZEuJ,https://api.spotify.com/v1/audio-analysis/2Nbhq0jI4SR7whs7YNZEuJ,209493.0,4.0
All Alone,Sølace,1248358,lo-fi chill,0.601,0.556,7.0,-10.722,0.0,0.395,0.776,0.0465,0.236,0.457,80.003,audio_features,4NHsEHQtUKErl9uXA6Y0nm,spotify:track:4NHsEHQtUKErl9uXA6Y0nm,https://api.spotify.com/v1/tracks/4NHsEHQtUKErl9uXA6Y0nm,https://api.spotify.com/v1/audio-analysis/4NHsEHQtUKErl9uXA6Y0nm,147000.0,4.0
Avoiding,Vorsa,5664238,lo-fi chill,0.698,0.508,11.0,-6.272,1.0,0.0454,0.708,0.00278,0.319,0.555,119.999,audio_features,54LFnRxLlnwV7R04CMZwjD,spotify:track:54LFnRxLlnwV7R04CMZwjD,https://api.spotify.com/v1/tracks/54LFnRxLlnwV7R04CMZwjD,https://api.spotify.com/v1/audio-analysis/54LFnRxLlnwV7R04CMZwjD,264464.0,4.0
change ur mind,Sarcastic Sounds,4848471,lo-fi chill,0.627,0.575,4.0,-7.38,1.0,0.232,0.78,0.0,0.336,0.494,78.546,audio_features,58Mh6zmqSo9IvysPAXnG0h,spotify:track:58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/tracks/58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/audio-analysis/58Mh6zmqSo9IvysPAXnG0h,183451.0,4.0
closer,Hinshi,46420,lo-fi chill,0.586,0.121,11.0,-18.214,1.0,0.0321,0.92,0.106,0.0832,0.173,92.018,audio_features,6YnthMWv62JY3ka2YAvCCh,spotify:track:6YnthMWv62JY3ka2YAvCCh,https://api.spotify.com/v1/tracks/6YnthMWv62JY3ka2YAvCCh,https://api.spotify.com/v1/audio-analysis/6YnthMWv62JY3ka2YAvCCh,115435.0,4.0
game over,Rnla,948090,lo-fi chill,0.746,0.376,9.0,-10.818,0.0,0.106,0.94,1.78e-06,0.0861,0.112,120.132,audio_features,5Y8VrkCXILja6XIYngzBwl,spotify:track:5Y8VrkCXILja6XIYngzBwl,https://api.spotify.com/v1/tracks/5Y8VrkCXILja6XIYngzBwl,https://api.spotify.com/v1/audio-analysis/5Y8VrkCXILja6XIYngzBwl,158016.0,4.0
how to live,yaeow,1222701,lo-fi chill,0.611,0.311,0.0,-12.199,1.0,0.0382,0.904,0.00409,0.111,0.194,100.092,audio_features,1DiOSZ8PpnmwgriDH0RNQd,spotify:track:1DiOSZ8PpnmwgriDH0RNQd,https://api.spotify.com/v1/tracks/1DiOSZ8PpnmwgriDH0RNQd,https://api.spotify.com/v1/audio-analysis/1DiOSZ8PpnmwgriDH0RNQd,146400.0,4.0
i don't feel part of the world anymore,itssvd,420880,lo-fi chill,0.546,0.179,1.0,-19.623,0.0,0.23,0.611,0.00211,0.107,0.272,95.037,audio_features,11iiMB7TmFTtaXT4YJAltw,spotify:track:11iiMB7TmFTtaXT4YJAltw,https://api.spotify.com/v1/tracks/11iiMB7TmFTtaXT4YJAltw,https://api.spotify.com/v1/audio-analysis/11iiMB7TmFTtaXT4YJAltw,84177.0,4.0
i hate the weather,Vorsa,154800,lo-fi chill,0.637,0.522,4.0,-5.05,1.0,0.0819,0.652,1.41e-05,0.1,0.328,150.073,audio_features,2EMeWXGkIpAyHRJ7sw88wO,spotify:track:2EMeWXGkIpAyHRJ7sw88wO,https://api.spotify.com/v1/tracks/2EMeWXGkIpAyHRJ7sw88wO,https://api.spotify.com/v1/audio-analysis/2EMeWXGkIpAyHRJ7sw88wO,154800.0,4.0
i still think of you,the bootleg boy,500208,lo-fi chill,0.575,0.193,2.0,-15.494,1.0,0.179,0.951,0.0443,0.156,0.308,118.589,audio_features,7BrbGr8S8rjrnlGLqtfFwA,spotify:track:7BrbGr8S8rjrnlGLqtfFwA,https://api.spotify.com/v1/tracks/7BrbGr8S8rjrnlGLqtfFwA,https://api.spotify.com/v1/audio-analysis/7BrbGr8S8rjrnlGLqtfFwA,125052.0,4.0
