trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A New Beginning,Yasumu,143378,lo-fi study,0.695,0.287,0.0,-14.608,1.0,0.0499,0.771,0.904,0.362,0.379,128.028,audio_features,0xtbVIWkbfu5G6TgCVmvVn,spotify:track:0xtbVIWkbfu5G6TgCVmvVn,https://api.spotify.com/v1/tracks/0xtbVIWkbfu5G6TgCVmvVn,https://api.spotify.com/v1/audio-analysis/0xtbVIWkbfu5G6TgCVmvVn,143379.0,4.0
Adrift,Kurt Stewart,124173,lo-fi study,0.587,0.0548,6.0,-22.15,0.0,0.0345,0.616,0.827,0.0999,0.233,109.905,audio_features,1SZnu0wclsSROTitZPP4Yf,spotify:track:1SZnu0wclsSROTitZPP4Yf,https://api.spotify.com/v1/tracks/1SZnu0wclsSROTitZPP4Yf,https://api.spotify.com/v1/audio-analysis/1SZnu0wclsSROTitZPP4Yf,124174.0,4.0
At Night,Yasumu,128004,lo-fi study,0.68,0.114,1.0,-23.789,0.0,0.0472,0.894,0.858,0.113,0.0786,110.009,audio_features,3Jw15mUi470MLV3fFEWoSc,spotify:track:3Jw15mUi470MLV3fFEWoSc,https://api.spotify.com/v1/tracks/3Jw15mUi470MLV3fFEWoSc,https://api.spotify.com/v1/audio-analysis/3Jw15mUi470MLV3fFEWoSc,128057.0,4.0
At the Sea,Yasumu,178839,lo-fi study,0.619,0.0936,9.0,-16.143,0.0,0.0513,0.858,0.938,0.0825,0.329,77.051,audio_features,4GUpreonDXgwCKCZSAsTPm,spotify:track:4GUpreonDXgwCKCZSAsTPm,https://api.spotify.com/v1/tracks/4GUpreonDXgwCKCZSAsTPm,https://api.spotify.com/v1/audio-analysis/4GUpreonDXgwCKCZSAsTPm,178839.0,4.0
Beyond,kyu,120000,lo-fi study,0.364,0.316,2.0,-13.86,1.0,0.146,0.799,0.917,0.171,0.0381,100.019,audio_features,0Om4Jl5Y3WcZqMWEnoaIRY,spotify:track:0Om4Jl5Y3WcZqMWEnoaIRY,https://api.spotify.com/v1/tracks/0Om4Jl5Y3WcZqMWEnoaIRY,https://api.spotify.com/v1/audio-analysis/0Om4Jl5Y3WcZqMWEnoaIRY,120000.0,3.0
companion,hi jude,138000,lo-fi study,0.547,0.377,11.0,-15.64,1.0,0.0362,0.68,0.945,0.0703,0.0537,80.032,audio_features,1itJhJiweMHxJcqQLWsJXn,spotify:track:1itJhJiweMHxJcqQLWsJXn,https://api.spotify.com/v1/tracks/1itJhJiweMHxJcqQLWsJXn,https://api.spotify.com/v1/audio-analysis/1itJhJiweMHxJcqQLWsJXn,138000.0,4.0
haven,steezy prime,152727,lo-fi study,0.629,0.171,2.0,-17.328,1.0,0.0556,0.885,0.969,0.101,0.264,88.011,audio_features,6FveEQirXfxqNz5zQg4df0,spotify:track:6FveEQirXfxqNz5zQg4df0,https://api.spotify.com/v1/tracks/6FveEQirXfxqNz5zQg4df0,https://api.spotify.com/v1/audio-analysis/6FveEQirXfxqNz5zQg4df0,152727.0,4.0
morning moon,Kanisan,136687,lo-fi study,0.585,0.172,9.0,-15.14,0.0,0.0668,0.732,0.918,0.0971,0.0484,79.939,audio_features,1sQqEFnM795rH2ivnFeZyu,spotify:track:1sQqEFnM795rH2ivnFeZyu,https://api.spotify.com/v1/tracks/1sQqEFnM795rH2ivnFeZyu,https://api.spotify.com/v1/audio-analysis/1sQqEFnM795rH2ivnFeZyu,136687.0,4.0
Brighter Days,Yasumu,143114,lo-fi study,0.757,0.113,9.0,-25.791,1.0,0.0834,0.715,0.912,0.389,0.154,107.952,audio_features,0BfGhhCGg6he3029wCEqVE,spotify:track:0BfGhhCGg6he3029wCEqVE,https://api.spotify.com/v1/tracks/0BfGhhCGg6he3029wCEqVE,https://api.spotify.com/v1/audio-analysis/0BfGhhCGg6he3029wCEqVE,129306.0,3.0
Bring The Rain,steezy prime,135529,lo-fi study,0.56,0.132,5.0,-18.225,1.0,0.0286,0.964,0.923,0.0685,0.28,85.068,audio_features,518NKJoPAt1FFOmGSxhZQt,spotify:track:518NKJoPAt1FFOmGSxhZQt,https://api.spotify.com/v1/tracks/518NKJoPAt1FFOmGSxhZQt,https://api.spotify.com/v1/audio-analysis/518NKJoPAt1FFOmGSxhZQt,135529.0,4.0
