trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bring Me Back,Miles Away,2098054,melodic dubstep,0.495,0.619,8.0,-4.774,1.0,0.0317,0.164,2.13e-06,0.118,0.25,139.988,audio_features,0pzGsgrMvEtHZW6XzpY6Cs,spotify:track:0pzGsgrMvEtHZW6XzpY6Cs,https://api.spotify.com/v1/tracks/0pzGsgrMvEtHZW6XzpY6Cs,https://api.spotify.com/v1/audio-analysis/0pzGsgrMvEtHZW6XzpY6Cs,219000.0,4.0
Closer Than You,William Black,1679176,melodic dubstep,0.501,0.505,10.0,-6.428,1.0,0.0284,0.098,0.0,0.112,0.227,149.916,audio_features,0G5N8E8nEQXtlnxi2Xfrj3,spotify:track:0G5N8E8nEQXtlnxi2Xfrj3,https://api.spotify.com/v1/tracks/0G5N8E8nEQXtlnxi2Xfrj3,https://api.spotify.com/v1/audio-analysis/0G5N8E8nEQXtlnxi2Xfrj3,219200.0,4.0
Dreams,RUNN,3975309,melodic dubstep,0.654,0.525,4.0,-8.447,1.0,0.0367,0.251,0.0,0.0954,0.211,135.95,audio_features,7aiYeTWsZBOxBnij88bs7o,spotify:track:7aiYeTWsZBOxBnij88bs7o,https://api.spotify.com/v1/tracks/7aiYeTWsZBOxBnij88bs7o,https://api.spotify.com/v1/audio-analysis/7aiYeTWsZBOxBnij88bs7o,194559.0,4.0
Remedy,William Black,1599352,melodic dubstep,0.441,0.823,11.0,-3.55,1.0,0.0836,0.118,0.000116,0.143,0.347,156.77,audio_features,0UTuVzQv9wDnzFAZnEJgc4,spotify:track:0UTuVzQv9wDnzFAZnEJgc4,https://api.spotify.com/v1/tracks/0UTuVzQv9wDnzFAZnEJgc4,https://api.spotify.com/v1/audio-analysis/0UTuVzQv9wDnzFAZnEJgc4,220146.0,4.0
Treading Water,Said The Sky,4756249,melodic dubstep,0.345,0.471,4.0,-8.184,1.0,0.0579,0.681,3.09e-05,0.155,0.312,184.112,audio_features,4iQnJ1nbzIqRirVI1Q2ig8,spotify:track:4iQnJ1nbzIqRirVI1Q2ig8,https://api.spotify.com/v1/tracks/4iQnJ1nbzIqRirVI1Q2ig8,https://api.spotify.com/v1/audio-analysis/4iQnJ1nbzIqRirVI1Q2ig8,213125.0,4.0
Way Down,Miles Away,240191,melodic dubstep,0.503,0.785,8.0,-4.057,0.0,0.0374,0.362,0.0,0.191,0.105,102.009,audio_features,3H4YWvfSUZ4ODnSSn7S6CZ,spotify:track:3H4YWvfSUZ4ODnSSn7S6CZ,https://api.spotify.com/v1/tracks/3H4YWvfSUZ4ODnSSn7S6CZ,https://api.spotify.com/v1/audio-analysis/3H4YWvfSUZ4ODnSSn7S6CZ,237647.0,4.0
Bring Me Back,Miles Away,2098054,melodic dubstep,0.495,0.619,8.0,-4.774,1.0,0.0317,0.164,2.13e-06,0.118,0.25,139.988,audio_features,0pzGsgrMvEtHZW6XzpY6Cs,spotify:track:0pzGsgrMvEtHZW6XzpY6Cs,https://api.spotify.com/v1/tracks/0pzGsgrMvEtHZW6XzpY6Cs,https://api.spotify.com/v1/audio-analysis/0pzGsgrMvEtHZW6XzpY6Cs,219000.0,4.0
Closer Than You,William Black,1679176,melodic dubstep,0.501,0.505,10.0,-6.428,1.0,0.0284,0.098,0.0,0.112,0.227,149.916,audio_features,0G5N8E8nEQXtlnxi2Xfrj3,spotify:track:0G5N8E8nEQXtlnxi2Xfrj3,https://api.spotify.com/v1/tracks/0G5N8E8nEQXtlnxi2Xfrj3,https://api.spotify.com/v1/audio-analysis/0G5N8E8nEQXtlnxi2Xfrj3,219200.0,4.0
Dreams,RUNN,3975309,melodic dubstep,0.654,0.525,4.0,-8.447,1.0,0.0367,0.251,0.0,0.0954,0.211,135.95,audio_features,7aiYeTWsZBOxBnij88bs7o,spotify:track:7aiYeTWsZBOxBnij88bs7o,https://api.spotify.com/v1/tracks/7aiYeTWsZBOxBnij88bs7o,https://api.spotify.com/v1/audio-analysis/7aiYeTWsZBOxBnij88bs7o,194559.0,4.0
Remedy,William Black,1599352,melodic dubstep,0.441,0.823,11.0,-3.55,1.0,0.0836,0.118,0.000116,0.143,0.347,156.77,audio_features,0UTuVzQv9wDnzFAZnEJgc4,spotify:track:0UTuVzQv9wDnzFAZnEJgc4,https://api.spotify.com/v1/tracks/0UTuVzQv9wDnzFAZnEJgc4,https://api.spotify.com/v1/audio-analysis/0UTuVzQv9wDnzFAZnEJgc4,220146.0,4.0
Treading Water,Said The Sky,4756249,melodic dubstep,0.345,0.471,4.0,-8.184,1.0,0.0579,0.681,3.09e-05,0.155,0.312,184.112,audio_features,4iQnJ1nbzIqRirVI1Q2ig8,spotify:track:4iQnJ1nbzIqRirVI1Q2ig8,https://api.spotify.com/v1/tracks/4iQnJ1nbzIqRirVI1Q2ig8,https://api.spotify.com/v1/audio-analysis/4iQnJ1nbzIqRirVI1Q2ig8,213125.0,4.0
Way Down,Miles Away,240191,melodic dubstep,0.503,0.785,8.0,-4.057,0.0,0.0374,0.362,0.0,0.191,0.105,102.009,audio_features,3H4YWvfSUZ4ODnSSn7S6CZ,spotify:track:3H4YWvfSUZ4ODnSSn7S6CZ,https://api.spotify.com/v1/tracks/3H4YWvfSUZ4ODnSSn7S6CZ,https://api.spotify.com/v1/audio-analysis/3H4YWvfSUZ4ODnSSn7S6CZ,237647.0,4.0
