trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
772 Love,YNW Melly,209488,melodic rap,0.676,0.623,6.0,-7.297,0.0,0.0352,0.226,1.66e-05,0.159,0.347,111.466,audio_features,230wNo1dnexltKYQbsW7oD,spotify:track:230wNo1dnexltKYQbsW7oD,https://api.spotify.com/v1/tracks/230wNo1dnexltKYQbsW7oD,https://api.spotify.com/v1/audio-analysis/230wNo1dnexltKYQbsW7oD,209489.0,4.0
Blueberry Faygo,Lil Mosey,491185,melodic rap,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,audio_features,22LAwLoDA5b4AaGSkg6bKW,spotify:track:22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/tracks/22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/audio-analysis/22LAwLoDA5b4AaGSkg6bKW,162547.0,4.0
Fingers Crossed,Trevor Daniel,1270847,melodic rap,0.62,0.611,9.0,-4.997,1.0,0.0359,0.204,0.0,0.34,0.44,172.142,audio_features,11hrCkrVXAAtQUXyDN0U04,spotify:track:11hrCkrVXAAtQUXyDN0U04,https://api.spotify.com/v1/tracks/11hrCkrVXAAtQUXyDN0U04,https://api.spotify.com/v1/audio-analysis/11hrCkrVXAAtQUXyDN0U04,155147.0,4.0
Love Sick,Trippie Redd,177981,melodic rap,0.861,0.712,6.0,-6.72,0.0,0.104,0.527,4.12e-05,0.622,0.687,119.042,audio_features,2PRKaIkl62537yLUt8VhHR,spotify:track:2PRKaIkl62537yLUt8VhHR,https://api.spotify.com/v1/tracks/2PRKaIkl62537yLUt8VhHR,https://api.spotify.com/v1/audio-analysis/2PRKaIkl62537yLUt8VhHR,177981.0,4.0
PILL BREAKER (feat. blackbear & Machine Gun Kelly),Trippie Redd,6897,melodic rap,0.527,0.79,2.0,-6.268,1.0,0.0788,0.016,0.0,0.37,0.236,153.034,audio_features,7jjnn6K7p5MgOFuqLypAcM,spotify:track:7jjnn6K7p5MgOFuqLypAcM,https://api.spotify.com/v1/tracks/7jjnn6K7p5MgOFuqLypAcM,https://api.spotify.com/v1/audio-analysis/7jjnn6K7p5MgOFuqLypAcM,177059.0,3.0
Past Life,Trevor Daniel,1086672,melodic rap,0.575,0.543,3.0,-5.062,1.0,0.0529,0.102,0.0,0.176,0.283,159.905,audio_features,7MN8RYSofZsFROBlEOAzXq,spotify:track:7MN8RYSofZsFROBlEOAzXq,https://api.spotify.com/v1/tracks/7MN8RYSofZsFROBlEOAzXq,https://api.spotify.com/v1/audio-analysis/7MN8RYSofZsFROBlEOAzXq,186480.0,4.0
Roses - Imanbek Remix,SAINt JHN,2182251,melodic rap,0.769,0.719,8.0,-5.472,1.0,0.0474,0.0143,0.00777,0.359,0.863,121.955,audio_features,0zLCBJZSiELJf02ucPP9wb,spotify:track:0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/tracks/0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/audio-analysis/0zLCBJZSiELJf02ucPP9wb,176867.0,4.0
The Box,Roddy Ricch,2654347,melodic rap,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653.0,4.0
Topanga,Trippie Redd,215364,melodic rap,0.755,0.615,4.0,-8.245,1.0,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,audio_features,5aXgz1oKK8Q9z9xvTmSnrO,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,https://api.spotify.com/v1/tracks/5aXgz1oKK8Q9z9xvTmSnrO,https://api.spotify.com/v1/audio-analysis/5aXgz1oKK8Q9z9xvTmSnrO,215364.0,4.0
772 Love,YNW Melly,209488,melodic rap,0.676,0.623,6.0,-7.297,0.0,0.0352,0.226,1.66e-05,0.159,0.347,111.466,audio_features,230wNo1dnexltKYQbsW7oD,spotify:track:230wNo1dnexltKYQbsW7oD,https://api.spotify.com/v1/tracks/230wNo1dnexltKYQbsW7oD,https://api.spotify.com/v1/audio-analysis/230wNo1dnexltKYQbsW7oD,209489.0,4.0
Blueberry Faygo,Lil Mosey,491185,melodic rap,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,audio_features,22LAwLoDA5b4AaGSkg6bKW,spotify:track:22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/tracks/22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/audio-analysis/22LAwLoDA5b4AaGSkg6bKW,162547.0,4.0
Fingers Crossed,Trevor Daniel,1270847,melodic rap,0.62,0.611,9.0,-4.997,1.0,0.0359,0.204,0.0,0.34,0.44,172.142,audio_features,11hrCkrVXAAtQUXyDN0U04,spotify:track:11hrCkrVXAAtQUXyDN0U04,https://api.spotify.com/v1/tracks/11hrCkrVXAAtQUXyDN0U04,https://api.spotify.com/v1/audio-analysis/11hrCkrVXAAtQUXyDN0U04,155147.0,4.0
Love Sick,Trippie Redd,177981,melodic rap,0.861,0.712,6.0,-6.72,0.0,0.104,0.527,4.12e-05,0.622,0.687,119.042,audio_features,2PRKaIkl62537yLUt8VhHR,spotify:track:2PRKaIkl62537yLUt8VhHR,https://api.spotify.com/v1/tracks/2PRKaIkl62537yLUt8VhHR,https://api.spotify.com/v1/audio-analysis/2PRKaIkl62537yLUt8VhHR,177981.0,4.0
PILL BREAKER (feat. blackbear & Machine Gun Kelly),Trippie Redd,6897,melodic rap,0.527,0.79,2.0,-6.268,1.0,0.0788,0.016,0.0,0.37,0.236,153.034,audio_features,7jjnn6K7p5MgOFuqLypAcM,spotify:track:7jjnn6K7p5MgOFuqLypAcM,https://api.spotify.com/v1/tracks/7jjnn6K7p5MgOFuqLypAcM,https://api.spotify.com/v1/audio-analysis/7jjnn6K7p5MgOFuqLypAcM,177059.0,3.0
