trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,790321,metropopolis,0.636,0.758,0.0,-5.567,1.0,0.0427,0.331,1.01e-05,0.16,0.281,97.025,audio_features,4XII12nbsvJblXfG1I2QR4,spotify:track:4XII12nbsvJblXfG1I2QR4,https://api.spotify.com/v1/tracks/4XII12nbsvJblXfG1I2QR4,https://api.spotify.com/v1/audio-analysis/4XII12nbsvJblXfG1I2QR4,214107.0,4.0
Bikini Porn,Tove Lo,550893,metropopolis,0.919,0.687,9.0,-5.793,0.0,0.0774,0.0839,1.1e-05,0.052,0.675,100.997,audio_features,2jUoKSWTHduXxUL3JomwhB,spotify:track:2jUoKSWTHduXxUL3JomwhB,https://api.spotify.com/v1/tracks/2jUoKSWTHduXxUL3JomwhB,https://api.spotify.com/v1/audio-analysis/2jUoKSWTHduXxUL3JomwhB,162947.0,4.0
Bubblegum Bitch,MARINA,154196,metropopolis,0.495,0.856,0.0,-5.123,0.0,0.0311,0.000219,0.0,0.103,0.609,158.024,audio_features,6IbnUaczZBT34DhaD6S18F,spotify:track:6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/tracks/6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/audio-analysis/6IbnUaczZBT34DhaD6S18F,154667.0,4.0
Safe And Sound,Capital Cities,11463,metropopolis,0.655,0.819,0.0,-4.852,1.0,0.0316,0.000176,0.00374,0.104,0.766,117.956,audio_features,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb,192790.0,5.0
Stay Over,Tove Lo,2178712,metropopolis,0.639,0.552,6.0,-6.916,0.0,0.145,0.547,0.0,0.0903,0.487,151.426,audio_features,3iOK7EbYFLtQyz9jwKIw88,spotify:track:3iOK7EbYFLtQyz9jwKIw88,https://api.spotify.com/v1/tracks/3iOK7EbYFLtQyz9jwKIw88,https://api.spotify.com/v1/audio-analysis/3iOK7EbYFLtQyz9jwKIw88,189191.0,3.0
The Other Side,Ruelle,250995,metropopolis,0.367,0.255,6.0,-8.187,0.0,0.033,0.92,2.38e-05,0.0944,0.196,136.876,audio_features,1fTzOcw64Xm0AxUsLcRHAZ,spotify:track:1fTzOcw64Xm0AxUsLcRHAZ,https://api.spotify.com/v1/tracks/1fTzOcw64Xm0AxUsLcRHAZ,https://api.spotify.com/v1/audio-analysis/1fTzOcw64Xm0AxUsLcRHAZ,252485.0,4.0
The Trip,Still Corners,374240,metropopolis,0.689,0.786,2.0,-5.133,1.0,0.039,0.208,0.0319,0.161,0.415,119.996,audio_features,1YM3cVri0CmSX7c71gwALR,spotify:track:1YM3cVri0CmSX7c71gwALR,https://api.spotify.com/v1/tracks/1YM3cVri0CmSX7c71gwALR,https://api.spotify.com/v1/audio-analysis/1YM3cVri0CmSX7c71gwALR,373267.0,4.0
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,790321,metropopolis,0.636,0.758,0.0,-5.567,1.0,0.0427,0.331,1.01e-05,0.16,0.281,97.025,audio_features,4XII12nbsvJblXfG1I2QR4,spotify:track:4XII12nbsvJblXfG1I2QR4,https://api.spotify.com/v1/tracks/4XII12nbsvJblXfG1I2QR4,https://api.spotify.com/v1/audio-analysis/4XII12nbsvJblXfG1I2QR4,214107.0,4.0
Bikini Porn,Tove Lo,550893,metropopolis,0.919,0.687,9.0,-5.793,0.0,0.0774,0.0839,1.1e-05,0.052,0.675,100.997,audio_features,2jUoKSWTHduXxUL3JomwhB,spotify:track:2jUoKSWTHduXxUL3JomwhB,https://api.spotify.com/v1/tracks/2jUoKSWTHduXxUL3JomwhB,https://api.spotify.com/v1/audio-analysis/2jUoKSWTHduXxUL3JomwhB,162947.0,4.0
Bubblegum Bitch,MARINA,154196,metropopolis,0.495,0.856,0.0,-5.123,0.0,0.0311,0.000219,0.0,0.103,0.609,158.024,audio_features,6IbnUaczZBT34DhaD6S18F,spotify:track:6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/tracks/6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/audio-analysis/6IbnUaczZBT34DhaD6S18F,154667.0,4.0
