trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
abcdefu,GAYLE,337202,modern alternative pop,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602.0,4.0
Build a Bitch,Bella Poarch,1203478,modern alternative pop,0.855,0.463,3.0,-7.454,1.0,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,7BoobGhD4x5K96Me0hqC8Q,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773.0,4.0
City,DBMK,666165,modern alternative pop,0.437,0.243,7.0,-10.577,1.0,0.0281,0.851,1.62e-06,0.112,0.142,144.164,audio_features,5AmOV44XcBN3iuIsayy9Ap,spotify:track:5AmOV44XcBN3iuIsayy9Ap,https://api.spotify.com/v1/tracks/5AmOV44XcBN3iuIsayy9Ap,https://api.spotify.com/v1/audio-analysis/5AmOV44XcBN3iuIsayy9Ap,166542.0,4.0
Everything Is Mildly Uncomfortable,Sean Kennedy,656121,modern alternative pop,0.478,0.672,1.0,-10.54,1.0,0.1,0.477,0.000775,0.16,0.183,131.468,audio_features,6PTTeY12n90KRFBdX1Rlpq,spotify:track:6PTTeY12n90KRFBdX1Rlpq,https://api.spotify.com/v1/tracks/6PTTeY12n90KRFBdX1Rlpq,https://api.spotify.com/v1/audio-analysis/6PTTeY12n90KRFBdX1Rlpq,176757.0,4.0
Meet Me At Our Spot,THE ANXIETY,49496,modern alternative pop,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,audio_features,07MDkzWARZaLEdKxo6yArG,spotify:track:07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,162680.0,4.0
Meet Me At Our Spot - Live,THE ANXIETY,48680,modern alternative pop,0.694,0.475,2.0,-7.035,1.0,0.0345,0.159,3.9e-06,0.103,0.391,94.987,audio_features,3BrWLBC4WYx393yRUOlTih,spotify:track:3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/tracks/3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/audio-analysis/3BrWLBC4WYx393yRUOlTih,147829.0,4.0
October Baby,Sean Kennedy,977208,modern alternative pop,0.33,0.523,6.0,-9.854,1.0,0.0325,0.0123,0.0117,0.265,0.235,180.088,audio_features,2PPu55keSs0rAGs2RMsiEr,spotify:track:2PPu55keSs0rAGs2RMsiEr,https://api.spotify.com/v1/tracks/2PPu55keSs0rAGs2RMsiEr,https://api.spotify.com/v1/audio-analysis/2PPu55keSs0rAGs2RMsiEr,244302.0,4.0
The Trauma and The Pleasure,Cameron Sanderson,193284,modern alternative pop,0.604,0.601,0.0,-6.213,1.0,0.046,0.335,0.0,0.105,0.572,141.011,audio_features,4UOTmg9TBVTUibdKnPYzKt,spotify:track:4UOTmg9TBVTUibdKnPYzKt,https://api.spotify.com/v1/tracks/4UOTmg9TBVTUibdKnPYzKt,https://api.spotify.com/v1/audio-analysis/4UOTmg9TBVTUibdKnPYzKt,193284.0,4.0
abcdefu,GAYLE,337202,modern alternative pop,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602.0,4.0
Build a Bitch,Bella Poarch,1203478,modern alternative pop,0.855,0.463,3.0,-7.454,1.0,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,7BoobGhD4x5K96Me0hqC8Q,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773.0,4.0
City,DBMK,666165,modern alternative pop,0.437,0.243,7.0,-10.577,1.0,0.0281,0.851,1.62e-06,0.112,0.142,144.164,audio_features,5AmOV44XcBN3iuIsayy9Ap,spotify:track:5AmOV44XcBN3iuIsayy9Ap,https://api.spotify.com/v1/tracks/5AmOV44XcBN3iuIsayy9Ap,https://api.spotify.com/v1/audio-analysis/5AmOV44XcBN3iuIsayy9Ap,166542.0,4.0
Everything Is Mildly Uncomfortable,Sean Kennedy,656121,modern alternative pop,0.478,0.672,1.0,-10.54,1.0,0.1,0.477,0.000775,0.16,0.183,131.468,audio_features,6PTTeY12n90KRFBdX1Rlpq,spotify:track:6PTTeY12n90KRFBdX1Rlpq,https://api.spotify.com/v1/tracks/6PTTeY12n90KRFBdX1Rlpq,https://api.spotify.com/v1/audio-analysis/6PTTeY12n90KRFBdX1Rlpq,176757.0,4.0
Meet Me At Our Spot,THE ANXIETY,49496,modern alternative pop,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,audio_features,07MDkzWARZaLEdKxo6yArG,spotify:track:07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,162680.0,4.0
Meet Me At Our Spot - Live,THE ANXIETY,48680,modern alternative pop,0.694,0.475,2.0,-7.035,1.0,0.0345,0.159,3.9e-06,0.103,0.391,94.987,audio_features,3BrWLBC4WYx393yRUOlTih,spotify:track:3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/tracks/3BrWLBC4WYx393yRUOlTih,https://api.spotify.com/v1/audio-analysis/3BrWLBC4WYx393yRUOlTih,147829.0,4.0
October Baby,Sean Kennedy,977208,modern alternative pop,0.33,0.523,6.0,-9.854,1.0,0.0325,0.0123,0.0117,0.265,0.235,180.088,audio_features,2PPu55keSs0rAGs2RMsiEr,spotify:track:2PPu55keSs0rAGs2RMsiEr,https://api.spotify.com/v1/tracks/2PPu55keSs0rAGs2RMsiEr,https://api.spotify.com/v1/audio-analysis/2PPu55keSs0rAGs2RMsiEr,244302.0,4.0
The Trauma and The Pleasure,Cameron Sanderson,193284,modern alternative pop,0.604,0.601,0.0,-6.213,1.0,0.046,0.335,0.0,0.105,0.572,141.011,audio_features,4UOTmg9TBVTUibdKnPYzKt,spotify:track:4UOTmg9TBVTUibdKnPYzKt,https://api.spotify.com/v1/tracks/4UOTmg9TBVTUibdKnPYzKt,https://api.spotify.com/v1/audio-analysis/4UOTmg9TBVTUibdKnPYzKt,193284.0,4.0
