trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
24/7,The Neighbourhood,219799,modern alternative rock,0.587,0.744,7.0,-4.611,0.0,0.0742,0.00213,0.00181,0.114,0.236,118.962,audio_features,4Cdb1dE3pfiWlqnAIcImyQ,spotify:track:4Cdb1dE3pfiWlqnAIcImyQ,https://api.spotify.com/v1/tracks/4Cdb1dE3pfiWlqnAIcImyQ,https://api.spotify.com/v1/audio-analysis/4Cdb1dE3pfiWlqnAIcImyQ,219973.0,4.0
Afraid,The Neighbourhood,764280,modern alternative rock,0.464,0.701,6.0,-5.693,0.0,0.0411,0.00892,0.309,0.335,0.356,83.996,audio_features,7brQHA2CgQpcMBiOlfiXYb,spotify:track:7brQHA2CgQpcMBiOlfiXYb,https://api.spotify.com/v1/tracks/7brQHA2CgQpcMBiOlfiXYb,https://api.spotify.com/v1/audio-analysis/7brQHA2CgQpcMBiOlfiXYb,251187.0,4.0
Be My Mistake,The 1975,1540118,modern alternative rock,0.572,0.155,6.0,-14.405,1.0,0.0344,0.835,0.000137,0.0906,0.0949,109.923,audio_features,18UsAG7SfOQ5sxJEdjAMH0,spotify:track:18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/tracks/18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/audio-analysis/18UsAG7SfOQ5sxJEdjAMH0,256689.0,3.0
Beat Take 1 (feat. Ghostface Killah),The Neighbourhood,207781,modern alternative rock,0.582,0.615,0.0,-5.98,0.0,0.247,0.347,0.000182,0.103,0.354,171.907,audio_features,4ymD0FxX1fnWszSu9rMAtD,spotify:track:4ymD0FxX1fnWszSu9rMAtD,https://api.spotify.com/v1/tracks/4ymD0FxX1fnWszSu9rMAtD,https://api.spotify.com/v1/audio-analysis/4ymD0FxX1fnWszSu9rMAtD,207960.0,4.0
Blue,The Neighbourhood,190032,modern alternative rock,0.56,0.598,5.0,-8.386,0.0,0.0388,0.524,0.698,0.172,0.388,82.991,audio_features,3BQbwXb8lMLLRBeLl6HTu8,spotify:track:3BQbwXb8lMLLRBeLl6HTu8,https://api.spotify.com/v1/tracks/3BQbwXb8lMLLRBeLl6HTu8,https://api.spotify.com/v1/audio-analysis/3BQbwXb8lMLLRBeLl6HTu8,190133.0,4.0
BooHoo,The Neighbourhood,763783,modern alternative rock,0.696,0.838,5.0,-9.299,0.0,0.0361,0.0621,8.42e-05,0.0967,0.66,139.977,audio_features,5uidTQXrmYWTCwfJxPVW90,spotify:track:5uidTQXrmYWTCwfJxPVW90,https://api.spotify.com/v1/tracks/5uidTQXrmYWTCwfJxPVW90,https://api.spotify.com/v1/audio-analysis/5uidTQXrmYWTCwfJxPVW90,191120.0,4.0
Cherry Flavoured,The Neighbourhood,833264,modern alternative rock,0.617,0.574,6.0,-9.768,1.0,0.0276,0.23,0.0105,0.0983,0.396,91.769,audio_features,40iocOzytrqaRn5RbGPDNp,spotify:track:40iocOzytrqaRn5RbGPDNp,https://api.spotify.com/v1/tracks/40iocOzytrqaRn5RbGPDNp,https://api.spotify.com/v1/audio-analysis/40iocOzytrqaRn5RbGPDNp,208453.0,4.0
Chip Chrome,The Neighbourhood,123751,modern alternative rock,0.205,0.739,6.0,-13.072,1.0,0.0546,0.961,0.937,0.339,0.0385,79.988,audio_features,2pTFbih5zGuBCEdQCIwCFE,spotify:track:2pTFbih5zGuBCEdQCIwCFE,https://api.spotify.com/v1/tracks/2pTFbih5zGuBCEdQCIwCFE,https://api.spotify.com/v1/audio-analysis/2pTFbih5zGuBCEdQCIwCFE,31045.0,4.0
Compass,The Neighbourhood,167929,modern alternative rock,0.7,0.82,5.0,-5.499,0.0,0.0329,0.238,0.318,0.658,0.667,109.998,audio_features,0YNtAadZvKBBEFARtfoCV8,spotify:track:0YNtAadZvKBBEFARtfoCV8,https://api.spotify.com/v1/tracks/0YNtAadZvKBBEFARtfoCV8,https://api.spotify.com/v1/audio-analysis/0YNtAadZvKBBEFARtfoCV8,167960.0,4.0
Cry Baby,The Neighbourhood,235160,modern alternative rock,0.581,0.656,4.0,-4.891,0.0,0.0294,0.00269,2.78e-06,0.101,0.338,108.033,audio_features,0EfsDEYaSjGYd66Pr881nq,spotify:track:0EfsDEYaSjGYd66Pr881nq,https://api.spotify.com/v1/tracks/0EfsDEYaSjGYd66Pr881nq,https://api.spotify.com/v1/audio-analysis/0EfsDEYaSjGYd66Pr881nq,235160.0,4.0
