trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Khaabon Ke Parinday,Alyssa Mendonsa,10314,modern bollywood,0.517,0.565,9.0,-10.184,1.0,0.0441,0.721,0.00689,0.0997,0.69,169.952,audio_features,14eotumM24MhIgzidgN3Jx,spotify:track:14eotumM24MhIgzidgN3Jx,https://api.spotify.com/v1/tracks/14eotumM24MhIgzidgN3Jx,https://api.spotify.com/v1/audio-analysis/14eotumM24MhIgzidgN3Jx,251704.0,4.0
London Thumakda,Labh Janjua,4763622,modern bollywood,0.835,0.718,0.0,-6.614,1.0,0.0816,0.363,0.000919,0.0625,0.64,139.968,audio_features,1VY2incfH4TLT9PCbot6lj,spotify:track:1VY2incfH4TLT9PCbot6lj,https://api.spotify.com/v1/tracks/1VY2incfH4TLT9PCbot6lj,https://api.spotify.com/v1/audio-analysis/1VY2incfH4TLT9PCbot6lj,230468.0,4.0
O Jaana,Raju Singh,25385,modern bollywood,0.708,0.826,2.0,-5.942,0.0,0.0426,0.0565,0.0104,0.27,0.623,94.022,audio_features,6nDsd9LoKLPHv4VcpCG5Wg,spotify:track:6nDsd9LoKLPHv4VcpCG5Wg,https://api.spotify.com/v1/tracks/6nDsd9LoKLPHv4VcpCG5Wg,https://api.spotify.com/v1/audio-analysis/6nDsd9LoKLPHv4VcpCG5Wg,269720.0,4.0
Rozaana,Salim Merchant,14396,modern bollywood,0.759,0.707,6.0,-6.554,0.0,0.0294,0.593,1.98e-05,0.109,0.647,105.044,audio_features,2mdrtXvSCmae0ylontlLfD,spotify:track:2mdrtXvSCmae0ylontlLfD,https://api.spotify.com/v1/tracks/2mdrtXvSCmae0ylontlLfD,https://api.spotify.com/v1/audio-analysis/2mdrtXvSCmae0ylontlLfD,237424.0,4.0
Soniyo,Raju Singh,27761,modern bollywood,0.637,0.591,9.0,-6.117,1.0,0.0342,0.504,3.29e-06,0.135,0.48,119.956,audio_features,4J5OpeZUR2msDPfMsIeGSU,spotify:track:4J5OpeZUR2msDPfMsIeGSU,https://api.spotify.com/v1/tracks/4J5OpeZUR2msDPfMsIeGSU,https://api.spotify.com/v1/audio-analysis/4J5OpeZUR2msDPfMsIeGSU,328440.0,4.0
Tu Har Lamha,Bobby-Imran,16908,modern bollywood,0.311,0.538,2.0,-4.551,0.0,0.0263,0.573,0.0,0.113,0.165,137.177,audio_features,2EPOgSRhA90xWGVtNZwEv8,spotify:track:2EPOgSRhA90xWGVtNZwEv8,https://api.spotify.com/v1/tracks/2EPOgSRhA90xWGVtNZwEv8,https://api.spotify.com/v1/audio-analysis/2EPOgSRhA90xWGVtNZwEv8,272869.0,4.0
Khaabon Ke Parinday,Alyssa Mendonsa,10314,modern bollywood,0.517,0.565,9.0,-10.184,1.0,0.0441,0.721,0.00689,0.0997,0.69,169.952,audio_features,14eotumM24MhIgzidgN3Jx,spotify:track:14eotumM24MhIgzidgN3Jx,https://api.spotify.com/v1/tracks/14eotumM24MhIgzidgN3Jx,https://api.spotify.com/v1/audio-analysis/14eotumM24MhIgzidgN3Jx,251704.0,4.0
London Thumakda,Labh Janjua,4763622,modern bollywood,0.835,0.718,0.0,-6.614,1.0,0.0816,0.363,0.000919,0.0625,0.64,139.968,audio_features,1VY2incfH4TLT9PCbot6lj,spotify:track:1VY2incfH4TLT9PCbot6lj,https://api.spotify.com/v1/tracks/1VY2incfH4TLT9PCbot6lj,https://api.spotify.com/v1/audio-analysis/1VY2incfH4TLT9PCbot6lj,230468.0,4.0
O Jaana,Raju Singh,25385,modern bollywood,0.708,0.826,2.0,-5.942,0.0,0.0426,0.0565,0.0104,0.27,0.623,94.022,audio_features,6nDsd9LoKLPHv4VcpCG5Wg,spotify:track:6nDsd9LoKLPHv4VcpCG5Wg,https://api.spotify.com/v1/tracks/6nDsd9LoKLPHv4VcpCG5Wg,https://api.spotify.com/v1/audio-analysis/6nDsd9LoKLPHv4VcpCG5Wg,269720.0,4.0
Rozaana,Salim Merchant,14396,modern bollywood,0.759,0.707,6.0,-6.554,0.0,0.0294,0.593,1.98e-05,0.109,0.647,105.044,audio_features,2mdrtXvSCmae0ylontlLfD,spotify:track:2mdrtXvSCmae0ylontlLfD,https://api.spotify.com/v1/tracks/2mdrtXvSCmae0ylontlLfD,https://api.spotify.com/v1/audio-analysis/2mdrtXvSCmae0ylontlLfD,237424.0,4.0
Soniyo,Raju Singh,27761,modern bollywood,0.637,0.591,9.0,-6.117,1.0,0.0342,0.504,3.29e-06,0.135,0.48,119.956,audio_features,4J5OpeZUR2msDPfMsIeGSU,spotify:track:4J5OpeZUR2msDPfMsIeGSU,https://api.spotify.com/v1/tracks/4J5OpeZUR2msDPfMsIeGSU,https://api.spotify.com/v1/audio-analysis/4J5OpeZUR2msDPfMsIeGSU,328440.0,4.0
Tu Har Lamha,Bobby-Imran,16908,modern bollywood,0.311,0.538,2.0,-4.551,0.0,0.0263,0.573,0.0,0.113,0.165,137.177,audio_features,2EPOgSRhA90xWGVtNZwEv8,spotify:track:2EPOgSRhA90xWGVtNZwEv8,https://api.spotify.com/v1/tracks/2EPOgSRhA90xWGVtNZwEv8,https://api.spotify.com/v1/audio-analysis/2EPOgSRhA90xWGVtNZwEv8,272869.0,4.0
