trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
American Idiot,Green Day,317350,modern rock,0.38,0.988,1.0,-2.042,1.0,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,audio_features,6nTiIhLmQ3FWhvrGafw2zj,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj,176346.0,4.0
Bandito,Twenty One Pilots,331412,modern rock,0.661,0.52,11.0,-8.367,0.0,0.028,0.256,0.0246,0.105,0.427,127.089,audio_features,5INKIG4QNuD4xq7qZcfPzp,spotify:track:5INKIG4QNuD4xq7qZcfPzp,https://api.spotify.com/v1/tracks/5INKIG4QNuD4xq7qZcfPzp,https://api.spotify.com/v1/audio-analysis/5INKIG4QNuD4xq7qZcfPzp,330987.0,4.0
Best Day Of My Life,American Authors,2304508,modern rock,0.673,0.902,2.0,-2.392,1.0,0.0346,0.0591,0.000262,0.0558,0.538,100.012,audio_features,5Hroj5K7vLpIG4FNCRIjbP,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,194240.0,4.0
didya think,Arlie,3982125,modern rock,0.468,0.89,4.0,-2.974,1.0,0.0701,0.00415,1.21e-05,0.508,0.709,140.265,audio_features,4HOg84QsolNLzNp08qZ3sX,spotify:track:4HOg84QsolNLzNp08qZ3sX,https://api.spotify.com/v1/tracks/4HOg84QsolNLzNp08qZ3sX,https://api.spotify.com/v1/audio-analysis/4HOg84QsolNLzNp08qZ3sX,200467.0,4.0
Bones,Imagine Dragons,284972,modern rock,0.772,0.75,5.0,-3.67,0.0,0.0455,0.0201,0.0,0.074,0.587,114.061,audio_features,54ipXppHLA8U4yqpOFTUhr,spotify:track:54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/tracks/54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,165265.0,4.0
Boulevard of Broken Dreams,Green Day,262155,modern rock,0.496,0.682,8.0,-4.095,1.0,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,audio_features,5GorCbAP4aL0EJ16frG2hd,spotify:track:5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,262333.0,4.0
Butterflies and Hurricanes,Muse,165202,modern rock,0.42,0.691,9.0,-8.56,1.0,0.0501,0.31,0.0427,0.109,0.0383,115.326,audio_features,0xJLcjd0gaZct43xG1UlXS,spotify:track:0xJLcjd0gaZct43xG1UlXS,https://api.spotify.com/v1/tracks/0xJLcjd0gaZct43xG1UlXS,https://api.spotify.com/v1/audio-analysis/0xJLcjd0gaZct43xG1UlXS,301733.0,4.0
Cancer,Twenty One Pilots,3542,modern rock,0.652,0.295,2.0,-11.045,1.0,0.0477,0.281,1.03e-05,0.0809,0.196,75.065,audio_features,19W5OTEcQI3ZoRW1HERMyy,spotify:track:19W5OTEcQI3ZoRW1HERMyy,https://api.spotify.com/v1/tracks/19W5OTEcQI3ZoRW1HERMyy,https://api.spotify.com/v1/audio-analysis/19W5OTEcQI3ZoRW1HERMyy,236827.0,4.0
Chlorine,Twenty One Pilots,13744273,modern rock,0.609,0.674,10.0,-7.388,0.0,0.0548,0.0735,0.06,0.345,0.315,90.009,audio_features,23OXdR7YuUBVWh5hSnYJau,spotify:track:23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/tracks/23OXdR7YuUBVWh5hSnYJau,https://api.spotify.com/v1/audio-analysis/23OXdR7YuUBVWh5hSnYJau,324467.0,4.0
Cool Out,Imagine Dragons,23709,modern rock,0.636,0.718,1.0,-4.833,0.0,0.0313,0.00483,6.51e-06,0.292,0.437,143.929,audio_features,6LXMUR2rpxFBDo6nilS3yX,spotify:track:6LXMUR2rpxFBDo6nilS3yX,https://api.spotify.com/v1/tracks/6LXMUR2rpxFBDo6nilS3yX,https://api.spotify.com/v1/audio-analysis/6LXMUR2rpxFBDo6nilS3yX,217867.0,4.0
Cut My Lip,Twenty One Pilots,283340,modern rock,0.641,0.561,4.0,-5.856,1.0,0.0355,0.12,0.0021,0.358,0.678,111.938,audio_features,6gFtgkh8ShkrJn52Cbdhxy,spotify:track:6gFtgkh8ShkrJn52Cbdhxy,https://api.spotify.com/v1/tracks/6gFtgkh8ShkrJn52Cbdhxy,https://api.spotify.com/v1/audio-analysis/6gFtgkh8ShkrJn52Cbdhxy,282613.0,4.0
Demons,Imagine Dragons,177506,modern rock,0.505,0.71,3.0,-3.015,1.0,0.0321,0.19,0.00025,0.329,0.428,89.938,audio_features,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,175200.0,4.0
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1802167,modern rock,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,3CIyK1V4JEJkg02E4EJnDl,spotify:track:3CIyK1V4JEJkg02E4EJnDl,https://api.spotify.com/v1/tracks/3CIyK1V4JEJkg02E4EJnDl,https://api.spotify.com/v1/audio-analysis/3CIyK1V4JEJkg02E4EJnDl,173381.0,4.0
Follow You,Imagine Dragons,704245,modern rock,0.542,0.732,9.0,-5.956,1.0,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,audio_features,7FdUvDkaE24o3FPIWTvzv2,spotify:track:7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/tracks/7FdUvDkaE24o3FPIWTvzv2,https://api.spotify.com/v1/audio-analysis/7FdUvDkaE24o3FPIWTvzv2,175644.0,4.0
Heathens,Twenty One Pilots,413300,modern rock,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,audio_features,6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,195920.0,4.0
Heavydirtysoul,Twenty One Pilots,255860,modern rock,0.613,0.873,7.0,-6.376,0.0,0.0449,0.00397,0.00111,0.367,0.392,129.989,audio_features,7i9763l5SSfOnqZ35VOcfy,spotify:track:7i9763l5SSfOnqZ35VOcfy,https://api.spotify.com/v1/tracks/7i9763l5SSfOnqZ35VOcfy,https://api.spotify.com/v1/audio-analysis/7i9763l5SSfOnqZ35VOcfy,234813.0,4.0
Hit It,American Authors,445175,modern rock,0.639,0.914,7.0,-3.661,1.0,0.0931,0.00226,0.0,0.513,0.75,120.07,audio_features,0gFYaybc4gOzplkux4iA8Z,spotify:track:0gFYaybc4gOzplkux4iA8Z,https://api.spotify.com/v1/tracks/0gFYaybc4gOzplkux4iA8Z,https://api.spotify.com/v1/audio-analysis/0gFYaybc4gOzplkux4iA8Z,207453.0,4.0
Holding on to You,Twenty One Pilots,1475,modern rock,0.608,0.776,11.0,-3.635,1.0,0.0511,0.241,0.0,0.0713,0.814,89.996,audio_features,3C3cr2JQwXIhqAHqOardVO,spotify:track:3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/tracks/3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/audio-analysis/3C3cr2JQwXIhqAHqOardVO,263733.0,4.0
It's Time,Imagine Dragons,240306,modern rock,0.656,0.884,2.0,-4.748,1.0,0.0372,0.0162,0.0,0.145,0.86,105.009,audio_features,6BtmXhTJMM9sBTHeYYASGz,spotify:track:6BtmXhTJMM9sBTHeYYASGz,https://api.spotify.com/v1/tracks/6BtmXhTJMM9sBTHeYYASGz,https://api.spotify.com/v1/audio-analysis/6BtmXhTJMM9sBTHeYYASGz,237987.0,4.0
I’m So Sorry,Imagine Dragons,6760,modern rock,0.524,0.679,2.0,-6.01,0.0,0.0565,0.131,0.0,0.201,0.37,142.588,audio_features,4o74y4XY1ypNZkZtZkK8Wi,spotify:track:4o74y4XY1ypNZkZtZkK8Wi,https://api.spotify.com/v1/tracks/4o74y4XY1ypNZkZtZkK8Wi,https://api.spotify.com/v1/audio-analysis/4o74y4XY1ypNZkZtZkK8Wi,230200.0,4.0
Jumpsuit,Twenty One Pilots,239060,modern rock,0.62,0.61,11.0,-8.329,0.0,0.0373,0.00849,0.162,0.205,0.235,127.052,audio_features,1E1uGhNdBe6Dddbgs2KqtZ,spotify:track:1E1uGhNdBe6Dddbgs2KqtZ,https://api.spotify.com/v1/tracks/1E1uGhNdBe6Dddbgs2KqtZ,https://api.spotify.com/v1/audio-analysis/1E1uGhNdBe6Dddbgs2KqtZ,238560.0,4.0
Know Your Enemy,Green Day,191787,modern rock,0.56,0.958,11.0,-3.245,1.0,0.0412,0.0016,4.96e-05,0.0643,0.961,129.984,audio_features,5qtwzv99vOr5UTwnTixn7j,spotify:track:5qtwzv99vOr5UTwnTixn7j,https://api.spotify.com/v1/tracks/5qtwzv99vOr5UTwnTixn7j,https://api.spotify.com/v1/audio-analysis/5qtwzv99vOr5UTwnTixn7j,190987.0,4.0
Level of Concern,Twenty One Pilots,13563504,modern rock,0.754,0.583,4.0,-7.34,0.0,0.0432,0.32,0.00015,0.144,0.77,122.012,audio_features,6xZ4Q2k2ompmDppyeESIY8,spotify:track:6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/tracks/6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/audio-analysis/6xZ4Q2k2ompmDppyeESIY8,220051.0,4.0
