trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Break My Heart Right,James Bay,1023922,neo mellow,0.63,0.103,2.0,-11.6,1.0,0.0499,0.962,1.14e-06,0.0915,0.298,113.61,audio_features,6BP8sg44smNB3pbD4QAOzi,spotify:track:6BP8sg44smNB3pbD4QAOzi,https://api.spotify.com/v1/tracks/6BP8sg44smNB3pbD4QAOzi,https://api.spotify.com/v1/audio-analysis/6BP8sg44smNB3pbD4QAOzi,204013.0,4.0
Hold Back The River,James Bay,238746,neo mellow,0.715,0.715,5.0,-7.364,1.0,0.0904,0.0526,0.0,0.0936,0.506,134.923,audio_features,7tmtOEDxPN7CWaQWBsG1DY,spotify:track:7tmtOEDxPN7CWaQWBsG1DY,https://api.spotify.com/v1/tracks/7tmtOEDxPN7CWaQWBsG1DY,https://api.spotify.com/v1/audio-analysis/7tmtOEDxPN7CWaQWBsG1DY,238747.0,4.0
Kaleidoscope,A Great Big World,229320,neo mellow,0.709,0.913,7.0,-5.148,1.0,0.0748,0.0182,0.0,0.167,0.519,108.024,audio_features,2SkJKMfjpYsNv0KWOxiegX,spotify:track:2SkJKMfjpYsNv0KWOxiegX,https://api.spotify.com/v1/tracks/2SkJKMfjpYsNv0KWOxiegX,https://api.spotify.com/v1/audio-analysis/2SkJKMfjpYsNv0KWOxiegX,229320.0,4.0
New Light,John Mayer,4299228,neo mellow,0.826,0.694,7.0,-7.862,1.0,0.0315,0.316,0.0285,0.074,0.852,123.932,audio_features,4T6FWA703h6H7zk1FoSARw,spotify:track:4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/tracks/4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/audio-analysis/4T6FWA703h6H7zk1FoSARw,217427.0,4.0
Slow Dancing in a Burning Room,John Mayer,506645,neo mellow,0.667,0.361,1.0,-8.69,0.0,0.0273,0.575,0.00506,0.0805,0.29,134.018,audio_features,2jdAk8ATWIL3dwT47XpRfu,spotify:track:2jdAk8ATWIL3dwT47XpRfu,https://api.spotify.com/v1/tracks/2jdAk8ATWIL3dwT47XpRfu,https://api.spotify.com/v1/audio-analysis/2jdAk8ATWIL3dwT47XpRfu,242000.0,5.0
Til the Right One Comes,John Mayer,34209,neo mellow,0.807,0.563,3.0,-8.996,1.0,0.0287,0.242,0.00322,0.0488,0.925,112.985,audio_features,4f0xBbWvKWmuB17yebh24a,spotify:track:4f0xBbWvKWmuB17yebh24a,https://api.spotify.com/v1/tracks/4f0xBbWvKWmuB17yebh24a,https://api.spotify.com/v1/audio-analysis/4f0xBbWvKWmuB17yebh24a,219227.0,4.0
Wild Blue,John Mayer,252166,neo mellow,0.816,0.596,0.0,-8.989,1.0,0.0294,0.557,0.812,0.0842,0.876,123.027,audio_features,4VFGpluBaU1WcquEMzhSz6,spotify:track:4VFGpluBaU1WcquEMzhSz6,https://api.spotify.com/v1/tracks/4VFGpluBaU1WcquEMzhSz6,https://api.spotify.com/v1/audio-analysis/4VFGpluBaU1WcquEMzhSz6,252413.0,4.0
Break My Heart Right,James Bay,1023922,neo mellow,0.63,0.103,2.0,-11.6,1.0,0.0499,0.962,1.14e-06,0.0915,0.298,113.61,audio_features,6BP8sg44smNB3pbD4QAOzi,spotify:track:6BP8sg44smNB3pbD4QAOzi,https://api.spotify.com/v1/tracks/6BP8sg44smNB3pbD4QAOzi,https://api.spotify.com/v1/audio-analysis/6BP8sg44smNB3pbD4QAOzi,204013.0,4.0
Hold Back The River,James Bay,238746,neo mellow,0.715,0.715,5.0,-7.364,1.0,0.0904,0.0526,0.0,0.0936,0.506,134.923,audio_features,7tmtOEDxPN7CWaQWBsG1DY,spotify:track:7tmtOEDxPN7CWaQWBsG1DY,https://api.spotify.com/v1/tracks/7tmtOEDxPN7CWaQWBsG1DY,https://api.spotify.com/v1/audio-analysis/7tmtOEDxPN7CWaQWBsG1DY,238747.0,4.0
Kaleidoscope,A Great Big World,229320,neo mellow,0.709,0.913,7.0,-5.148,1.0,0.0748,0.0182,0.0,0.167,0.519,108.024,audio_features,2SkJKMfjpYsNv0KWOxiegX,spotify:track:2SkJKMfjpYsNv0KWOxiegX,https://api.spotify.com/v1/tracks/2SkJKMfjpYsNv0KWOxiegX,https://api.spotify.com/v1/audio-analysis/2SkJKMfjpYsNv0KWOxiegX,229320.0,4.0
New Light,John Mayer,4299228,neo mellow,0.826,0.694,7.0,-7.862,1.0,0.0315,0.316,0.0285,0.074,0.852,123.932,audio_features,4T6FWA703h6H7zk1FoSARw,spotify:track:4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/tracks/4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/audio-analysis/4T6FWA703h6H7zk1FoSARw,217427.0,4.0
Slow Dancing in a Burning Room,John Mayer,506645,neo mellow,0.667,0.361,1.0,-8.69,0.0,0.0273,0.575,0.00506,0.0805,0.29,134.018,audio_features,2jdAk8ATWIL3dwT47XpRfu,spotify:track:2jdAk8ATWIL3dwT47XpRfu,https://api.spotify.com/v1/tracks/2jdAk8ATWIL3dwT47XpRfu,https://api.spotify.com/v1/audio-analysis/2jdAk8ATWIL3dwT47XpRfu,242000.0,5.0
