trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Away From Home,Broken Back,95082,new french touch,0.698,0.871,2.0,-7.073,1.0,0.0469,0.221,0.0,0.298,0.79,98.003,audio_features,44EgTZXLY0a2NcKaZdnkyL,spotify:track:44EgTZXLY0a2NcKaZdnkyL,https://api.spotify.com/v1/tracks/44EgTZXLY0a2NcKaZdnkyL,https://api.spotify.com/v1/audio-analysis/44EgTZXLY0a2NcKaZdnkyL,149072.0,4.0
Burnin,Petit Biscuit,20193899,new french touch,0.846,0.554,8.0,-8.753,0.0,0.0559,0.044,0.000367,0.0797,0.784,113.968,audio_features,5D246C2tLKCTeZgcsRfvcA,spotify:track:5D246C2tLKCTeZgcsRfvcA,https://api.spotify.com/v1/tracks/5D246C2tLKCTeZgcsRfvcA,https://api.spotify.com/v1/audio-analysis/5D246C2tLKCTeZgcsRfvcA,175893.0,4.0
Crazy,PLÜM,367045,new french touch,0.769,0.596,7.0,-9.359,0.0,0.0524,0.0487,0.00803,0.204,0.259,105.032,audio_features,3h0tEwAyOCQDa4X8NEcy0Q,spotify:track:3h0tEwAyOCQDa4X8NEcy0Q,https://api.spotify.com/v1/tracks/3h0tEwAyOCQDa4X8NEcy0Q,https://api.spotify.com/v1/audio-analysis/3h0tEwAyOCQDa4X8NEcy0Q,220000.0,4.0
Electric Feel,TEEMID,330685,new french touch,0.686,0.472,0.0,-8.638,0.0,0.0897,0.416,0.0908,0.0971,0.0832,100.106,audio_features,0BQ4zIMESy75Qf2HeMi4ds,spotify:track:0BQ4zIMESy75Qf2HeMi4ds,https://api.spotify.com/v1/tracks/0BQ4zIMESy75Qf2HeMi4ds,https://api.spotify.com/v1/audio-analysis/0BQ4zIMESy75Qf2HeMi4ds,213975.0,3.0
In Love Again,Lonely in the Rain,281760,new french touch,0.873,0.489,0.0,-10.008,1.0,0.251,0.719,0.0284,0.087,0.208,115.038,audio_features,6cz2y7t6bDJcktGp6IVM5w,spotify:track:6cz2y7t6bDJcktGp6IVM5w,https://api.spotify.com/v1/tracks/6cz2y7t6bDJcktGp6IVM5w,https://api.spotify.com/v1/audio-analysis/6cz2y7t6bDJcktGp6IVM5w,140880.0,4.0
Ithaque,Sara Costa,189026,new french touch,0.803,0.684,8.0,-10.081,1.0,0.0627,0.68,0.0722,0.131,0.563,112.985,audio_features,3VOtDNKPohGZKv1OAO5QKR,spotify:track:3VOtDNKPohGZKv1OAO5QKR,https://api.spotify.com/v1/tracks/3VOtDNKPohGZKv1OAO5QKR,https://api.spotify.com/v1/audio-analysis/3VOtDNKPohGZKv1OAO5QKR,189027.0,4.0
Sunny Day,MR TOUT LE MONDE,383852,new french touch,0.451,0.422,3.0,-8.477,0.0,0.0433,0.512,0.162,0.139,0.119,119.998,audio_features,19aBGyxQrl8LDnPUyusjRa,spotify:track:19aBGyxQrl8LDnPUyusjRa,https://api.spotify.com/v1/tracks/19aBGyxQrl8LDnPUyusjRa,https://api.spotify.com/v1/audio-analysis/19aBGyxQrl8LDnPUyusjRa,192000.0,4.0
Away From Home,Broken Back,95082,new french touch,0.698,0.871,2.0,-7.073,1.0,0.0469,0.221,0.0,0.298,0.79,98.003,audio_features,44EgTZXLY0a2NcKaZdnkyL,spotify:track:44EgTZXLY0a2NcKaZdnkyL,https://api.spotify.com/v1/tracks/44EgTZXLY0a2NcKaZdnkyL,https://api.spotify.com/v1/audio-analysis/44EgTZXLY0a2NcKaZdnkyL,149072.0,4.0
Burnin,Petit Biscuit,20193899,new french touch,0.846,0.554,8.0,-8.753,0.0,0.0559,0.044,0.000367,0.0797,0.784,113.968,audio_features,5D246C2tLKCTeZgcsRfvcA,spotify:track:5D246C2tLKCTeZgcsRfvcA,https://api.spotify.com/v1/tracks/5D246C2tLKCTeZgcsRfvcA,https://api.spotify.com/v1/audio-analysis/5D246C2tLKCTeZgcsRfvcA,175893.0,4.0
Crazy,PLÜM,367045,new french touch,0.769,0.596,7.0,-9.359,0.0,0.0524,0.0487,0.00803,0.204,0.259,105.032,audio_features,3h0tEwAyOCQDa4X8NEcy0Q,spotify:track:3h0tEwAyOCQDa4X8NEcy0Q,https://api.spotify.com/v1/tracks/3h0tEwAyOCQDa4X8NEcy0Q,https://api.spotify.com/v1/audio-analysis/3h0tEwAyOCQDa4X8NEcy0Q,220000.0,4.0
