trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Elevation - Jack Antonoff Remix,Erasure,987835,new romantic,0.578,0.73,2.0,-10.596,1.0,0.0395,0.000441,0.454,0.296,0.397,119.989,audio_features,6lGuFStXhrgBEap91aqGbs,spotify:track:6lGuFStXhrgBEap91aqGbs,https://api.spotify.com/v1/tracks/6lGuFStXhrgBEap91aqGbs,https://api.spotify.com/v1/audio-analysis/6lGuFStXhrgBEap91aqGbs,205508.0,4.0
Fragile (Orchestrated),Midge Ure,271916,new romantic,0.197,0.418,7.0,-5.882,1.0,0.0311,0.407,0.165,0.0956,0.116,104.758,audio_features,2alj8PV2Gox1ZbKSIHxLO5,spotify:track:2alj8PV2Gox1ZbKSIHxLO5,https://api.spotify.com/v1/tracks/2alj8PV2Gox1ZbKSIHxLO5,https://api.spotify.com/v1/audio-analysis/2alj8PV2Gox1ZbKSIHxLO5,379733.0,4.0
Never Gonna Give You Up,Rick Astley,1302984,new romantic,0.721,0.939,8.0,-11.823,1.0,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,4cOdK2wGLETKBW3PvgPWqT,spotify:track:4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/tracks/4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/audio-analysis/4cOdK2wGLETKBW3PvgPWqT,213573.0,4.0
Take on Me,a-ha,10231166,new romantic,0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280.0,4.0
Wake Me Up Before You Go-Go,Wham!,5979227,new romantic,0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333.0,4.0
Elevation - Jack Antonoff Remix,Erasure,987835,new romantic,0.578,0.73,2.0,-10.596,1.0,0.0395,0.000441,0.454,0.296,0.397,119.989,audio_features,6lGuFStXhrgBEap91aqGbs,spotify:track:6lGuFStXhrgBEap91aqGbs,https://api.spotify.com/v1/tracks/6lGuFStXhrgBEap91aqGbs,https://api.spotify.com/v1/audio-analysis/6lGuFStXhrgBEap91aqGbs,205508.0,4.0
Fragile (Orchestrated),Midge Ure,271916,new romantic,0.197,0.418,7.0,-5.882,1.0,0.0311,0.407,0.165,0.0956,0.116,104.758,audio_features,2alj8PV2Gox1ZbKSIHxLO5,spotify:track:2alj8PV2Gox1ZbKSIHxLO5,https://api.spotify.com/v1/tracks/2alj8PV2Gox1ZbKSIHxLO5,https://api.spotify.com/v1/audio-analysis/2alj8PV2Gox1ZbKSIHxLO5,379733.0,4.0
Never Gonna Give You Up,Rick Astley,1302984,new romantic,0.721,0.939,8.0,-11.823,1.0,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,4cOdK2wGLETKBW3PvgPWqT,spotify:track:4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/tracks/4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/audio-analysis/4cOdK2wGLETKBW3PvgPWqT,213573.0,4.0
Take on Me,a-ha,10231166,new romantic,0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280.0,4.0
Wake Me Up Before You Go-Go,Wham!,5979227,new romantic,0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333.0,4.0
