trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1917,Thomas Newman,77341,orchestral soundtrack,0.0814,0.0155,7.0,-33.085,0.0,0.044,0.945,0.915,0.0923,0.0899,171.075,audio_features,6TsRPIdwASJBXanGhftVjc,spotify:track:6TsRPIdwASJBXanGhftVjc,https://api.spotify.com/v1/tracks/6TsRPIdwASJBXanGhftVjc,https://api.spotify.com/v1/audio-analysis/6TsRPIdwASJBXanGhftVjc,77413.0,1.0
A Gift Of A Thistle,James Horner,97568,orchestral soundtrack,0.0828,0.012,9.0,-36.045,0.0,0.0451,0.9,0.812,0.0875,0.0578,169.895,audio_features,3Yvi5NkUrSppVwrMHYkB6u,spotify:track:3Yvi5NkUrSppVwrMHYkB6u,https://api.spotify.com/v1/tracks/3Yvi5NkUrSppVwrMHYkB6u,https://api.spotify.com/v1/audio-analysis/3Yvi5NkUrSppVwrMHYkB6u,97667.0,3.0
"Asgard - From ""Thor: The Dark World""/Score",Brian Tyler,115942,orchestral soundtrack,0.276,0.523,0.0,-9.919,1.0,0.0391,0.0189,0.984,0.0567,0.28,81.699,audio_features,5LuenPeo98IBXOUy8r4yC0,spotify:track:5LuenPeo98IBXOUy8r4yC0,https://api.spotify.com/v1/tracks/5LuenPeo98IBXOUy8r4yC0,https://api.spotify.com/v1/audio-analysis/5LuenPeo98IBXOUy8r4yC0,116107.0,4.0
Loss Of A Twin,Brian Tyler,341513,orchestral soundtrack,0.0744,0.0208,2.0,-27.712,0.0,0.0397,0.956,0.954,0.0847,0.0395,78.872,audio_features,32p8dAoSVY4aFgsCXqcEs8,spotify:track:32p8dAoSVY4aFgsCXqcEs8,https://api.spotify.com/v1/tracks/32p8dAoSVY4aFgsCXqcEs8,https://api.spotify.com/v1/audio-analysis/32p8dAoSVY4aFgsCXqcEs8,113747.0,4.0
Nothing Else Matters - Jungle Cruise Version Part 1,James Newton Howard,85609,orchestral soundtrack,0.439,0.278,4.0,-20.265,0.0,0.0303,0.873,0.929,0.116,0.191,150.176,audio_features,4PGBgDZAcUpAapDtfdX5Np,spotify:track:4PGBgDZAcUpAapDtfdX5Np,https://api.spotify.com/v1/tracks/4PGBgDZAcUpAapDtfdX5Np,https://api.spotify.com/v1/audio-analysis/4PGBgDZAcUpAapDtfdX5Np,86907.0,3.0
People Disappear All the Time,Bear McCreary,211857,orchestral soundtrack,0.225,0.17,7.0,-18.781,1.0,0.0353,0.861,0.783,0.146,0.0392,71.831,audio_features,2j03d8wjAXEh5Gyvs2GuiT,spotify:track:2j03d8wjAXEh5Gyvs2GuiT,https://api.spotify.com/v1/tracks/2j03d8wjAXEh5Gyvs2GuiT,https://api.spotify.com/v1/audio-analysis/2j03d8wjAXEh5Gyvs2GuiT,212013.0,4.0
Rooftop Kiss,James Horner,154798,orchestral soundtrack,0.0833,0.00524,7.0,-36.281,1.0,0.0457,0.935,0.91,0.0818,0.0361,70.329,audio_features,1kLeO0H9TdEewIZdr7Zi2i,spotify:track:1kLeO0H9TdEewIZdr7Zi2i,https://api.spotify.com/v1/tracks/1kLeO0H9TdEewIZdr7Zi2i,https://api.spotify.com/v1/audio-analysis/1kLeO0H9TdEewIZdr7Zi2i,154840.0,4.0
1917,Thomas Newman,77341,orchestral soundtrack,0.0814,0.0155,7.0,-33.085,0.0,0.044,0.945,0.915,0.0923,0.0899,171.075,audio_features,6TsRPIdwASJBXanGhftVjc,spotify:track:6TsRPIdwASJBXanGhftVjc,https://api.spotify.com/v1/tracks/6TsRPIdwASJBXanGhftVjc,https://api.spotify.com/v1/audio-analysis/6TsRPIdwASJBXanGhftVjc,77413.0,1.0
A Gift Of A Thistle,James Horner,97568,orchestral soundtrack,0.0828,0.012,9.0,-36.045,0.0,0.0451,0.9,0.812,0.0875,0.0578,169.895,audio_features,3Yvi5NkUrSppVwrMHYkB6u,spotify:track:3Yvi5NkUrSppVwrMHYkB6u,https://api.spotify.com/v1/tracks/3Yvi5NkUrSppVwrMHYkB6u,https://api.spotify.com/v1/audio-analysis/3Yvi5NkUrSppVwrMHYkB6u,97667.0,3.0
"Asgard - From ""Thor: The Dark World""/Score",Brian Tyler,115942,orchestral soundtrack,0.276,0.523,0.0,-9.919,1.0,0.0391,0.0189,0.984,0.0567,0.28,81.699,audio_features,5LuenPeo98IBXOUy8r4yC0,spotify:track:5LuenPeo98IBXOUy8r4yC0,https://api.spotify.com/v1/tracks/5LuenPeo98IBXOUy8r4yC0,https://api.spotify.com/v1/audio-analysis/5LuenPeo98IBXOUy8r4yC0,116107.0,4.0
