trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Color Perfume,Nicki Gee,7762,otacore,0.705,0.579,9.0,-9.639,0.0,0.035,0.0961,7.59e-06,0.102,0.784,148.017,audio_features,3RHJkHFM56wzUpcU7W9ovm,spotify:track:3RHJkHFM56wzUpcU7W9ovm,https://api.spotify.com/v1/tracks/3RHJkHFM56wzUpcU7W9ovm,https://api.spotify.com/v1/audio-analysis/3RHJkHFM56wzUpcU7W9ovm,266074.0,4.0
Full Throttle - Acoustic,Ben Schuller,196025,otacore,0.437,0.308,6.0,-7.289,0.0,0.0392,0.827,0.0,0.11,0.385,116.332,audio_features,4NZUGaKTfPMFEHEg5gSng2,spotify:track:4NZUGaKTfPMFEHEg5gSng2,https://api.spotify.com/v1/tracks/4NZUGaKTfPMFEHEg5gSng2,https://api.spotify.com/v1/audio-analysis/4NZUGaKTfPMFEHEg5gSng2,196026.0,4.0
My Ordinary Life,The Living Tombstone,4701199,otacore,0.648,0.827,9.0,-4.78,0.0,0.042,0.00533,0.338,0.217,0.598,176.005,audio_features,6tMdpUXfT70TD6Eh3XfB1p,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,https://api.spotify.com/v1/tracks/6tMdpUXfT70TD6Eh3XfB1p,https://api.spotify.com/v1/audio-analysis/6tMdpUXfT70TD6Eh3XfB1p,230895.0,4.0
Pretending - Acoustic,Ben Schuller,207804,otacore,0.412,0.305,4.0,-8.024,1.0,0.0376,0.888,0.0,0.066,0.313,109.439,audio_features,05emejcDubPXW5TQv34QZH,spotify:track:05emejcDubPXW5TQv34QZH,https://api.spotify.com/v1/tracks/05emejcDubPXW5TQv34QZH,https://api.spotify.com/v1/audio-analysis/05emejcDubPXW5TQv34QZH,207805.0,5.0
Stadiums - Acoustic,Ben Schuller,171845,otacore,0.451,0.259,7.0,-9.396,0.0,0.0389,0.967,0.0,0.138,0.354,102.25,audio_features,4QBJdJHeR8gYvfCra71hQ4,spotify:track:4QBJdJHeR8gYvfCra71hQ4,https://api.spotify.com/v1/tracks/4QBJdJHeR8gYvfCra71hQ4,https://api.spotify.com/v1/audio-analysis/4QBJdJHeR8gYvfCra71hQ4,194221.0,4.0
Color Perfume,Nicki Gee,7762,otacore,0.705,0.579,9.0,-9.639,0.0,0.035,0.0961,7.59e-06,0.102,0.784,148.017,audio_features,3RHJkHFM56wzUpcU7W9ovm,spotify:track:3RHJkHFM56wzUpcU7W9ovm,https://api.spotify.com/v1/tracks/3RHJkHFM56wzUpcU7W9ovm,https://api.spotify.com/v1/audio-analysis/3RHJkHFM56wzUpcU7W9ovm,266074.0,4.0
Full Throttle - Acoustic,Ben Schuller,196025,otacore,0.437,0.308,6.0,-7.289,0.0,0.0392,0.827,0.0,0.11,0.385,116.332,audio_features,4NZUGaKTfPMFEHEg5gSng2,spotify:track:4NZUGaKTfPMFEHEg5gSng2,https://api.spotify.com/v1/tracks/4NZUGaKTfPMFEHEg5gSng2,https://api.spotify.com/v1/audio-analysis/4NZUGaKTfPMFEHEg5gSng2,196026.0,4.0
My Ordinary Life,The Living Tombstone,4701199,otacore,0.648,0.827,9.0,-4.78,0.0,0.042,0.00533,0.338,0.217,0.598,176.005,audio_features,6tMdpUXfT70TD6Eh3XfB1p,spotify:track:6tMdpUXfT70TD6Eh3XfB1p,https://api.spotify.com/v1/tracks/6tMdpUXfT70TD6Eh3XfB1p,https://api.spotify.com/v1/audio-analysis/6tMdpUXfT70TD6Eh3XfB1p,230895.0,4.0
Pretending - Acoustic,Ben Schuller,207804,otacore,0.412,0.305,4.0,-8.024,1.0,0.0376,0.888,0.0,0.066,0.313,109.439,audio_features,05emejcDubPXW5TQv34QZH,spotify:track:05emejcDubPXW5TQv34QZH,https://api.spotify.com/v1/tracks/05emejcDubPXW5TQv34QZH,https://api.spotify.com/v1/audio-analysis/05emejcDubPXW5TQv34QZH,207805.0,5.0
Stadiums - Acoustic,Ben Schuller,171845,otacore,0.451,0.259,7.0,-9.396,0.0,0.0389,0.967,0.0,0.138,0.354,102.25,audio_features,4QBJdJHeR8gYvfCra71hQ4,spotify:track:4QBJdJHeR8gYvfCra71hQ4,https://api.spotify.com/v1/tracks/4QBJdJHeR8gYvfCra71hQ4,https://api.spotify.com/v1/audio-analysis/4QBJdJHeR8gYvfCra71hQ4,194221.0,4.0
