trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Apologize,OneRepublic,1349651,piano rock,0.593,0.74,8.0,-6.12,1.0,0.0339,0.363,2.22e-05,0.102,0.502,118.008,audio_features,1NrJYpdAi7uosDRPmSYrsG,spotify:track:1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/tracks/1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/audio-analysis/1NrJYpdAi7uosDRPmSYrsG,208107.0,4.0
Counting Stars,OneRepublic,2067163,piano rock,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.115,0.477,122.017,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840.0,4.0
I Ain't Worried,OneRepublic,148485,piano rock,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486.0,4.0
I Lived,OneRepublic,82357,piano rock,0.599,0.854,9.0,-5.429,1.0,0.0436,0.0746,0.0,0.278,0.311,119.986,audio_features,7D49Iig0avHre9RFSUMkd2,spotify:track:7D49Iig0avHre9RFSUMkd2,https://api.spotify.com/v1/tracks/7D49Iig0avHre9RFSUMkd2,https://api.spotify.com/v1/audio-analysis/7D49Iig0avHre9RFSUMkd2,234547.0,4.0
Run,OneRepublic,1276584,piano rock,0.624,0.684,3.0,-5.507,0.0,0.0513,0.0336,0.0,0.0771,0.75,163.033,audio_features,07fbDnkKdZGk1gLvknxrns,spotify:track:07fbDnkKdZGk1gLvknxrns,https://api.spotify.com/v1/tracks/07fbDnkKdZGk1gLvknxrns,https://api.spotify.com/v1/audio-analysis/07fbDnkKdZGk1gLvknxrns,143265.0,4.0
Somebody To Love,OneRepublic,181408,piano rock,0.401,0.503,2.0,-8.084,1.0,0.0439,0.0158,0.0,0.134,0.236,118.486,audio_features,25XDKsMo2Zx5sKVnrQVsEW,spotify:track:25XDKsMo2Zx5sKVnrQVsEW,https://api.spotify.com/v1/tracks/25XDKsMo2Zx5sKVnrQVsEW,https://api.spotify.com/v1/audio-analysis/25XDKsMo2Zx5sKVnrQVsEW,181408.0,4.0
Start Again (feat. Logic),OneRepublic,165626,piano rock,0.564,0.722,1.0,-5.59,0.0,0.124,0.162,0.0,0.0931,0.276,99.083,audio_features,1Nj2oBISdFDSF8eDuXcALz,spotify:track:1Nj2oBISdFDSF8eDuXcALz,https://api.spotify.com/v1/tracks/1Nj2oBISdFDSF8eDuXcALz,https://api.spotify.com/v1/audio-analysis/1Nj2oBISdFDSF8eDuXcALz,165627.0,4.0
Sunshine,OneRepublic,940238,piano rock,0.697,0.875,5.0,-4.621,1.0,0.034,0.137,0.0,0.28,0.774,140.069,audio_features,5r43qanLhUCdBj8HN3fa6B,spotify:track:5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/tracks/5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/audio-analysis/5r43qanLhUCdBj8HN3fa6B,163855.0,4.0
Wild Life,OneRepublic,1416554,piano rock,0.498,0.764,2.0,-8.096,1.0,0.0382,0.0118,0.0104,0.156,0.0557,115.975,audio_features,6oaQuXiRKqQq9ITJBV1XmC,spotify:track:6oaQuXiRKqQq9ITJBV1XmC,https://api.spotify.com/v1/tracks/6oaQuXiRKqQq9ITJBV1XmC,https://api.spotify.com/v1/audio-analysis/6oaQuXiRKqQq9ITJBV1XmC,267117.0,4.0
Apologize,OneRepublic,1349651,piano rock,0.593,0.74,8.0,-6.12,1.0,0.0339,0.363,2.22e-05,0.102,0.502,118.008,audio_features,1NrJYpdAi7uosDRPmSYrsG,spotify:track:1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/tracks/1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/audio-analysis/1NrJYpdAi7uosDRPmSYrsG,208107.0,4.0
