trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Do It To It - Tiësto Remix,ACRAZE,3483,pop dance,0.636,0.892,2.0,-5.573,1.0,0.0386,0.000422,0.0954,0.156,0.456,125.003,audio_features,2XKsHHNCtKqk9cF35TRFyC,spotify:track:2XKsHHNCtKqk9cF35TRFyC,https://api.spotify.com/v1/tracks/2XKsHHNCtKqk9cF35TRFyC,https://api.spotify.com/v1/audio-analysis/2XKsHHNCtKqk9cF35TRFyC,125280.0,4.0
Drink About - Clean Bandit Remix,Seeb,252763,pop dance,0.656,0.927,1.0,-4.527,1.0,0.122,0.127,0.0354,0.0811,0.865,113.99,audio_features,1HCmEU2u0YU8ll8qgXDyjj,spotify:track:1HCmEU2u0YU8ll8qgXDyjj,https://api.spotify.com/v1/tracks/1HCmEU2u0YU8ll8qgXDyjj,https://api.spotify.com/v1/audio-analysis/1HCmEU2u0YU8ll8qgXDyjj,252764.0,4.0
Grip,Seeb,2632471,pop dance,0.598,0.904,4.0,-2.293,1.0,0.0507,0.331,0.0,0.264,0.503,138.091,audio_features,3gicyfiEVMGONgzygpWjNT,spotify:track:3gicyfiEVMGONgzygpWjNT,https://api.spotify.com/v1/tracks/3gicyfiEVMGONgzygpWjNT,https://api.spotify.com/v1/audio-analysis/3gicyfiEVMGONgzygpWjNT,198075.0,4.0
I Miss The Future,Lost Kings,6551338,pop dance,0.734,0.443,0.0,-5.73,0.0,0.0406,0.386,0.0,0.123,0.658,110.988,audio_features,2k7EwI4qVUIcMyYbGyyeeX,spotify:track:2k7EwI4qVUIcMyYbGyyeeX,https://api.spotify.com/v1/tracks/2k7EwI4qVUIcMyYbGyyeeX,https://api.spotify.com/v1/audio-analysis/2k7EwI4qVUIcMyYbGyyeeX,157952.0,4.0
Me Myself & Adderall,Lost Kings,1270,pop dance,0.426,0.787,1.0,-4.95,1.0,0.141,0.0273,3.52e-06,0.0975,0.549,88.145,audio_features,7xaaqSE7fcAjE6iAl0REBW,spotify:track:7xaaqSE7fcAjE6iAl0REBW,https://api.spotify.com/v1/tracks/7xaaqSE7fcAjE6iAl0REBW,https://api.spotify.com/v1/audio-analysis/7xaaqSE7fcAjE6iAl0REBW,132309.0,4.0
Miss You - Sped Up Version,southstar,170983,pop dance,0.592,0.64,0.0,-12.339,1.0,0.0475,0.181,0.801,0.14,0.143,173.999,audio_features,2KLhpSs8XAHyKLTw5tHBmH,spotify:track:2KLhpSs8XAHyKLTw5tHBmH,https://api.spotify.com/v1/tracks/2KLhpSs8XAHyKLTw5tHBmH,https://api.spotify.com/v1/audio-analysis/2KLhpSs8XAHyKLTw5tHBmH,170984.0,4.0
Remember - Acoustic / Sped Up,Becky Hill,154146,pop dance,0.602,0.525,7.0,-6.765,0.0,0.0504,0.81,0.0,0.0943,0.548,136.932,audio_features,0vwF1PVvU7EJpKKGRDgdaQ,spotify:track:0vwF1PVvU7EJpKKGRDgdaQ,https://api.spotify.com/v1/tracks/0vwF1PVvU7EJpKKGRDgdaQ,https://api.spotify.com/v1/audio-analysis/0vwF1PVvU7EJpKKGRDgdaQ,154147.0,4.0
Sun Comes Up (feat. James Arthur),Rudimental,232627,pop dance,0.619,0.858,10.0,-5.28,1.0,0.0929,0.00791,0.0,0.173,0.23,106.017,audio_features,6SUocL0caib4mLHe8ZrZzi,spotify:track:6SUocL0caib4mLHe8ZrZzi,https://api.spotify.com/v1/tracks/6SUocL0caib4mLHe8ZrZzi,https://api.spotify.com/v1/audio-analysis/6SUocL0caib4mLHe8ZrZzi,232627.0,4.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3208617,pop dance,0.653,0.809,0.0,-4.057,1.0,0.0474,0.194,0.0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,spotify:track:5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773.0,4.0
Try,Lost Kings,2488294,pop dance,0.478,0.802,7.0,-5.043,0.0,0.0454,0.0725,0.0,0.136,0.36,200.0,audio_features,2Q3uUxPpTKY4MjY5SRFSHK,spotify:track:2Q3uUxPpTKY4MjY5SRFSHK,https://api.spotify.com/v1/tracks/2Q3uUxPpTKY4MjY5SRFSHK,https://api.spotify.com/v1/audio-analysis/2Q3uUxPpTKY4MjY5SRFSHK,185119.0,4.0
Unfamiliar,Seeb,1775878,pop dance,0.59,0.677,0.0,-5.395,1.0,0.0577,0.00882,0.000147,0.157,0.304,184.573,audio_features,6tTPc9BEDYExwIEg8QGxvL,spotify:track:6tTPc9BEDYExwIEg8QGxvL,https://api.spotify.com/v1/tracks/6tTPc9BEDYExwIEg8QGxvL,https://api.spotify.com/v1/audio-analysis/6tTPc9BEDYExwIEg8QGxvL,174811.0,4.0
Way Too Long (feat. Anne-Marie & MoStack) [Clean Bandit Remix],Nathan Dawe,158654,pop dance,0.799,0.711,1.0,-4.163,0.0,0.0337,0.0106,8.48e-05,0.0694,0.412,125.983,audio_features,5PTsOdz21tg6lwzEXYEiY0,spotify:track:5PTsOdz21tg6lwzEXYEiY0,https://api.spotify.com/v1/tracks/5PTsOdz21tg6lwzEXYEiY0,https://api.spotify.com/v1/audio-analysis/5PTsOdz21tg6lwzEXYEiY0,158655.0,4.0
You,Regard,5727019,pop dance,0.691,0.695,0.0,-5.6,1.0,0.0367,0.0592,0.0,0.0647,0.514,106.064,audio_features,2cc8Sw1OnCuA5bV8nqWqpE,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,https://api.spotify.com/v1/tracks/2cc8Sw1OnCuA5bV8nqWqpE,https://api.spotify.com/v1/audio-analysis/2cc8Sw1OnCuA5bV8nqWqpE,233386.0,4.0
Do It To It - Tiësto Remix,ACRAZE,3483,pop dance,0.636,0.892,2.0,-5.573,1.0,0.0386,0.000422,0.0954,0.156,0.456,125.003,audio_features,2XKsHHNCtKqk9cF35TRFyC,spotify:track:2XKsHHNCtKqk9cF35TRFyC,https://api.spotify.com/v1/tracks/2XKsHHNCtKqk9cF35TRFyC,https://api.spotify.com/v1/audio-analysis/2XKsHHNCtKqk9cF35TRFyC,125280.0,4.0
Drink About - Clean Bandit Remix,Seeb,252763,pop dance,0.656,0.927,1.0,-4.527,1.0,0.122,0.127,0.0354,0.0811,0.865,113.99,audio_features,1HCmEU2u0YU8ll8qgXDyjj,spotify:track:1HCmEU2u0YU8ll8qgXDyjj,https://api.spotify.com/v1/tracks/1HCmEU2u0YU8ll8qgXDyjj,https://api.spotify.com/v1/audio-analysis/1HCmEU2u0YU8ll8qgXDyjj,252764.0,4.0
Grip,Seeb,2632471,pop dance,0.598,0.904,4.0,-2.293,1.0,0.0507,0.331,0.0,0.264,0.503,138.091,audio_features,3gicyfiEVMGONgzygpWjNT,spotify:track:3gicyfiEVMGONgzygpWjNT,https://api.spotify.com/v1/tracks/3gicyfiEVMGONgzygpWjNT,https://api.spotify.com/v1/audio-analysis/3gicyfiEVMGONgzygpWjNT,198075.0,4.0
I Miss The Future,Lost Kings,6551338,pop dance,0.734,0.443,0.0,-5.73,0.0,0.0406,0.386,0.0,0.123,0.658,110.988,audio_features,2k7EwI4qVUIcMyYbGyyeeX,spotify:track:2k7EwI4qVUIcMyYbGyyeeX,https://api.spotify.com/v1/tracks/2k7EwI4qVUIcMyYbGyyeeX,https://api.spotify.com/v1/audio-analysis/2k7EwI4qVUIcMyYbGyyeeX,157952.0,4.0
Me Myself & Adderall,Lost Kings,1270,pop dance,0.426,0.787,1.0,-4.95,1.0,0.141,0.0273,3.52e-06,0.0975,0.549,88.145,audio_features,7xaaqSE7fcAjE6iAl0REBW,spotify:track:7xaaqSE7fcAjE6iAl0REBW,https://api.spotify.com/v1/tracks/7xaaqSE7fcAjE6iAl0REBW,https://api.spotify.com/v1/audio-analysis/7xaaqSE7fcAjE6iAl0REBW,132309.0,4.0
Miss You - Sped Up Version,southstar,170983,pop dance,0.592,0.64,0.0,-12.339,1.0,0.0475,0.181,0.801,0.14,0.143,173.999,audio_features,2KLhpSs8XAHyKLTw5tHBmH,spotify:track:2KLhpSs8XAHyKLTw5tHBmH,https://api.spotify.com/v1/tracks/2KLhpSs8XAHyKLTw5tHBmH,https://api.spotify.com/v1/audio-analysis/2KLhpSs8XAHyKLTw5tHBmH,170984.0,4.0
