trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Another Life (feat. FLETCHER & Josh Golden),Surf Mesa,2287845,pop edm,0.648,0.724,0.0,-5.189,1.0,0.0263,0.0198,0.0,0.15,0.382,125.014,audio_features,3ng7epefERNazaZkkbwLdq,spotify:track:3ng7epefERNazaZkkbwLdq,https://api.spotify.com/v1/tracks/3ng7epefERNazaZkkbwLdq,https://api.spotify.com/v1/audio-analysis/3ng7epefERNazaZkkbwLdq,162954.0,4.0
i don't wanna know,GOLDHOUSE,310509,pop edm,0.641,0.28,10.0,-8.737,1.0,0.0312,0.815,0.0,0.0866,0.497,120.005,audio_features,3dNEnD700nYq0TY0w6AJjs,spotify:track:3dNEnD700nYq0TY0w6AJjs,https://api.spotify.com/v1/tracks/3dNEnD700nYq0TY0w6AJjs,https://api.spotify.com/v1/audio-analysis/3dNEnD700nYq0TY0w6AJjs,186500.0,4.0
i don't wanna know - acoustic,GOLDHOUSE,56994,pop edm,0.641,0.28,10.0,-8.737,1.0,0.0312,0.815,0.0,0.0866,0.497,120.005,audio_features,3dNEnD700nYq0TY0w6AJjs,spotify:track:3dNEnD700nYq0TY0w6AJjs,https://api.spotify.com/v1/tracks/3dNEnD700nYq0TY0w6AJjs,https://api.spotify.com/v1/audio-analysis/3dNEnD700nYq0TY0w6AJjs,186500.0,4.0
Breathe,Mako,2560971,pop edm,0.398,0.571,7.0,-6.354,0.0,0.0397,0.493,0.0,0.106,0.556,152.909,audio_features,1ohiFaY4aPTHpjXusIoUTz,spotify:track:1ohiFaY4aPTHpjXusIoUTz,https://api.spotify.com/v1/tracks/1ohiFaY4aPTHpjXusIoUTz,https://api.spotify.com/v1/audio-analysis/1ohiFaY4aPTHpjXusIoUTz,188361.0,5.0
Bring Back the Summer (feat. OLY),Rain Man,1212140,pop edm,0.654,0.752,11.0,-3.676,0.0,0.0316,0.0691,1.79e-06,0.0771,0.453,98.007,audio_features,4tp0KROOhKDVjRfZrxVOgX,spotify:track:4tp0KROOhKDVjRfZrxVOgX,https://api.spotify.com/v1/tracks/4tp0KROOhKDVjRfZrxVOgX,https://api.spotify.com/v1/audio-analysis/4tp0KROOhKDVjRfZrxVOgX,200204.0,4.0
Carried Away (Love To Love) (with Madison Beer),Surf Mesa,475690,pop edm,0.518,0.683,1.0,-5.295,1.0,0.0364,0.346,0.0,0.311,0.304,141.971,audio_features,4IvuPZogXbY7LODs7qzr0W,spotify:track:4IvuPZogXbY7LODs7qzr0W,https://api.spotify.com/v1/tracks/4IvuPZogXbY7LODs7qzr0W,https://api.spotify.com/v1/audio-analysis/4IvuPZogXbY7LODs7qzr0W,182654.0,4.0
Little Do You Know,BEAUZ,1721904,pop edm,0.573,0.694,1.0,-4.456,1.0,0.042,0.13,0.0,0.0917,0.445,105.085,audio_features,5oByBWOcsIYOxitDER7JRn,spotify:track:5oByBWOcsIYOxitDER7JRn,https://api.spotify.com/v1/tracks/5oByBWOcsIYOxitDER7JRn,https://api.spotify.com/v1/audio-analysis/5oByBWOcsIYOxitDER7JRn,167429.0,4.0
Outerspace,BEAUZ,1310093,pop edm,0.586,0.861,0.0,-3.089,0.0,0.0617,0.00987,7.17e-05,0.128,0.478,142.16,audio_features,2ChOMSamIbDfZ4lA9yAiRA,spotify:track:2ChOMSamIbDfZ4lA9yAiRA,https://api.spotify.com/v1/tracks/2ChOMSamIbDfZ4lA9yAiRA,https://api.spotify.com/v1/audio-analysis/2ChOMSamIbDfZ4lA9yAiRA,174084.0,4.0
Reaction,GOLDHOUSE,188978,pop edm,0.502,0.768,0.0,-8.322,0.0,0.0693,0.173,4.54e-05,0.148,0.274,170.048,audio_features,72xoZs1qURV2UGMS4OaODu,spotify:track:72xoZs1qURV2UGMS4OaODu,https://api.spotify.com/v1/tracks/72xoZs1qURV2UGMS4OaODu,https://api.spotify.com/v1/audio-analysis/72xoZs1qURV2UGMS4OaODu,189176.0,4.0
Run It (feat. Annika Wells),Midnight Kids,838295,pop edm,0.518,0.754,8.0,-4.365,1.0,0.0472,0.36,0.0,0.11,0.221,92.953,audio_features,3n3Oags848AKzbYH6qz5qX,spotify:track:3n3Oags848AKzbYH6qz5qX,https://api.spotify.com/v1/tracks/3n3Oags848AKzbYH6qz5qX,https://api.spotify.com/v1/audio-analysis/3n3Oags848AKzbYH6qz5qX,219373.0,4.0
