trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hell To The Stars,Harry Hudson,221943,pop r&b,0.613,0.55,2.0,-6.591,0.0,0.0255,0.129,0.0,0.0631,0.257,99.029,audio_features,7zglIQAMFHMBJD7QSRii6C,spotify:track:7zglIQAMFHMBJD7QSRii6C,https://api.spotify.com/v1/tracks/7zglIQAMFHMBJD7QSRii6C,https://api.spotify.com/v1/audio-analysis/7zglIQAMFHMBJD7QSRii6C,221943.0,4.0
Quarter Life Crisis,Harry Hudson,165663,pop r&b,0.666,0.66,11.0,-6.681,0.0,0.0249,0.398,4.58e-06,0.12,0.565,108.019,audio_features,2tanvkYElTbqn48K3uawne,spotify:track:2tanvkYElTbqn48K3uawne,https://api.spotify.com/v1/tracks/2tanvkYElTbqn48K3uawne,https://api.spotify.com/v1/audio-analysis/2tanvkYElTbqn48K3uawne,192535.0,4.0
Ruthless (Nice Guys Always Finish Last),MarMar Oso,466046,pop r&b,0.724,0.269,5.0,-15.465,1.0,0.0456,0.388,0.0,0.0808,0.866,86.042,audio_features,6HeCk6yewXH7WO4D93eub9,spotify:track:6HeCk6yewXH7WO4D93eub9,https://api.spotify.com/v1/tracks/6HeCk6yewXH7WO4D93eub9,https://api.spotify.com/v1/audio-analysis/6HeCk6yewXH7WO4D93eub9,233023.0,4.0
The Legend Of The Yellow Rose,Harry Hudson,278394,pop r&b,0.606,0.519,4.0,-7.246,0.0,0.0276,0.598,0.0,0.287,0.331,76.014,audio_features,7bLsjW8av7uVklL0kzeC2f,spotify:track:7bLsjW8av7uVklL0kzeC2f,https://api.spotify.com/v1/tracks/7bLsjW8av7uVklL0kzeC2f,https://api.spotify.com/v1/audio-analysis/7bLsjW8av7uVklL0kzeC2f,278395.0,4.0
Yellow Lights,Harry Hudson,369520,pop r&b,0.444,0.21,3.0,-10.811,1.0,0.0516,0.844,0.0,0.0956,0.306,145.944,audio_features,524dq3zKwXrP4uPL6VwoWT,spotify:track:524dq3zKwXrP4uPL6VwoWT,https://api.spotify.com/v1/tracks/524dq3zKwXrP4uPL6VwoWT,https://api.spotify.com/v1/audio-analysis/524dq3zKwXrP4uPL6VwoWT,171382.0,1.0
Hell To The Stars,Harry Hudson,221943,pop r&b,0.613,0.55,2.0,-6.591,0.0,0.0255,0.129,0.0,0.0631,0.257,99.029,audio_features,7zglIQAMFHMBJD7QSRii6C,spotify:track:7zglIQAMFHMBJD7QSRii6C,https://api.spotify.com/v1/tracks/7zglIQAMFHMBJD7QSRii6C,https://api.spotify.com/v1/audio-analysis/7zglIQAMFHMBJD7QSRii6C,221943.0,4.0
Quarter Life Crisis,Harry Hudson,165663,pop r&b,0.666,0.66,11.0,-6.681,0.0,0.0249,0.398,4.58e-06,0.12,0.565,108.019,audio_features,2tanvkYElTbqn48K3uawne,spotify:track:2tanvkYElTbqn48K3uawne,https://api.spotify.com/v1/tracks/2tanvkYElTbqn48K3uawne,https://api.spotify.com/v1/audio-analysis/2tanvkYElTbqn48K3uawne,192535.0,4.0
Ruthless (Nice Guys Always Finish Last),MarMar Oso,466046,pop r&b,0.724,0.269,5.0,-15.465,1.0,0.0456,0.388,0.0,0.0808,0.866,86.042,audio_features,6HeCk6yewXH7WO4D93eub9,spotify:track:6HeCk6yewXH7WO4D93eub9,https://api.spotify.com/v1/tracks/6HeCk6yewXH7WO4D93eub9,https://api.spotify.com/v1/audio-analysis/6HeCk6yewXH7WO4D93eub9,233023.0,4.0
The Legend Of The Yellow Rose,Harry Hudson,278394,pop r&b,0.606,0.519,4.0,-7.246,0.0,0.0276,0.598,0.0,0.287,0.331,76.014,audio_features,7bLsjW8av7uVklL0kzeC2f,spotify:track:7bLsjW8av7uVklL0kzeC2f,https://api.spotify.com/v1/tracks/7bLsjW8av7uVklL0kzeC2f,https://api.spotify.com/v1/audio-analysis/7bLsjW8av7uVklL0kzeC2f,278395.0,4.0
Yellow Lights,Harry Hudson,369520,pop r&b,0.444,0.21,3.0,-10.811,1.0,0.0516,0.844,0.0,0.0956,0.306,145.944,audio_features,524dq3zKwXrP4uPL6VwoWT,spotify:track:524dq3zKwXrP4uPL6VwoWT,https://api.spotify.com/v1/tracks/524dq3zKwXrP4uPL6VwoWT,https://api.spotify.com/v1/audio-analysis/524dq3zKwXrP4uPL6VwoWT,171382.0,1.0
