trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BAND$,Arizona Zervas,10040,pop rap,0.707,0.591,8.0,-5.878,1.0,0.0705,0.015,0.0,0.27,0.645,149.982,audio_features,2sWoPLbQ4qCZ56D5yCX5W3,spotify:track:2sWoPLbQ4qCZ56D5yCX5W3,https://api.spotify.com/v1/tracks/2sWoPLbQ4qCZ56D5yCX5W3,https://api.spotify.com/v1/audio-analysis/2sWoPLbQ4qCZ56D5yCX5W3,108072.0,4.0
BYE,Jaden,54688953,pop rap,0.635,0.51,0.0,-6.348,1.0,0.0344,0.308,0.0127,0.162,0.334,119.986,audio_features,3OUyyDN7EZrL7i0Sbi5SVd,spotify:track:3OUyyDN7EZrL7i0Sbi5SVd,https://api.spotify.com/v1/tracks/3OUyyDN7EZrL7i0Sbi5SVd,https://api.spotify.com/v1/audio-analysis/3OUyyDN7EZrL7i0Sbi5SVd,296048.0,4.0
Birth Of SYRE - Day Tripper’s Edition,Jaden,60037,pop rap,0.481,0.295,1.0,-13.021,0.0,0.0491,0.913,0.000367,0.173,0.354,98.049,audio_features,2seQydYa6jfs50mCsDyQwB,spotify:track:2seQydYa6jfs50mCsDyQwB,https://api.spotify.com/v1/tracks/2seQydYa6jfs50mCsDyQwB,https://api.spotify.com/v1/audio-analysis/2seQydYa6jfs50mCsDyQwB,165027.0,3.0
Circa 2013,Jaden,155810,pop rap,0.472,0.373,0.0,-10.781,0.0,0.029,0.748,0.00346,0.317,0.103,82.007,audio_features,1pdOGODzq3cf8dOgtB3AAN,spotify:track:1pdOGODzq3cf8dOgtB3AAN,https://api.spotify.com/v1/tracks/1pdOGODzq3cf8dOgtB3AAN,https://api.spotify.com/v1/audio-analysis/1pdOGODzq3cf8dOgtB3AAN,129000.0,4.0
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,417622,pop rap,0.828,0.609,1.0,-4.402,1.0,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,audio_features,5pfJsMwoRYKampPay8amX0,spotify:track:5pfJsMwoRYKampPay8amX0,https://api.spotify.com/v1/tracks/5pfJsMwoRYKampPay8amX0,https://api.spotify.com/v1/audio-analysis/5pfJsMwoRYKampPay8amX0,292593.0,4.0
Equestrian Trail Freestyle #2,Jaden,21480,pop rap,0.342,0.238,2.0,-14.366,1.0,0.0335,0.917,0.754,0.568,0.563,82.849,audio_features,4zAn32c3JN4bZZ2vzotEAE,spotify:track:4zAn32c3JN4bZZ2vzotEAE,https://api.spotify.com/v1/tracks/4zAn32c3JN4bZZ2vzotEAE,https://api.spotify.com/v1/audio-analysis/4zAn32c3JN4bZZ2vzotEAE,63200.0,1.0
Falling For You with Justin Bieber,Jaden,445434,pop rap,0.69,0.541,4.0,-9.259,1.0,0.042,0.721,4.64e-05,0.112,0.787,130.024,audio_features,24MWSatP5sTylISvJONhnB,spotify:track:24MWSatP5sTylISvJONhnB,https://api.spotify.com/v1/tracks/24MWSatP5sTylISvJONhnB,https://api.spotify.com/v1/audio-analysis/24MWSatP5sTylISvJONhnB,222717.0,4.0
Invincible,Aminé,392772,pop rap,0.724,0.6,10.0,-4.391,0.0,0.29,0.141,0.000218,0.104,0.466,86.984,audio_features,6VS7wKwtvL2FvTupYSWZ9e,spotify:track:6VS7wKwtvL2FvTupYSWZ9e,https://api.spotify.com/v1/tracks/6VS7wKwtvL2FvTupYSWZ9e,https://api.spotify.com/v1/audio-analysis/6VS7wKwtvL2FvTupYSWZ9e,196387.0,4.0
Lalala,Y2K,2138443,pop rap,0.843,0.39,2.0,-7.899,1.0,0.0846,0.178,0.0,0.137,0.495,129.972,audio_features,51Fjme0JiitpyXKuyQiCDo,spotify:track:51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,160627.0,4.0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1758459,pop rap,0.8,0.658,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,audio_features,7hxHWCCAIIxFLCzvDgnQHX,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX,195429.0,4.0
MY TIME,Arizona Zervas,150118,pop rap,0.622,0.527,10.0,-7.638,0.0,0.0346,0.446,0.0,0.07,0.212,79.478,audio_features,0pM1oWq2iw8W0AY6ORdC0x,spotify:track:0pM1oWq2iw8W0AY6ORdC0x,https://api.spotify.com/v1/tracks/0pM1oWq2iw8W0AY6ORdC0x,https://api.spotify.com/v1/audio-analysis/0pM1oWq2iw8W0AY6ORdC0x,150119.0,4.0
Muted Sunrise,Jaden,157253,pop rap,0.644,0.482,9.0,-8.537,1.0,0.0304,0.617,0.00309,0.121,0.0674,144.017,audio_features,1Q4zvy7sa4UpxRsTJzijaq,spotify:track:1Q4zvy7sa4UpxRsTJzijaq,https://api.spotify.com/v1/tracks/1Q4zvy7sa4UpxRsTJzijaq,https://api.spotify.com/v1/audio-analysis/1Q4zvy7sa4UpxRsTJzijaq,142650.0,3.0
NIGHTRIDER,Arizona Zervas,898614,pop rap,0.66,0.755,0.0,-4.501,0.0,0.0469,0.0876,0.0,0.102,0.862,145.948,audio_features,72PFP54TZ9Tpj9dYQcb46D,spotify:track:72PFP54TZ9Tpj9dYQcb46D,https://api.spotify.com/v1/tracks/72PFP54TZ9Tpj9dYQcb46D,https://api.spotify.com/v1/audio-analysis/72PFP54TZ9Tpj9dYQcb46D,156368.0,4.0
OUT WEST (feat. Young Thug),JACKBOYS,417818,pop rap,0.802,0.591,8.0,-4.895,1.0,0.225,0.0104,0.0,0.196,0.309,139.864,audio_features,6gi6y1xwmVszDWkUqab1qw,spotify:track:6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/tracks/6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/audio-analysis/6gi6y1xwmVszDWkUqab1qw,157712.0,4.0
On My Own,Jaden,244720,pop rap,0.344,0.843,1.0,-3.711,0.0,0.0422,0.0214,0.00345,0.189,0.219,97.5,audio_features,4D1eVq5AUILwjg3tAe7o6M,spotify:track:4D1eVq5AUILwjg3tAe7o6M,https://api.spotify.com/v1/tracks/4D1eVq5AUILwjg3tAe7o6M,https://api.spotify.com/v1/audio-analysis/4D1eVq5AUILwjg3tAe7o6M,244720.0,4.0
ROXANNE,Arizona Zervas,3292033,pop rap,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,163636.0,5.0
Still In Love,Jaden,205320,pop rap,0.402,0.488,9.0,-12.103,0.0,0.374,0.875,0.000159,0.314,0.0953,82.701,audio_features,0MbH6aXMUVPHDiBHiuhhKx,spotify:track:0MbH6aXMUVPHDiBHiuhhKx,https://api.spotify.com/v1/tracks/0MbH6aXMUVPHDiBHiuhhKx,https://api.spotify.com/v1/audio-analysis/0MbH6aXMUVPHDiBHiuhhKx,205320.0,4.0
Way Up,Jaden,292993,pop rap,0.585,0.941,10.0,-3.278,0.0,0.145,0.03,8.41e-06,0.196,0.45,130.024,audio_features,7cFFhb9Wz2ZXLSpEk2VDKd,spotify:track:7cFFhb9Wz2ZXLSpEk2VDKd,https://api.spotify.com/v1/tracks/7cFFhb9Wz2ZXLSpEk2VDKd,https://api.spotify.com/v1/audio-analysis/7cFFhb9Wz2ZXLSpEk2VDKd,153773.0,4.0
