trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3 Peg,Sharry Mann,781585,punjabi pop,0.69,0.926,0.0,-0.223,0.0,0.253,0.14,0.0,0.112,0.791,167.927,audio_features,3G8o2zm7LaF6eeVuvLlrkJ,spotify:track:3G8o2zm7LaF6eeVuvLlrkJ,https://api.spotify.com/v1/tracks/3G8o2zm7LaF6eeVuvLlrkJ,https://api.spotify.com/v1/audio-analysis/3G8o2zm7LaF6eeVuvLlrkJ,204396.0,4.0
Bebo,Alfaaz,58910,punjabi pop,0.717,0.92,6.0,-2.878,0.0,0.0425,0.0197,0.0,0.397,0.676,129.943,audio_features,4TQY66VdqsvaKReFiCi7sn,spotify:track:4TQY66VdqsvaKReFiCi7sn,https://api.spotify.com/v1/tracks/4TQY66VdqsvaKReFiCi7sn,https://api.spotify.com/v1/audio-analysis/4TQY66VdqsvaKReFiCi7sn,235542.0,4.0
Daru Badnaam,Param Singh,194457,punjabi pop,0.541,0.676,8.0,-3.893,0.0,0.153,0.442,0.0,0.159,0.845,90.037,audio_features,2TzyJEUfWHGRsk3r6Emvbk,spotify:track:2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/tracks/2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/audio-analysis/2TzyJEUfWHGRsk3r6Emvbk,185333.0,4.0
Illegal Weapon,Garry Sandhu,12441,punjabi pop,0.814,0.666,6.0,-6.555,1.0,0.0635,0.488,4.23e-05,0.108,0.714,94.02,audio_features,3Oe3VdPn6rAueriQvFhCBA,spotify:track:3Oe3VdPn6rAueriQvFhCBA,https://api.spotify.com/v1/tracks/3Oe3VdPn6rAueriQvFhCBA,https://api.spotify.com/v1/audio-analysis/3Oe3VdPn6rAueriQvFhCBA,230000.0,4.0
"Leekan (From ""Ashke"" Soundtrack)",Amrinder Gill,133368,punjabi pop,0.534,0.666,0.0,-4.644,1.0,0.0506,0.788,0.0,0.194,0.564,124.159,audio_features,6hDM2uj57moJd3RLYTm5rI,spotify:track:6hDM2uj57moJd3RLYTm5rI,https://api.spotify.com/v1/tracks/6hDM2uj57moJd3RLYTm5rI,https://api.spotify.com/v1/audio-analysis/6hDM2uj57moJd3RLYTm5rI,215605.0,3.0
Na Ja,Pav Dharia,415926,punjabi pop,0.772,0.649,2.0,-6.411,1.0,0.143,0.0724,0.0,0.0761,0.824,90.072,audio_features,32LKwbmh6yVsWoRRF8DIvf,spotify:track:32LKwbmh6yVsWoRRF8DIvf,https://api.spotify.com/v1/tracks/32LKwbmh6yVsWoRRF8DIvf,https://api.spotify.com/v1/audio-analysis/32LKwbmh6yVsWoRRF8DIvf,208000.0,4.0
3 Peg,Sharry Mann,781585,punjabi pop,0.69,0.926,0.0,-0.223,0.0,0.253,0.14,0.0,0.112,0.791,167.927,audio_features,3G8o2zm7LaF6eeVuvLlrkJ,spotify:track:3G8o2zm7LaF6eeVuvLlrkJ,https://api.spotify.com/v1/tracks/3G8o2zm7LaF6eeVuvLlrkJ,https://api.spotify.com/v1/audio-analysis/3G8o2zm7LaF6eeVuvLlrkJ,204396.0,4.0
Bebo,Alfaaz,58910,punjabi pop,0.717,0.92,6.0,-2.878,0.0,0.0425,0.0197,0.0,0.397,0.676,129.943,audio_features,4TQY66VdqsvaKReFiCi7sn,spotify:track:4TQY66VdqsvaKReFiCi7sn,https://api.spotify.com/v1/tracks/4TQY66VdqsvaKReFiCi7sn,https://api.spotify.com/v1/audio-analysis/4TQY66VdqsvaKReFiCi7sn,235542.0,4.0
Daru Badnaam,Param Singh,194457,punjabi pop,0.541,0.676,8.0,-3.893,0.0,0.153,0.442,0.0,0.159,0.845,90.037,audio_features,2TzyJEUfWHGRsk3r6Emvbk,spotify:track:2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/tracks/2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/audio-analysis/2TzyJEUfWHGRsk3r6Emvbk,185333.0,4.0
Illegal Weapon,Garry Sandhu,12441,punjabi pop,0.814,0.666,6.0,-6.555,1.0,0.0635,0.488,4.23e-05,0.108,0.714,94.02,audio_features,3Oe3VdPn6rAueriQvFhCBA,spotify:track:3Oe3VdPn6rAueriQvFhCBA,https://api.spotify.com/v1/tracks/3Oe3VdPn6rAueriQvFhCBA,https://api.spotify.com/v1/audio-analysis/3Oe3VdPn6rAueriQvFhCBA,230000.0,4.0
"Leekan (From ""Ashke"" Soundtrack)",Amrinder Gill,133368,punjabi pop,0.534,0.666,0.0,-4.644,1.0,0.0506,0.788,0.0,0.194,0.564,124.159,audio_features,6hDM2uj57moJd3RLYTm5rI,spotify:track:6hDM2uj57moJd3RLYTm5rI,https://api.spotify.com/v1/tracks/6hDM2uj57moJd3RLYTm5rI,https://api.spotify.com/v1/audio-analysis/6hDM2uj57moJd3RLYTm5rI,215605.0,3.0
Na Ja,Pav Dharia,415926,punjabi pop,0.772,0.649,2.0,-6.411,1.0,0.143,0.0724,0.0,0.0761,0.824,90.072,audio_features,32LKwbmh6yVsWoRRF8DIvf,spotify:track:32LKwbmh6yVsWoRRF8DIvf,https://api.spotify.com/v1/tracks/32LKwbmh6yVsWoRRF8DIvf,https://api.spotify.com/v1/audio-analysis/32LKwbmh6yVsWoRRF8DIvf,208000.0,4.0
