trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ALL MINE,Brent Faiyaz,104821,r&b,0.617,0.378,9.0,-8.54,1.0,0.0315,0.428,9.16e-05,0.11,0.22,141.967,audio_features,3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,216063.0,4.0
Billie Jean,Michael Jackson,2074810,r&b,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0
Cross Your Mind,Sabrina Claudio,4952464,r&b,0.765,0.614,10.0,-6.556,0.0,0.0888,0.0366,0.000269,0.0639,0.552,97.973,audio_features,1L0vIfsP5YzIrPc9sByRgI,spotify:track:1L0vIfsP5YzIrPc9sByRgI,https://api.spotify.com/v1/tracks/1L0vIfsP5YzIrPc9sByRgI,https://api.spotify.com/v1/audio-analysis/1L0vIfsP5YzIrPc9sByRgI,218040.0,4.0
Forever,Chris Brown,7560,r&b,0.672,0.82,11.0,-4.456,1.0,0.0459,0.0368,0.000188,0.184,0.438,120.005,audio_features,3NZJlJemX3mzjf56MqC5ML,spotify:track:3NZJlJemX3mzjf56MqC5ML,https://api.spotify.com/v1/tracks/3NZJlJemX3mzjf56MqC5ML,https://api.spotify.com/v1/audio-analysis/3NZJlJemX3mzjf56MqC5ML,278573.0,4.0
Karma - Sped Up,Summer Walker,161540,r&b,0.62,0.28,7.0,-10.467,1.0,0.0465,0.268,3.7e-06,0.223,0.178,135.581,audio_features,0MwFC8WoPCjq2H3UES2aos,spotify:track:0MwFC8WoPCjq2H3UES2aos,https://api.spotify.com/v1/tracks/0MwFC8WoPCjq2H3UES2aos,https://api.spotify.com/v1/audio-analysis/0MwFC8WoPCjq2H3UES2aos,161541.0,4.0
No Guidance (feat. Drake),Chris Brown,3147062,r&b,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,audio_features,6XHVuErjQ4XNm6nDPVCxVX,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,260640.0,4.0
On Guard (feat. 6lack),Lauren Jauregui,154197,r&b,0.386,0.331,10.0,-9.706,1.0,0.241,0.631,0.000148,0.12,0.322,180.827,audio_features,0ad3AcpjwPj5yYoyA2TYnA,spotify:track:0ad3AcpjwPj5yYoyA2TYnA,https://api.spotify.com/v1/tracks/0ad3AcpjwPj5yYoyA2TYnA,https://api.spotify.com/v1/audio-analysis/0ad3AcpjwPj5yYoyA2TYnA,206040.0,4.0
So Lonely,Jorja Smith,24441,r&b,0.451,0.159,3.0,-10.443,1.0,0.0487,0.941,7.71e-06,0.12,0.229,141.475,audio_features,7MIgGXO0eKTD2xTEuJ48fD,spotify:track:7MIgGXO0eKTD2xTEuJ48fD,https://api.spotify.com/v1/tracks/7MIgGXO0eKTD2xTEuJ48fD,https://api.spotify.com/v1/audio-analysis/7MIgGXO0eKTD2xTEuJ48fD,199934.0,4.0
Under The Influence,Chris Brown,1363044,r&b,0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613.0,4.0
ALL MINE,Brent Faiyaz,104821,r&b,0.617,0.378,9.0,-8.54,1.0,0.0315,0.428,9.16e-05,0.11,0.22,141.967,audio_features,3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,216063.0,4.0
