trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Baby You're Worth It,Kina,130947,sad lo-fi,0.681,0.255,7.0,-16.305,1.0,0.0479,0.742,0.165,0.105,0.274,119.952,audio_features,75SW8IItf7yy1VejSLtv9W,spotify:track:75SW8IItf7yy1VejSLtv9W,https://api.spotify.com/v1/tracks/75SW8IItf7yy1VejSLtv9W,https://api.spotify.com/v1/audio-analysis/75SW8IItf7yy1VejSLtv9W,130947.0,4.0
as long as i have you,Foster,162217,sad lo-fi,0.518,0.605,5.0,-7.032,0.0,0.181,0.1,3.47e-06,0.219,0.319,79.641,audio_features,01TtrmZEiYitpwDUcPQ6dj,spotify:track:01TtrmZEiYitpwDUcPQ6dj,https://api.spotify.com/v1/tracks/01TtrmZEiYitpwDUcPQ6dj,https://api.spotify.com/v1/audio-analysis/01TtrmZEiYitpwDUcPQ6dj,162218.0,4.0
death bed (coffee for your head),Powfu,359264,sad lo-fi,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333.0,4.0
fools (can't help falling in love) (feat. Sody),Foster,5036009,sad lo-fi,0.706,0.604,2.0,-6.932,1.0,0.303,0.418,0.0,0.242,0.361,82.03,audio_features,4VEEDnEFLI9dUy5QA51rom,spotify:track:4VEEDnEFLI9dUy5QA51rom,https://api.spotify.com/v1/tracks/4VEEDnEFLI9dUy5QA51rom,https://api.spotify.com/v1/audio-analysis/4VEEDnEFLI9dUy5QA51rom,165029.0,4.0
fools (can't help falling in love) (slowed down & reverb),Foster,197857,sad lo-fi,0.591,0.805,0.0,-5.235,1.0,0.271,0.64,0.0,0.143,0.283,136.629,audio_features,6IEYxC5J51Igo0XUTx16mA,spotify:track:6IEYxC5J51Igo0XUTx16mA,https://api.spotify.com/v1/tracks/6IEYxC5J51Igo0XUTx16mA,https://api.spotify.com/v1/audio-analysis/6IEYxC5J51Igo0XUTx16mA,197857.0,4.0
ill come back to you (feat. Sarcastic Sounds & Rxseboy),Powfu,278202,sad lo-fi,0.652,0.483,8.0,-9.964,0.0,0.291,0.658,0.0,0.393,0.372,75.987,audio_features,1DoECePnMuLtpLQSCZqwtK,spotify:track:1DoECePnMuLtpLQSCZqwtK,https://api.spotify.com/v1/tracks/1DoECePnMuLtpLQSCZqwtK,https://api.spotify.com/v1/audio-analysis/1DoECePnMuLtpLQSCZqwtK,134881.0,4.0
snowflake (feat. Jaden & Sarcastic Sounds),Powfu,3323650,sad lo-fi,0.419,0.408,9.0,-10.899,0.0,0.25,0.95,0.0,0.35,0.502,62.829,audio_features,7KW1AtQKFToSoF1kmyk2wE,spotify:track:7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/tracks/7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/audio-analysis/7KW1AtQKFToSoF1kmyk2wE,187500.0,4.0
the long way home (feat. Sara Kays & Sarcastic Sounds),Powfu,3880487,sad lo-fi,0.579,0.402,2.0,-9.687,1.0,0.0392,0.777,0.0,0.316,0.516,152.067,audio_features,356Cveas21VQQ6LlbcBMfT,spotify:track:356Cveas21VQQ6LlbcBMfT,https://api.spotify.com/v1/tracks/356Cveas21VQQ6LlbcBMfT,https://api.spotify.com/v1/audio-analysis/356Cveas21VQQ6LlbcBMfT,189628.0,4.0
Burden,Kyle Dybdal,243437,sad lo-fi,0.425,0.119,2.0,-19.198,1.0,0.0353,0.948,3.54e-06,0.0885,0.336,140.15,audio_features,4c8fdpDeN7SPYClZwTgDv1,spotify:track:4c8fdpDeN7SPYClZwTgDv1,https://api.spotify.com/v1/tracks/4c8fdpDeN7SPYClZwTgDv1,https://api.spotify.com/v1/audio-analysis/4c8fdpDeN7SPYClZwTgDv1,243438.0,4.0
Can We Kiss Forever?,Kina,3405354,sad lo-fi,0.522,0.128,4.0,-18.717,1.0,0.0357,0.894,0.026,0.0941,0.124,109.986,audio_features,58wyJLv6yH1La9NIZPl3ne,spotify:track:58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,https://api.spotify.com/v1/audio-analysis/58wyJLv6yH1La9NIZPl3ne,187932.0,4.0
