trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
insomnia,Paycheck,2552,sad rap,0.716,0.471,1.0,-9.501,0.0,0.0374,0.756,0.0,0.0888,0.405,75.011,audio_features,0IPppzA0UL3lSUXRyMO0UC,spotify:track:0IPppzA0UL3lSUXRyMO0UC,https://api.spotify.com/v1/tracks/0IPppzA0UL3lSUXRyMO0UC,https://api.spotify.com/v1/audio-analysis/0IPppzA0UL3lSUXRyMO0UC,204986.0,4.0
losing interest,Paycheck,1574754,sad rap,0.959,0.317,11.0,-18.153,0.0,0.197,0.649,0.00103,0.113,0.641,119.021,audio_features,4033bOwovL5l4CLXYM6kZL,spotify:track:4033bOwovL5l4CLXYM6kZL,https://api.spotify.com/v1/tracks/4033bOwovL5l4CLXYM6kZL,https://api.spotify.com/v1/audio-analysis/4033bOwovL5l4CLXYM6kZL,108482.0,4.0
Blacked Out Whip,Bri-C,0,sad rap,0.798,0.482,4.0,-9.035,0.0,0.206,0.00368,0.0,0.122,0.689,92.012,audio_features,0glQyuYv0ylzFhVLJh55E2,spotify:track:0glQyuYv0ylzFhVLJh55E2,https://api.spotify.com/v1/tracks/0glQyuYv0ylzFhVLJh55E2,https://api.spotify.com/v1/audio-analysis/0glQyuYv0ylzFhVLJh55E2,156687.0,4.0
Computer Crash,Lui Joseph,169399,sad rap,0.782,0.52,7.0,-9.338,0.0,0.171,0.174,0.0,0.0747,0.495,113.958,audio_features,6MZ91tbZxwwqimJffOoLsW,spotify:track:6MZ91tbZxwwqimJffOoLsW,https://api.spotify.com/v1/tracks/6MZ91tbZxwwqimJffOoLsW,https://api.spotify.com/v1/audio-analysis/6MZ91tbZxwwqimJffOoLsW,169509.0,4.0
Exhausted,Lxst,145096,sad rap,0.645,0.71,7.0,-5.094,1.0,0.07,0.38,0.00127,0.0916,0.126,165.959,audio_features,7l5B1ilLEOxqp9V2LZyKIg,spotify:track:7l5B1ilLEOxqp9V2LZyKIg,https://api.spotify.com/v1/tracks/7l5B1ilLEOxqp9V2LZyKIg,https://api.spotify.com/v1/audio-analysis/7l5B1ilLEOxqp9V2LZyKIg,145096.0,4.0
Hate Me!,MASN,773780,sad rap,0.683,0.628,6.0,-6.512,1.0,0.123,0.659,0.0,0.106,0.356,142.06,audio_features,6jmf4OxSGzdgthZruXtcqu,spotify:track:6jmf4OxSGzdgthZruXtcqu,https://api.spotify.com/v1/tracks/6jmf4OxSGzdgthZruXtcqu,https://api.spotify.com/v1/audio-analysis/6jmf4OxSGzdgthZruXtcqu,154757.0,4.0
I Chose Violence,iamjakehill,139870,sad rap,0.676,0.717,7.0,-8.641,1.0,0.323,0.323,0.0,0.118,0.451,162.016,audio_features,7l5GAw0cglUUnN7bKAz5ab,spotify:track:7l5GAw0cglUUnN7bKAz5ab,https://api.spotify.com/v1/tracks/7l5GAw0cglUUnN7bKAz5ab,https://api.spotify.com/v1/audio-analysis/7l5GAw0cglUUnN7bKAz5ab,139870.0,4.0
IDGAF (with blackbear),BoyWithUke,1758987,sad rap,0.782,0.728,5.0,-5.93,1.0,0.0768,0.427,0.0,0.25,0.876,97.975,audio_features,4ZUpTMKPYFTfJqamWFU9Zv,spotify:track:4ZUpTMKPYFTfJqamWFU9Zv,https://api.spotify.com/v1/tracks/4ZUpTMKPYFTfJqamWFU9Zv,https://api.spotify.com/v1/audio-analysis/4ZUpTMKPYFTfJqamWFU9Zv,140667.0,4.0
Long Drives,BoyWithUke,2009054,sad rap,0.854,0.667,1.0,-7.04,1.0,0.111,0.513,3.21e-05,0.119,0.986,130.021,audio_features,1APefTkgjjwQfZbUWQkOFc,spotify:track:1APefTkgjjwQfZbUWQkOFc,https://api.spotify.com/v1/tracks/1APefTkgjjwQfZbUWQkOFc,https://api.spotify.com/v1/audio-analysis/1APefTkgjjwQfZbUWQkOFc,159933.0,4.0
NUMB,Chri$tian Gate$,746938,sad rap,0.682,0.598,8.0,-5.694,1.0,0.264,0.0575,0.0,0.299,0.823,103.791,audio_features,1BPBwKueIEMnUcbbs2te7B,spotify:track:1BPBwKueIEMnUcbbs2te7B,https://api.spotify.com/v1/tracks/1BPBwKueIEMnUcbbs2te7B,https://api.spotify.com/v1/audio-analysis/1BPBwKueIEMnUcbbs2te7B,112500.0,4.0
