trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
27,Loving Caliber,2858598,scandipop,0.612,0.362,0.0,-7.85,1.0,0.0307,0.686,0.0,0.111,0.459,140.043,audio_features,3r7W1Kne3d3KE1JPNYiFWm,spotify:track:3r7W1Kne3d3KE1JPNYiFWm,https://api.spotify.com/v1/tracks/3r7W1Kne3d3KE1JPNYiFWm,https://api.spotify.com/v1/audio-analysis/3r7W1Kne3d3KE1JPNYiFWm,211361.0,4.0
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,6049937,scandipop,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,audio_features,6f5ExP43esnvdKPddwKXJH,spotify:track:6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/tracks/6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/audio-analysis/6f5ExP43esnvdKPddwKXJH,160657.0,4.0
Dive Into You,Loving Caliber,4509160,scandipop,0.497,0.478,5.0,-7.801,1.0,0.0627,0.08,0.0,0.49,0.395,85.392,audio_features,6pUgQa7qFgVp3i6ddpWWo0,spotify:track:6pUgQa7qFgVp3i6ddpWWo0,https://api.spotify.com/v1/tracks/6pUgQa7qFgVp3i6ddpWWo0,https://api.spotify.com/v1/audio-analysis/6pUgQa7qFgVp3i6ddpWWo0,204224.0,4.0
Everlasting Ego,Lvly,2996922,scandipop,0.488,0.547,0.0,-8.111,0.0,0.112,0.0643,1.12e-05,0.109,0.186,95.115,audio_features,1laklHabNoZZWltFgQYzCh,spotify:track:1laklHabNoZZWltFgQYzCh,https://api.spotify.com/v1/tracks/1laklHabNoZZWltFgQYzCh,https://api.spotify.com/v1/audio-analysis/1laklHabNoZZWltFgQYzCh,212731.0,4.0
Feel So Good,Lvly,537889,scandipop,0.769,0.809,0.0,-5.015,1.0,0.106,0.0183,0.0,0.354,0.585,110.002,audio_features,4C5fSZKKkjqjfFfHkZIKSm,spotify:track:4C5fSZKKkjqjfFfHkZIKSm,https://api.spotify.com/v1/tracks/4C5fSZKKkjqjfFfHkZIKSm,https://api.spotify.com/v1/audio-analysis/4C5fSZKKkjqjfFfHkZIKSm,196160.0,4.0
Got Me Stone Cold,Tape Machines,158059,scandipop,0.617,0.689,0.0,-5.376,0.0,0.0459,0.0302,3.06e-06,0.138,0.394,119.986,audio_features,4EjbKh1XuAZpZ0u1ry0oyJ,spotify:track:4EjbKh1XuAZpZ0u1ry0oyJ,https://api.spotify.com/v1/tracks/4EjbKh1XuAZpZ0u1ry0oyJ,https://api.spotify.com/v1/audio-analysis/4EjbKh1XuAZpZ0u1ry0oyJ,198970.0,4.0
27,Loving Caliber,2858598,scandipop,0.612,0.362,0.0,-7.85,1.0,0.0307,0.686,0.0,0.111,0.459,140.043,audio_features,3r7W1Kne3d3KE1JPNYiFWm,spotify:track:3r7W1Kne3d3KE1JPNYiFWm,https://api.spotify.com/v1/tracks/3r7W1Kne3d3KE1JPNYiFWm,https://api.spotify.com/v1/audio-analysis/3r7W1Kne3d3KE1JPNYiFWm,211361.0,4.0
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,6049937,scandipop,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,audio_features,6f5ExP43esnvdKPddwKXJH,spotify:track:6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/tracks/6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/audio-analysis/6f5ExP43esnvdKPddwKXJH,160657.0,4.0
Dive Into You,Loving Caliber,4509160,scandipop,0.497,0.478,5.0,-7.801,1.0,0.0627,0.08,0.0,0.49,0.395,85.392,audio_features,6pUgQa7qFgVp3i6ddpWWo0,spotify:track:6pUgQa7qFgVp3i6ddpWWo0,https://api.spotify.com/v1/tracks/6pUgQa7qFgVp3i6ddpWWo0,https://api.spotify.com/v1/audio-analysis/6pUgQa7qFgVp3i6ddpWWo0,204224.0,4.0
Everlasting Ego,Lvly,2996922,scandipop,0.488,0.547,0.0,-8.111,0.0,0.112,0.0643,1.12e-05,0.109,0.186,95.115,audio_features,1laklHabNoZZWltFgQYzCh,spotify:track:1laklHabNoZZWltFgQYzCh,https://api.spotify.com/v1/tracks/1laklHabNoZZWltFgQYzCh,https://api.spotify.com/v1/audio-analysis/1laklHabNoZZWltFgQYzCh,212731.0,4.0
Feel So Good,Lvly,537889,scandipop,0.769,0.809,0.0,-5.015,1.0,0.106,0.0183,0.0,0.354,0.585,110.002,audio_features,4C5fSZKKkjqjfFfHkZIKSm,spotify:track:4C5fSZKKkjqjfFfHkZIKSm,https://api.spotify.com/v1/tracks/4C5fSZKKkjqjfFfHkZIKSm,https://api.spotify.com/v1/audio-analysis/4C5fSZKKkjqjfFfHkZIKSm,196160.0,4.0
Got Me Stone Cold,Tape Machines,158059,scandipop,0.617,0.689,0.0,-5.376,0.0,0.0459,0.0302,3.06e-06,0.138,0.394,119.986,audio_features,4EjbKh1XuAZpZ0u1ry0oyJ,spotify:track:4EjbKh1XuAZpZ0u1ry0oyJ,https://api.spotify.com/v1/tracks/4EjbKh1XuAZpZ0u1ry0oyJ,https://api.spotify.com/v1/audio-analysis/4EjbKh1XuAZpZ0u1ry0oyJ,198970.0,4.0
