trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Admiral Benbow,Michiel Schrey,112503,shanty,0.516,0.482,7.0,-6.04,1.0,0.0421,0.579,0.0,0.307,0.368,170.178,audio_features,03hLe0OA5UuP7VXr4VYURD,spotify:track:03hLe0OA5UuP7VXr4VYURD,https://api.spotify.com/v1/tracks/03hLe0OA5UuP7VXr4VYURD,https://api.spotify.com/v1/audio-analysis/03hLe0OA5UuP7VXr4VYURD,113973.0,4.0
All for Me Grog,Linda Morrison,125409,shanty,0.765,0.524,11.0,-5.821,0.0,0.101,0.755,0.0,0.239,0.551,114.697,audio_features,1FQzF95qaPr0sQXIsjxDQm,spotify:track:1FQzF95qaPr0sQXIsjxDQm,https://api.spotify.com/v1/tracks/1FQzF95qaPr0sQXIsjxDQm,https://api.spotify.com/v1/audio-analysis/1FQzF95qaPr0sQXIsjxDQm,126453.0,4.0
Buleria,Marco Marin,106098,shanty,0.583,0.747,4.0,-4.969,0.0,0.0562,0.617,0.00761,0.0675,0.912,128.54,audio_features,2UgqTByv6hSRET2n2XzwOF,spotify:track:2UgqTByv6hSRET2n2XzwOF,https://api.spotify.com/v1/tracks/2UgqTByv6hSRET2n2XzwOF,https://api.spotify.com/v1/audio-analysis/2UgqTByv6hSRET2n2XzwOF,126827.0,3.0
Dead Horse,Sean Dagher,65967,shanty,0.902,0.43,11.0,-7.239,1.0,0.0567,0.899,0.0,0.0964,0.83,94.043,audio_features,7MSpEzjmxk6cTyd2Wl06IM,spotify:track:7MSpEzjmxk6cTyd2Wl06IM,https://api.spotify.com/v1/tracks/7MSpEzjmxk6cTyd2Wl06IM,https://api.spotify.com/v1/audio-analysis/7MSpEzjmxk6cTyd2Wl06IM,67173.0,4.0
Drunken Sailor,Sean Dagher,202,shanty,0.689,0.283,5.0,-6.011,1.0,0.0387,0.941,0.0,0.116,0.97,160.241,audio_features,0mGVZddgCy1jYBnWvKCV8H,spotify:track:0mGVZddgCy1jYBnWvKCV8H,https://api.spotify.com/v1/tracks/0mGVZddgCy1jYBnWvKCV8H,https://api.spotify.com/v1/audio-analysis/0mGVZddgCy1jYBnWvKCV8H,89520.0,4.0
Fathom the Bowl,Linda Morrison,132237,shanty,0.556,0.426,4.0,-6.149,1.0,0.0405,0.695,0.0,0.349,0.327,158.849,audio_features,2j6nNkP8mfax6y2NQHnWc7,spotify:track:2j6nNkP8mfax6y2NQHnWc7,https://api.spotify.com/v1/tracks/2j6nNkP8mfax6y2NQHnWc7,https://api.spotify.com/v1/audio-analysis/2j6nNkP8mfax6y2NQHnWc7,133387.0,3.0
Fish in the Sea,Michiel Schrey,88241,shanty,0.841,0.508,6.0,-6.366,0.0,0.0592,0.908,0.0,0.399,0.935,101.854,audio_features,4gofFADVe6CBXoNQHuxwiF,spotify:track:4gofFADVe6CBXoNQHuxwiF,https://api.spotify.com/v1/tracks/4gofFADVe6CBXoNQHuxwiF,https://api.spotify.com/v1/audio-analysis/4gofFADVe6CBXoNQHuxwiF,89253.0,3.0
Good Morning Ladies,Sean Dagher,97168,shanty,0.847,0.347,4.0,-4.901,1.0,0.0715,0.904,0.0,0.331,0.644,71.869,audio_features,0OBdHjWWIKHNKV3IQzDEUB,spotify:track:0OBdHjWWIKHNKV3IQzDEUB,https://api.spotify.com/v1/tracks/0OBdHjWWIKHNKV3IQzDEUB,https://api.spotify.com/v1/audio-analysis/0OBdHjWWIKHNKV3IQzDEUB,98440.0,4.0
Leave Her Johnny,Sean Dagher,593067,shanty,0.712,0.27,7.0,-4.382,0.0,0.0541,0.935,0.0,0.0582,0.728,120.416,audio_features,2vaa0nnDnNTlxCh7fCmjsr,spotify:track:2vaa0nnDnNTlxCh7fCmjsr,https://api.spotify.com/v1/tracks/2vaa0nnDnNTlxCh7fCmjsr,https://api.spotify.com/v1/audio-analysis/2vaa0nnDnNTlxCh7fCmjsr,132293.0,4.0
Maid of Amsterdam,Nils Brown,62634,shanty,0.842,0.462,2.0,-5.958,1.0,0.119,0.97,0.0,0.151,0.717,98.386,audio_features,3cd7jd2Bby322dCQmG0NZv,spotify:track:3cd7jd2Bby322dCQmG0NZv,https://api.spotify.com/v1/tracks/3cd7jd2Bby322dCQmG0NZv,https://api.spotify.com/v1/audio-analysis/3cd7jd2Bby322dCQmG0NZv,101307.0,4.0
