trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
12 Hours,Chris James,2531305,singer-songwriter pop,0.83,0.414,3.0,-7.387,1.0,0.148,0.497,0.0,0.187,0.797,87.99,audio_features,4SCCczAQXPOkM26I2gWhjt,spotify:track:4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/tracks/4SCCczAQXPOkM26I2gWhjt,https://api.spotify.com/v1/audio-analysis/4SCCczAQXPOkM26I2gWhjt,133125.0,4.0
12:45 - Stripped,Etham,795611,singer-songwriter pop,0.459,0.214,5.0,-10.66,1.0,0.0403,0.634,0.0,0.125,0.397,163.816,audio_features,4edtsBlaX23OPYmhA4R0GP,spotify:track:4edtsBlaX23OPYmhA4R0GP,https://api.spotify.com/v1/tracks/4edtsBlaX23OPYmhA4R0GP,https://api.spotify.com/v1/audio-analysis/4edtsBlaX23OPYmhA4R0GP,179013.0,4.0
24 Hours,Alexander Stewart,1819808,singer-songwriter pop,0.512,0.748,10.0,-7.338,1.0,0.0376,0.0908,0.0,0.204,0.338,143.999,audio_features,1ZGxwxXbpeydURjPS9mrmL,spotify:track:1ZGxwxXbpeydURjPS9mrmL,https://api.spotify.com/v1/tracks/1ZGxwxXbpeydURjPS9mrmL,https://api.spotify.com/v1/audio-analysis/1ZGxwxXbpeydURjPS9mrmL,198333.0,4.0
29,Chris James,138281,singer-songwriter pop,0.777,0.597,4.0,-5.125,1.0,0.0496,0.51,0.0,0.107,0.9,133.854,audio_features,0ahoVVrk5FRFzVF8Fp7Pzp,spotify:track:0ahoVVrk5FRFzVF8Fp7Pzp,https://api.spotify.com/v1/tracks/0ahoVVrk5FRFzVF8Fp7Pzp,https://api.spotify.com/v1/audio-analysis/0ahoVVrk5FRFzVF8Fp7Pzp,138281.0,4.0
6AM,Fly By Midnight,189783,singer-songwriter pop,0.637,0.885,5.0,-4.522,1.0,0.0274,0.0318,0.0,0.107,0.613,127.027,audio_features,5zYqSr9RtfujCy72aCGYEC,spotify:track:5zYqSr9RtfujCy72aCGYEC,https://api.spotify.com/v1/tracks/5zYqSr9RtfujCy72aCGYEC,https://api.spotify.com/v1/audio-analysis/5zYqSr9RtfujCy72aCGYEC,190912.0,4.0
ALLERGIC,clide,155200,singer-songwriter pop,0.609,0.428,11.0,-7.796,1.0,0.0244,0.538,0.0,0.064,0.627,96.071,audio_features,6DP8InyxdyYChHb2tcV6ia,spotify:track:6DP8InyxdyYChHb2tcV6ia,https://api.spotify.com/v1/tracks/6DP8InyxdyYChHb2tcV6ia,https://api.spotify.com/v1/audio-analysis/6DP8InyxdyYChHb2tcV6ia,155200.0,4.0
Again & Again,Fly By Midnight,3216667,singer-songwriter pop,0.728,0.694,1.0,-5.634,1.0,0.0645,0.188,0.000876,0.149,0.574,101.985,audio_features,70fZer3o9XX9FEusMdyjY3,spotify:track:70fZer3o9XX9FEusMdyjY3,https://api.spotify.com/v1/tracks/70fZer3o9XX9FEusMdyjY3,https://api.spotify.com/v1/audio-analysis/70fZer3o9XX9FEusMdyjY3,169412.0,4.0
Automatic (feat. Jake Miller),Fly By Midnight,353426,singer-songwriter pop,0.6,0.529,8.0,-6.184,1.0,0.0277,0.239,2.35e-05,0.099,0.371,134.966,audio_features,6aZ8xwHXBLY8Cph8GWdtWr,spotify:track:6aZ8xwHXBLY8Cph8GWdtWr,https://api.spotify.com/v1/tracks/6aZ8xwHXBLY8Cph8GWdtWr,https://api.spotify.com/v1/audio-analysis/6aZ8xwHXBLY8Cph8GWdtWr,157472.0,4.0
Backwards,Alexander Stewart,5617313,singer-songwriter pop,0.508,0.661,1.0,-3.166,0.0,0.128,0.0111,0.0,0.315,0.699,79.603,audio_features,0DsIoA5io9H9ViOl2YNLcR,spotify:track:0DsIoA5io9H9ViOl2YNLcR,https://api.spotify.com/v1/tracks/0DsIoA5io9H9ViOl2YNLcR,https://api.spotify.com/v1/audio-analysis/0DsIoA5io9H9ViOl2YNLcR,172500.0,4.0
Best Damn Thing,Alexander Stewart,230569,singer-songwriter pop,0.552,0.815,1.0,-2.61,1.0,0.0428,0.119,0.0,0.235,0.814,93.895,audio_features,6i71yrjuQ9f1zUSVfEChem,spotify:track:6i71yrjuQ9f1zUSVfEChem,https://api.spotify.com/v1/tracks/6i71yrjuQ9f1zUSVfEChem,https://api.spotify.com/v1/audio-analysis/6i71yrjuQ9f1zUSVfEChem,232340.0,4.0
