trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5am in cairo,"oh, the joy.",531864,sleep,0.751,0.193,3.0,-15.902,1.0,0.0449,0.936,0.94,0.11,0.219,113.987,audio_features,1HO5CGNK9d9zGUXpDAxigN,spotify:track:1HO5CGNK9d9zGUXpDAxigN,https://api.spotify.com/v1/tracks/1HO5CGNK9d9zGUXpDAxigN,https://api.spotify.com/v1/audio-analysis/1HO5CGNK9d9zGUXpDAxigN,177288.0,4.0
Beautiful Imagination,Little Circuits,143000,sleep,0.102,0.0333,3.0,-34.177,1.0,0.0476,0.797,0.927,0.111,0.0591,89.605,audio_features,5LEHlRPjGcZ5RdagAwXpHS,spotify:track:5LEHlRPjGcZ5RdagAwXpHS,https://api.spotify.com/v1/tracks/5LEHlRPjGcZ5RdagAwXpHS,https://api.spotify.com/v1/audio-analysis/5LEHlRPjGcZ5RdagAwXpHS,143053.0,4.0
Eudaimonia,Gaea Antoniou,177000,sleep,0.0802,0.00761,2.0,-32.863,1.0,0.0497,0.975,0.9,0.112,0.0623,172.676,audio_features,6KU6lJNEwpHSB8EdI6klNN,spotify:track:6KU6lJNEwpHSB8EdI6klNN,https://api.spotify.com/v1/tracks/6KU6lJNEwpHSB8EdI6klNN,https://api.spotify.com/v1/audio-analysis/6KU6lJNEwpHSB8EdI6klNN,177000.0,4.0
Herinneringen,Sohn Aelia,17281,sleep,0.0685,0.00342,0.0,-37.156,1.0,0.0418,0.99,0.91,0.106,0.0581,73.644,audio_features,0CMYUXTTTmI6Lwc0opH2XG,spotify:track:0CMYUXTTTmI6Lwc0opH2XG,https://api.spotify.com/v1/tracks/0CMYUXTTTmI6Lwc0opH2XG,https://api.spotify.com/v1/audio-analysis/0CMYUXTTTmI6Lwc0opH2XG,172357.0,1.0
Ons,Huma,1888071,sleep,0.111,0.0185,0.0,-32.335,1.0,0.0424,0.957,0.94,0.087,0.0459,76.153,audio_features,07UDTaRYJAsIhUZTyZSUzM,spotify:track:07UDTaRYJAsIhUZTyZSUzM,https://api.spotify.com/v1/tracks/07UDTaRYJAsIhUZTyZSUzM,https://api.spotify.com/v1/audio-analysis/07UDTaRYJAsIhUZTyZSUzM,193240.0,3.0
5am in cairo,"oh, the joy.",531864,sleep,0.751,0.193,3.0,-15.902,1.0,0.0449,0.936,0.94,0.11,0.219,113.987,audio_features,1HO5CGNK9d9zGUXpDAxigN,spotify:track:1HO5CGNK9d9zGUXpDAxigN,https://api.spotify.com/v1/tracks/1HO5CGNK9d9zGUXpDAxigN,https://api.spotify.com/v1/audio-analysis/1HO5CGNK9d9zGUXpDAxigN,177288.0,4.0
Beautiful Imagination,Little Circuits,143000,sleep,0.102,0.0333,3.0,-34.177,1.0,0.0476,0.797,0.927,0.111,0.0591,89.605,audio_features,5LEHlRPjGcZ5RdagAwXpHS,spotify:track:5LEHlRPjGcZ5RdagAwXpHS,https://api.spotify.com/v1/tracks/5LEHlRPjGcZ5RdagAwXpHS,https://api.spotify.com/v1/audio-analysis/5LEHlRPjGcZ5RdagAwXpHS,143053.0,4.0
Eudaimonia,Gaea Antoniou,177000,sleep,0.0802,0.00761,2.0,-32.863,1.0,0.0497,0.975,0.9,0.112,0.0623,172.676,audio_features,6KU6lJNEwpHSB8EdI6klNN,spotify:track:6KU6lJNEwpHSB8EdI6klNN,https://api.spotify.com/v1/tracks/6KU6lJNEwpHSB8EdI6klNN,https://api.spotify.com/v1/audio-analysis/6KU6lJNEwpHSB8EdI6klNN,177000.0,4.0
Herinneringen,Sohn Aelia,17281,sleep,0.0685,0.00342,0.0,-37.156,1.0,0.0418,0.99,0.91,0.106,0.0581,73.644,audio_features,0CMYUXTTTmI6Lwc0opH2XG,spotify:track:0CMYUXTTTmI6Lwc0opH2XG,https://api.spotify.com/v1/tracks/0CMYUXTTTmI6Lwc0opH2XG,https://api.spotify.com/v1/audio-analysis/0CMYUXTTTmI6Lwc0opH2XG,172357.0,1.0
Ons,Huma,1888071,sleep,0.111,0.0185,0.0,-32.335,1.0,0.0424,0.957,0.94,0.087,0.0459,76.153,audio_features,07UDTaRYJAsIhUZTyZSUzM,spotify:track:07UDTaRYJAsIhUZTyZSUzM,https://api.spotify.com/v1/tracks/07UDTaRYJAsIhUZTyZSUzM,https://api.spotify.com/v1/audio-analysis/07UDTaRYJAsIhUZTyZSUzM,193240.0,3.0
