trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Alone in My Car,NIKI DEMAR,89717,social media pop,0.625,0.574,0.0,-7.343,1.0,0.0356,0.185,0.00405,0.159,0.305,92.089,audio_features,6zDdR5SUiRPmAhQIxnsbQU,spotify:track:6zDdR5SUiRPmAhQIxnsbQU,https://api.spotify.com/v1/tracks/6zDdR5SUiRPmAhQIxnsbQU,https://api.spotify.com/v1/audio-analysis/6zDdR5SUiRPmAhQIxnsbQU,193173.0,4.0
die first - sped up version,Nessa Barrett,144875,social media pop,0.604,0.671,4.0,-6.319,0.0,0.0617,0.117,0.0,0.483,0.38,110.343,audio_features,3lEqXRwPi98ZvKm5bsZTGi,spotify:track:3lEqXRwPi98ZvKm5bsZTGi,https://api.spotify.com/v1/tracks/3lEqXRwPi98ZvKm5bsZTGi,https://api.spotify.com/v1/audio-analysis/3lEqXRwPi98ZvKm5bsZTGi,144875.0,4.0
i hope ur miserable until ur dead,Nessa Barrett,1177161,social media pop,0.706,0.544,2.0,-7.275,1.0,0.0306,0.0273,0.0,0.087,0.477,115.935,audio_features,4ka1FkKAMde6dQAFFMXKac,spotify:track:4ka1FkKAMde6dQAFFMXKac,https://api.spotify.com/v1/tracks/4ka1FkKAMde6dQAFFMXKac,https://api.spotify.com/v1/audio-analysis/4ka1FkKAMde6dQAFFMXKac,177583.0,4.0
keep me afraid,Nessa Barrett,1158375,social media pop,0.474,0.68,7.0,-6.354,0.0,0.0733,0.0811,0.0,0.171,0.272,171.997,audio_features,1M3DeTf5xVoEPNL8FF5vsi,spotify:track:1M3DeTf5xVoEPNL8FF5vsi,https://api.spotify.com/v1/tracks/1M3DeTf5xVoEPNL8FF5vsi,https://api.spotify.com/v1/audio-analysis/1M3DeTf5xVoEPNL8FF5vsi,164994.0,4.0
la di die (feat. jxdn),Nessa Barrett,2422748,social media pop,0.484,0.643,1.0,-4.72,1.0,0.0416,0.0036,0.0,0.243,0.345,163.97,audio_features,3RLshk3cDQOqWhSIRCVaXL,spotify:track:3RLshk3cDQOqWhSIRCVaXL,https://api.spotify.com/v1/tracks/3RLshk3cDQOqWhSIRCVaXL,https://api.spotify.com/v1/audio-analysis/3RLshk3cDQOqWhSIRCVaXL,195191.0,4.0
Blur,Stellar,2883061,social media pop,0.834,0.6,5.0,-5.433,1.0,0.0313,0.245,0.0,0.0694,0.694,125.954,audio_features,16Azhyv8164hYxI8Ax3F5k,spotify:track:16Azhyv8164hYxI8Ax3F5k,https://api.spotify.com/v1/tracks/16Azhyv8164hYxI8Ax3F5k,https://api.spotify.com/v1/audio-analysis/16Azhyv8164hYxI8Ax3F5k,131429.0,4.0
Help Me Help You (feat. Why Don't We),Logan Paul,141895,social media pop,0.811,0.641,1.0,-4.167,0.0,0.256,0.205,0.0,0.547,0.781,134.971,audio_features,51w95jAPQDOWN3M7xopWWh,spotify:track:51w95jAPQDOWN3M7xopWWh,https://api.spotify.com/v1/tracks/51w95jAPQDOWN3M7xopWWh,https://api.spotify.com/v1/audio-analysis/51w95jAPQDOWN3M7xopWWh,152822.0,4.0
Help Me Help You (feat. Why Don't We) (GARABATTO Remix),Logan Paul,303807,social media pop,0.743,0.631,9.0,-3.519,1.0,0.103,0.133,0.0,0.0639,0.714,139.926,audio_features,4Cpa6lUScJygMT8f6VERZ2,spotify:track:4Cpa6lUScJygMT8f6VERZ2,https://api.spotify.com/v1/tracks/4Cpa6lUScJygMT8f6VERZ2,https://api.spotify.com/v1/audio-analysis/4Cpa6lUScJygMT8f6VERZ2,199286.0,4.0
Alone in My Car,NIKI DEMAR,89717,social media pop,0.625,0.574,0.0,-7.343,1.0,0.0356,0.185,0.00405,0.159,0.305,92.089,audio_features,6zDdR5SUiRPmAhQIxnsbQU,spotify:track:6zDdR5SUiRPmAhQIxnsbQU,https://api.spotify.com/v1/tracks/6zDdR5SUiRPmAhQIxnsbQU,https://api.spotify.com/v1/audio-analysis/6zDdR5SUiRPmAhQIxnsbQU,193173.0,4.0
die first - sped up version,Nessa Barrett,144875,social media pop,0.604,0.671,4.0,-6.319,0.0,0.0617,0.117,0.0,0.483,0.38,110.343,audio_features,3lEqXRwPi98ZvKm5bsZTGi,spotify:track:3lEqXRwPi98ZvKm5bsZTGi,https://api.spotify.com/v1/tracks/3lEqXRwPi98ZvKm5bsZTGi,https://api.spotify.com/v1/audio-analysis/3lEqXRwPi98ZvKm5bsZTGi,144875.0,4.0
