trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
moment,Vierre Cloud,129543,sped up,0.544,0.855,6.0,-7.461,1.0,0.093,0.0426,0.157,0.167,0.517,171.349,audio_features,5K9tfeoiztw94dyWzF39jq,spotify:track:5K9tfeoiztw94dyWzF39jq,https://api.spotify.com/v1/tracks/5K9tfeoiztw94dyWzF39jq,https://api.spotify.com/v1/audio-analysis/5K9tfeoiztw94dyWzF39jq,129543.0,4.0
prolly my spookiest beat (sped up),prodby668,120244,sped up,0.639,0.52,5.0,-10.77,1.0,0.0934,0.0506,0.897,0.0995,0.833,159.984,audio_features,3TK0rB4H4oKHjf1l3Dteop,spotify:track:3TK0rB4H4oKHjf1l3Dteop,https://api.spotify.com/v1/tracks/3TK0rB4H4oKHjf1l3Dteop,https://api.spotify.com/v1/audio-analysis/3TK0rB4H4oKHjf1l3Dteop,120245.0,4.0
Dinero,Trinidad Cardona,160880,sped up,0.708,0.782,2.0,-4.687,1.0,0.0674,0.00772,0.0,0.107,0.484,119.997,audio_features,3ggtU1ZOKO8ZNiqPNyXGcm,spotify:track:3ggtU1ZOKO8ZNiqPNyXGcm,https://api.spotify.com/v1/tracks/3ggtU1ZOKO8ZNiqPNyXGcm,https://api.spotify.com/v1/audio-analysis/3ggtU1ZOKO8ZNiqPNyXGcm,160880.0,4.0
Dude She's Just Not into You,MADAX,16219,sped up,0.557,0.675,0.0,-7.746,1.0,0.0339,0.258,0.0227,0.671,0.843,120.01,audio_features,2aWCTCjELkYz6r8cSDYBRD,spotify:track:2aWCTCjELkYz6r8cSDYBRD,https://api.spotify.com/v1/tracks/2aWCTCjELkYz6r8cSDYBRD,https://api.spotify.com/v1/audio-analysis/2aWCTCjELkYz6r8cSDYBRD,64750.0,4.0
I Wanna Ride I Wanna Ride (Sped Up): Vegas,Hiko,165600,sped up,0.567,0.43,7.0,-13.159,1.0,0.108,0.00646,0.213,0.0875,0.404,133.065,audio_features,4StJ0qBDOUtbLGLcFXJCcS,spotify:track:4StJ0qBDOUtbLGLcFXJCcS,https://api.spotify.com/v1/tracks/4StJ0qBDOUtbLGLcFXJCcS,https://api.spotify.com/v1/audio-analysis/4StJ0qBDOUtbLGLcFXJCcS,165600.0,5.0
No Wind Resistance SPED UP!,Kinneret,8970,sped up,0.728,0.559,4.0,-11.18,0.0,0.046,0.246,0.298,0.293,0.489,110.423,audio_features,4UsLaffcP013Gy8SSSTAsq,spotify:track:4UsLaffcP013Gy8SSSTAsq,https://api.spotify.com/v1/tracks/4UsLaffcP013Gy8SSSTAsq,https://api.spotify.com/v1/audio-analysis/4UsLaffcP013Gy8SSSTAsq,165333.0,5.0
Under the Influence (Sped Up) - Your Body Language Speaks to Me,Hiko,154864,sped up,0.716,0.665,5.0,-5.874,1.0,0.0313,0.251,0.000186,0.254,0.5,87.557,audio_features,3qG3S4Ptt7EFCtKi5ZroG2,spotify:track:3qG3S4Ptt7EFCtKi5ZroG2,https://api.spotify.com/v1/tracks/3qG3S4Ptt7EFCtKi5ZroG2,https://api.spotify.com/v1/audio-analysis/3qG3S4Ptt7EFCtKi5ZroG2,123815.0,4.0
Until I Found You (Sped Up) - Heaven When I Held You Again How Could We Ever Just Be Friends,Hiko,4180,sped up,0.464,0.596,3.0,-6.721,1.0,0.0302,0.599,0.00196,0.248,0.464,139.861,audio_features,2w5aTimRJjWefNoXaoCpd4,spotify:track:2w5aTimRJjWefNoXaoCpd4,https://api.spotify.com/v1/tracks/2w5aTimRJjWefNoXaoCpd4,https://api.spotify.com/v1/audio-analysis/2w5aTimRJjWefNoXaoCpd4,123429.0,3.0
moment,Vierre Cloud,129543,sped up,0.544,0.855,6.0,-7.461,1.0,0.093,0.0426,0.157,0.167,0.517,171.349,audio_features,5K9tfeoiztw94dyWzF39jq,spotify:track:5K9tfeoiztw94dyWzF39jq,https://api.spotify.com/v1/tracks/5K9tfeoiztw94dyWzF39jq,https://api.spotify.com/v1/audio-analysis/5K9tfeoiztw94dyWzF39jq,129543.0,4.0
prolly my spookiest beat (sped up),prodby668,120244,sped up,0.639,0.52,5.0,-10.77,1.0,0.0934,0.0506,0.897,0.0995,0.833,159.984,audio_features,3TK0rB4H4oKHjf1l3Dteop,spotify:track:3TK0rB4H4oKHjf1l3Dteop,https://api.spotify.com/v1/tracks/3TK0rB4H4oKHjf1l3Dteop,https://api.spotify.com/v1/audio-analysis/3TK0rB4H4oKHjf1l3Dteop,120245.0,4.0
Dinero,Trinidad Cardona,160880,sped up,0.708,0.782,2.0,-4.687,1.0,0.0674,0.00772,0.0,0.107,0.484,119.997,audio_features,3ggtU1ZOKO8ZNiqPNyXGcm,spotify:track:3ggtU1ZOKO8ZNiqPNyXGcm,https://api.spotify.com/v1/tracks/3ggtU1ZOKO8ZNiqPNyXGcm,https://api.spotify.com/v1/audio-analysis/3ggtU1ZOKO8ZNiqPNyXGcm,160880.0,4.0
Dude She's Just Not into You,MADAX,16219,sped up,0.557,0.675,0.0,-7.746,1.0,0.0339,0.258,0.0227,0.671,0.843,120.01,audio_features,2aWCTCjELkYz6r8cSDYBRD,spotify:track:2aWCTCjELkYz6r8cSDYBRD,https://api.spotify.com/v1/tracks/2aWCTCjELkYz6r8cSDYBRD,https://api.spotify.com/v1/audio-analysis/2aWCTCjELkYz6r8cSDYBRD,64750.0,4.0
I Wanna Ride I Wanna Ride (Sped Up): Vegas,Hiko,165600,sped up,0.567,0.43,7.0,-13.159,1.0,0.108,0.00646,0.213,0.0875,0.404,133.065,audio_features,4StJ0qBDOUtbLGLcFXJCcS,spotify:track:4StJ0qBDOUtbLGLcFXJCcS,https://api.spotify.com/v1/tracks/4StJ0qBDOUtbLGLcFXJCcS,https://api.spotify.com/v1/audio-analysis/4StJ0qBDOUtbLGLcFXJCcS,165600.0,5.0
No Wind Resistance SPED UP!,Kinneret,8970,sped up,0.728,0.559,4.0,-11.18,0.0,0.046,0.246,0.298,0.293,0.489,110.423,audio_features,4UsLaffcP013Gy8SSSTAsq,spotify:track:4UsLaffcP013Gy8SSSTAsq,https://api.spotify.com/v1/tracks/4UsLaffcP013Gy8SSSTAsq,https://api.spotify.com/v1/audio-analysis/4UsLaffcP013Gy8SSSTAsq,165333.0,5.0
Under the Influence (Sped Up) - Your Body Language Speaks to Me,Hiko,154864,sped up,0.716,0.665,5.0,-5.874,1.0,0.0313,0.251,0.000186,0.254,0.5,87.557,audio_features,3qG3S4Ptt7EFCtKi5ZroG2,spotify:track:3qG3S4Ptt7EFCtKi5ZroG2,https://api.spotify.com/v1/tracks/3qG3S4Ptt7EFCtKi5ZroG2,https://api.spotify.com/v1/audio-analysis/3qG3S4Ptt7EFCtKi5ZroG2,123815.0,4.0
Until I Found You (Sped Up) - Heaven When I Held You Again How Could We Ever Just Be Friends,Hiko,4180,sped up,0.464,0.596,3.0,-6.721,1.0,0.0302,0.599,0.00196,0.248,0.464,139.861,audio_features,2w5aTimRJjWefNoXaoCpd4,spotify:track:2w5aTimRJjWefNoXaoCpd4,https://api.spotify.com/v1/tracks/2w5aTimRJjWefNoXaoCpd4,https://api.spotify.com/v1/audio-analysis/2w5aTimRJjWefNoXaoCpd4,123429.0,3.0
