trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Highscore,Panda Eyes,259605,speedrun,0.604,0.854,10.0,-4.797,0.0,0.0422,0.00219,0.859,0.0631,0.275,109.981,audio_features,7FADpmBJVWay6aHy8q34oa,spotify:track:7FADpmBJVWay6aHy8q34oa,https://api.spotify.com/v1/tracks/7FADpmBJVWay6aHy8q34oa,https://api.spotify.com/v1/audio-analysis/7FADpmBJVWay6aHy8q34oa,259968.0,4.0
RISE,League of Legends,87984,speedrun,0.459,0.663,8.0,-5.939,0.0,0.1,0.0169,0.0,0.0621,0.412,176.791,audio_features,69Sy7207dnixZ6w7RSV9Kb,spotify:track:69Sy7207dnixZ6w7RSV9Kb,https://api.spotify.com/v1/tracks/69Sy7207dnixZ6w7RSV9Kb,https://api.spotify.com/v1/audio-analysis/69Sy7207dnixZ6w7RSV9Kb,192881.0,4.0
Rise Up,TheFatRat,1818656,speedrun,0.614,0.694,10.0,-5.713,0.0,0.0932,0.254,2.63e-06,0.0733,0.578,163.942,audio_features,6inzGTxyGsXVjpVKtFGrcE,spotify:track:6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/tracks/6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/audio-analysis/6inzGTxyGsXVjpVKtFGrcE,169756.0,4.0
Stronger,TheFatRat,967721,speedrun,0.673,0.916,6.0,-3.814,0.0,0.0344,0.0658,0.0587,0.0769,0.513,160.025,audio_features,0iTI5FTB9iEUtcMdx9YyZS,spotify:track:0iTI5FTB9iEUtcMdx9YyZS,https://api.spotify.com/v1/tracks/0iTI5FTB9iEUtcMdx9YyZS,https://api.spotify.com/v1/audio-analysis/0iTI5FTB9iEUtcMdx9YyZS,205500.0,3.0
Warriors,League of Legends,204586,speedrun,0.14,0.478,1.0,-10.145,0.0,0.0484,0.1,0.000112,0.105,0.0412,185.121,audio_features,3f4fc8c8unrQeKecmUPEDR,spotify:track:3f4fc8c8unrQeKecmUPEDR,https://api.spotify.com/v1/tracks/3f4fc8c8unrQeKecmUPEDR,https://api.spotify.com/v1/audio-analysis/3f4fc8c8unrQeKecmUPEDR,204587.0,3.0
Highscore,Panda Eyes,259605,speedrun,0.604,0.854,10.0,-4.797,0.0,0.0422,0.00219,0.859,0.0631,0.275,109.981,audio_features,7FADpmBJVWay6aHy8q34oa,spotify:track:7FADpmBJVWay6aHy8q34oa,https://api.spotify.com/v1/tracks/7FADpmBJVWay6aHy8q34oa,https://api.spotify.com/v1/audio-analysis/7FADpmBJVWay6aHy8q34oa,259968.0,4.0
RISE,League of Legends,87984,speedrun,0.459,0.663,8.0,-5.939,0.0,0.1,0.0169,0.0,0.0621,0.412,176.791,audio_features,69Sy7207dnixZ6w7RSV9Kb,spotify:track:69Sy7207dnixZ6w7RSV9Kb,https://api.spotify.com/v1/tracks/69Sy7207dnixZ6w7RSV9Kb,https://api.spotify.com/v1/audio-analysis/69Sy7207dnixZ6w7RSV9Kb,192881.0,4.0
Rise Up,TheFatRat,1818656,speedrun,0.614,0.694,10.0,-5.713,0.0,0.0932,0.254,2.63e-06,0.0733,0.578,163.942,audio_features,6inzGTxyGsXVjpVKtFGrcE,spotify:track:6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/tracks/6inzGTxyGsXVjpVKtFGrcE,https://api.spotify.com/v1/audio-analysis/6inzGTxyGsXVjpVKtFGrcE,169756.0,4.0
Stronger,TheFatRat,967721,speedrun,0.673,0.916,6.0,-3.814,0.0,0.0344,0.0658,0.0587,0.0769,0.513,160.025,audio_features,0iTI5FTB9iEUtcMdx9YyZS,spotify:track:0iTI5FTB9iEUtcMdx9YyZS,https://api.spotify.com/v1/tracks/0iTI5FTB9iEUtcMdx9YyZS,https://api.spotify.com/v1/audio-analysis/0iTI5FTB9iEUtcMdx9YyZS,205500.0,3.0
Warriors,League of Legends,204586,speedrun,0.14,0.478,1.0,-10.145,0.0,0.0484,0.1,0.000112,0.105,0.0412,185.121,audio_features,3f4fc8c8unrQeKecmUPEDR,spotify:track:3f4fc8c8unrQeKecmUPEDR,https://api.spotify.com/v1/tracks/3f4fc8c8unrQeKecmUPEDR,https://api.spotify.com/v1/audio-analysis/3f4fc8c8unrQeKecmUPEDR,204587.0,3.0
