trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BRAND NEW WORLD - EUROBEAT VERSION,Ace,4278,super eurobeat,0.45,0.996,4.0,-4.798,1.0,0.129,2.16e-05,0.0521,0.0772,0.51,76.521,audio_features,0FvJ787Vtnbo8QJseYQYwo,spotify:track:0FvJ787Vtnbo8QJseYQYwo,https://api.spotify.com/v1/tracks/0FvJ787Vtnbo8QJseYQYwo,https://api.spotify.com/v1/audio-analysis/0FvJ787Vtnbo8QJseYQYwo,234608.0,4.0
Crazy Little Love,Nuage,268742,super eurobeat,0.407,0.993,0.0,-6.603,1.0,0.0485,0.000162,0.61,0.358,0.789,153.059,audio_features,3tm2kqLTDxG4V7aJ90bxc6,spotify:track:3tm2kqLTDxG4V7aJ90bxc6,https://api.spotify.com/v1/tracks/3tm2kqLTDxG4V7aJ90bxc6,https://api.spotify.com/v1/audio-analysis/3tm2kqLTDxG4V7aJ90bxc6,268747.0,4.0
DEJA VU,dave rodgers,1922355,super eurobeat,0.558,0.991,5.0,-3.106,0.0,0.0604,0.0214,0.0,0.106,0.775,154.004,audio_features,6CRtIYDga4VKW5sV5rfAL3,spotify:track:6CRtIYDga4VKW5sV5rfAL3,https://api.spotify.com/v1/tracks/6CRtIYDga4VKW5sV5rfAL3,https://api.spotify.com/v1/audio-analysis/6CRtIYDga4VKW5sV5rfAL3,260555.0,4.0
LUCKY MAN,dave rodgers,4400,super eurobeat,0.48,0.972,9.0,-3.985,0.0,0.0631,0.00757,0.00713,0.1,0.65,150.075,audio_features,3gDEnyulWXK4rdPhJQkhJL,spotify:track:3gDEnyulWXK4rdPhJQkhJL,https://api.spotify.com/v1/tracks/3gDEnyulWXK4rdPhJQkhJL,https://api.spotify.com/v1/audio-analysis/3gDEnyulWXK4rdPhJQkhJL,267362.0,4.0
SPACE BOY - EXTENDED ver.,dave rodgers,310380,super eurobeat,0.471,0.951,5.0,-6.831,0.0,0.0364,0.000888,2.48e-05,0.157,0.749,155.08,audio_features,78pXBnTDbPf1Hy59tT798b,spotify:track:78pXBnTDbPf1Hy59tT798b,https://api.spotify.com/v1/tracks/78pXBnTDbPf1Hy59tT798b,https://api.spotify.com/v1/audio-analysis/78pXBnTDbPf1Hy59tT798b,301841.0,4.0
BRAND NEW WORLD - EUROBEAT VERSION,Ace,4278,super eurobeat,0.45,0.996,4.0,-4.798,1.0,0.129,2.16e-05,0.0521,0.0772,0.51,76.521,audio_features,0FvJ787Vtnbo8QJseYQYwo,spotify:track:0FvJ787Vtnbo8QJseYQYwo,https://api.spotify.com/v1/tracks/0FvJ787Vtnbo8QJseYQYwo,https://api.spotify.com/v1/audio-analysis/0FvJ787Vtnbo8QJseYQYwo,234608.0,4.0
Crazy Little Love,Nuage,268742,super eurobeat,0.407,0.993,0.0,-6.603,1.0,0.0485,0.000162,0.61,0.358,0.789,153.059,audio_features,3tm2kqLTDxG4V7aJ90bxc6,spotify:track:3tm2kqLTDxG4V7aJ90bxc6,https://api.spotify.com/v1/tracks/3tm2kqLTDxG4V7aJ90bxc6,https://api.spotify.com/v1/audio-analysis/3tm2kqLTDxG4V7aJ90bxc6,268747.0,4.0
DEJA VU,dave rodgers,1922355,super eurobeat,0.558,0.991,5.0,-3.106,0.0,0.0604,0.0214,0.0,0.106,0.775,154.004,audio_features,6CRtIYDga4VKW5sV5rfAL3,spotify:track:6CRtIYDga4VKW5sV5rfAL3,https://api.spotify.com/v1/tracks/6CRtIYDga4VKW5sV5rfAL3,https://api.spotify.com/v1/audio-analysis/6CRtIYDga4VKW5sV5rfAL3,260555.0,4.0
LUCKY MAN,dave rodgers,4400,super eurobeat,0.48,0.972,9.0,-3.985,0.0,0.0631,0.00757,0.00713,0.1,0.65,150.075,audio_features,3gDEnyulWXK4rdPhJQkhJL,spotify:track:3gDEnyulWXK4rdPhJQkhJL,https://api.spotify.com/v1/tracks/3gDEnyulWXK4rdPhJQkhJL,https://api.spotify.com/v1/audio-analysis/3gDEnyulWXK4rdPhJQkhJL,267362.0,4.0
SPACE BOY - EXTENDED ver.,dave rodgers,310380,super eurobeat,0.471,0.951,5.0,-6.831,0.0,0.0364,0.000888,2.48e-05,0.157,0.749,155.08,audio_features,78pXBnTDbPf1Hy59tT798b,spotify:track:78pXBnTDbPf1Hy59tT798b,https://api.spotify.com/v1/tracks/78pXBnTDbPf1Hy59tT798b,https://api.spotify.com/v1/audio-analysis/78pXBnTDbPf1Hy59tT798b,301841.0,4.0
