trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Control,Winona Oak,999292,swedish pop,0.683,0.631,4.0,-9.351,0.0,0.104,0.297,0.0235,0.182,0.279,107.814,audio_features,3Pcq7FMZ58Scka7U3BSnba,spotify:track:3Pcq7FMZ58Scka7U3BSnba,https://api.spotify.com/v1/tracks/3Pcq7FMZ58Scka7U3BSnba,https://api.spotify.com/v1/audio-analysis/3Pcq7FMZ58Scka7U3BSnba,182852.0,4.0
Island of the Sun,Winona Oak,4880426,swedish pop,0.639,0.671,3.0,-4.794,0.0,0.0312,0.39,1.73e-06,0.092,0.586,91.997,audio_features,2FaYRiif99tv9t15nWLK4u,spotify:track:2FaYRiif99tv9t15nWLK4u,https://api.spotify.com/v1/tracks/2FaYRiif99tv9t15nWLK4u,https://api.spotify.com/v1/audio-analysis/2FaYRiif99tv9t15nWLK4u,176471.0,4.0
Llama In My Living Room,AronChupa,1703390,swedish pop,0.773,0.654,5.0,-7.796,0.0,0.284,0.53,0.0,0.109,0.607,128.989,audio_features,5OYUtKjALXnNjXRwTVStCK,spotify:track:5OYUtKjALXnNjXRwTVStCK,https://api.spotify.com/v1/tracks/5OYUtKjALXnNjXRwTVStCK,https://api.spotify.com/v1/audio-analysis/5OYUtKjALXnNjXRwTVStCK,181885.0,4.0
Old Insecurities,Winona Oak,1635301,swedish pop,0.384,0.513,11.0,-8.664,0.0,0.0567,0.725,2.92e-05,0.131,0.265,104.878,audio_features,3JRCle6ESV3KCRNaD7ajDu,spotify:track:3JRCle6ESV3KCRNaD7ajDu,https://api.spotify.com/v1/tracks/3JRCle6ESV3KCRNaD7ajDu,https://api.spotify.com/v1/audio-analysis/3JRCle6ESV3KCRNaD7ajDu,201747.0,4.0
Oxygen,Winona Oak,1788057,swedish pop,0.639,0.601,7.0,-5.839,0.0,0.0519,0.162,0.0,0.0791,0.292,116.045,audio_features,64ouROglsBxfd84TpVlPQZ,spotify:track:64ouROglsBxfd84TpVlPQZ,https://api.spotify.com/v1/tracks/64ouROglsBxfd84TpVlPQZ,https://api.spotify.com/v1/audio-analysis/64ouROglsBxfd84TpVlPQZ,192080.0,4.0
Piano in the Sky,Winona Oak,6207552,swedish pop,0.501,0.309,7.0,-10.192,0.0,0.0398,0.864,1.52e-06,0.102,0.0813,91.885,audio_features,2fOW155ruGcjxBdKoYFys4,spotify:track:2fOW155ruGcjxBdKoYFys4,https://api.spotify.com/v1/tracks/2fOW155ruGcjxBdKoYFys4,https://api.spotify.com/v1/audio-analysis/2fOW155ruGcjxBdKoYFys4,190253.0,4.0
Radio,Winona Oak,2344,swedish pop,0.617,0.768,0.0,-6.22,1.0,0.0456,0.0245,0.0,0.169,0.384,130.0,audio_features,0OehfujG8725Lfr00Nn7ZN,spotify:track:0OehfujG8725Lfr00Nn7ZN,https://api.spotify.com/v1/tracks/0OehfujG8725Lfr00Nn7ZN,https://api.spotify.com/v1/audio-analysis/0OehfujG8725Lfr00Nn7ZN,183092.0,4.0
SHE,Winona Oak,1798495,swedish pop,0.667,0.666,11.0,-5.789,0.0,0.0822,0.0439,0.000466,0.133,0.212,113.984,audio_features,2OvatSTHbdCybDA0o93mPo,spotify:track:2OvatSTHbdCybDA0o93mPo,https://api.spotify.com/v1/tracks/2OvatSTHbdCybDA0o93mPo,https://api.spotify.com/v1/audio-analysis/2OvatSTHbdCybDA0o93mPo,168420.0,4.0
Voices,Tusse,184000,swedish pop,0.503,0.759,10.0,-5.222,0.0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,audio_features,5zxZ7M4RgWZUHlMEwac8vt,spotify:track:5zxZ7M4RgWZUHlMEwac8vt,https://api.spotify.com/v1/tracks/5zxZ7M4RgWZUHlMEwac8vt,https://api.spotify.com/v1/audio-analysis/5zxZ7M4RgWZUHlMEwac8vt,184000.0,4.0
With Myself,Winona Oak,1242203,swedish pop,0.75,0.708,3.0,-7.132,1.0,0.0629,0.156,1.01e-06,0.0954,0.38,110.994,audio_features,1e2HAlEuK8NAEYwXbr1BAO,spotify:track:1e2HAlEuK8NAEYwXbr1BAO,https://api.spotify.com/v1/tracks/1e2HAlEuK8NAEYwXbr1BAO,https://api.spotify.com/v1/audio-analysis/1e2HAlEuK8NAEYwXbr1BAO,189794.0,4.0
