trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All Eyes On Me,VALORANT,160660,video game music,0.732,0.777,0.0,-5.253,1.0,0.111,0.00202,0.667,0.268,0.536,160.061,audio_features,7DRDufzLV8vbLRPdkJIqWq,spotify:track:7DRDufzLV8vbLRPdkJIqWq,https://api.spotify.com/v1/tracks/7DRDufzLV8vbLRPdkJIqWq,https://api.spotify.com/v1/audio-analysis/7DRDufzLV8vbLRPdkJIqWq,160500.0,4.0
Alone (End Credits),Mikko Tarmia,138842,video game music,0.257,0.113,5.0,-18.99,0.0,0.0386,0.936,0.93,0.102,0.0417,134.506,audio_features,6ystEVEaGFiGAm5KG01v8U,spotify:track:6ystEVEaGFiGAm5KG01v8U,https://api.spotify.com/v1/tracks/6ystEVEaGFiGAm5KG01v8U,https://api.spotify.com/v1/audio-analysis/6ystEVEaGFiGAm5KG01v8U,138842.0,3.0
Die For You,VALORANT,12827397,video game music,0.598,0.705,11.0,-5.462,1.0,0.0333,0.0826,1.8e-05,0.133,0.104,95.018,audio_features,2lz3zjQ5QCVXiyOzIk02vW,spotify:track:2lz3zjQ5QCVXiyOzIk02vW,https://api.spotify.com/v1/tracks/2lz3zjQ5QCVXiyOzIk02vW,https://api.spotify.com/v1/audio-analysis/2lz3zjQ5QCVXiyOzIk02vW,212927.0,4.0
Echo-216,Gareth Coker,15836,video game music,0.522,0.0534,0.0,-22.077,1.0,0.0368,0.755,0.883,0.0933,0.142,119.924,audio_features,1tQb4UZQyNpLOZKbSY3h13,spotify:track:1tQb4UZQyNpLOZKbSY3h13,https://api.spotify.com/v1/tracks/1tQb4UZQyNpLOZKbSY3h13,https://api.spotify.com/v1/audio-analysis/1tQb4UZQyNpLOZKbSY3h13,204640.0,4.0
Escharum,Gareth Coker,23944,video game music,0.548,0.329,9.0,-18.558,0.0,0.0304,0.0824,0.7,0.125,0.0869,89.963,audio_features,48Iv63pZwL1ok47qTk18Ly,spotify:track:48Iv63pZwL1ok47qTk18Ly,https://api.spotify.com/v1/tracks/48Iv63pZwL1ok47qTk18Ly,https://api.spotify.com/v1/audio-analysis/48Iv63pZwL1ok47qTk18Ly,256000.0,4.0
Fire Again,VALORANT,2185198,video game music,0.516,0.789,0.0,-3.678,1.0,0.163,0.000522,0.00206,0.289,0.266,99.998,audio_features,02rlJHfeHfAe7ozTFnDbGi,spotify:track:02rlJHfeHfAe7ozTFnDbGi,https://api.spotify.com/v1/tracks/02rlJHfeHfAe7ozTFnDbGi,https://api.spotify.com/v1/audio-analysis/02rlJHfeHfAe7ozTFnDbGi,206777.0,4.0
Karanlığın,VALORANT,508878,video game music,0.556,0.916,2.0,-5.831,1.0,0.0483,0.0503,0.595,0.114,0.271,100.965,audio_features,2iPaXFJC1ggCQQ9s28uwBb,spotify:track:2iPaXFJC1ggCQQ9s28uwBb,https://api.spotify.com/v1/tracks/2iPaXFJC1ggCQQ9s28uwBb,https://api.spotify.com/v1/audio-analysis/2iPaXFJC1ggCQQ9s28uwBb,215941.0,4.0
Know My Legend,Gareth Coker,136840,video game music,0.609,0.376,2.0,-17.01,1.0,0.0345,0.117,0.829,0.104,0.28,97.984,audio_features,2GnDvcAdzupWmp5ungDKa6,spotify:track:2GnDvcAdzupWmp5ungDKa6,https://api.spotify.com/v1/tracks/2GnDvcAdzupWmp5ungDKa6,https://api.spotify.com/v1/audio-analysis/2GnDvcAdzupWmp5ungDKa6,136840.0,4.0
RAJA,VALORANT,581524,video game music,0.554,0.856,2.0,-3.257,1.0,0.294,0.153,0.0,0.106,0.44,171.924,audio_features,2MpRCWHaa8KzG4uXFbYl4v,spotify:track:2MpRCWHaa8KzG4uXFbYl4v,https://api.spotify.com/v1/tracks/2MpRCWHaa8KzG4uXFbYl4v,https://api.spotify.com/v1/audio-analysis/2MpRCWHaa8KzG4uXFbYl4v,232326.0,4.0
The Road,Gareth Coker,126306,video game music,0.62,0.555,1.0,-14.984,0.0,0.0726,0.0781,0.878,0.303,0.0619,179.979,audio_features,6C3uCSq3u8qrAdjzlDYl1N,spotify:track:6C3uCSq3u8qrAdjzlDYl1N,https://api.spotify.com/v1/tracks/6C3uCSq3u8qrAdjzlDYl1N,https://api.spotify.com/v1/audio-analysis/6C3uCSq3u8qrAdjzlDYl1N,126307.0,3.0
The Trials,Kazuma Jinnouchi,15967,video game music,0.474,0.838,4.0,-9.744,0.0,0.102,0.017,0.683,0.106,0.133,94.507,audio_features,4Dva3VRpPIKzvfOZkZy3IY,spotify:track:4Dva3VRpPIKzvfOZkZy3IY,https://api.spotify.com/v1/tracks/4Dva3VRpPIKzvfOZkZy3IY,https://api.spotify.com/v1/audio-analysis/4Dva3VRpPIKzvfOZkZy3IY,253693.0,3.0
All Eyes On Me,VALORANT,160660,video game music,0.732,0.777,0.0,-5.253,1.0,0.111,0.00202,0.667,0.268,0.536,160.061,audio_features,7DRDufzLV8vbLRPdkJIqWq,spotify:track:7DRDufzLV8vbLRPdkJIqWq,https://api.spotify.com/v1/tracks/7DRDufzLV8vbLRPdkJIqWq,https://api.spotify.com/v1/audio-analysis/7DRDufzLV8vbLRPdkJIqWq,160500.0,4.0
Alone (End Credits),Mikko Tarmia,138842,video game music,0.257,0.113,5.0,-18.99,0.0,0.0386,0.936,0.93,0.102,0.0417,134.506,audio_features,6ystEVEaGFiGAm5KG01v8U,spotify:track:6ystEVEaGFiGAm5KG01v8U,https://api.spotify.com/v1/tracks/6ystEVEaGFiGAm5KG01v8U,https://api.spotify.com/v1/audio-analysis/6ystEVEaGFiGAm5KG01v8U,138842.0,3.0
Die For You,VALORANT,12827397,video game music,0.598,0.705,11.0,-5.462,1.0,0.0333,0.0826,1.8e-05,0.133,0.104,95.018,audio_features,2lz3zjQ5QCVXiyOzIk02vW,spotify:track:2lz3zjQ5QCVXiyOzIk02vW,https://api.spotify.com/v1/tracks/2lz3zjQ5QCVXiyOzIk02vW,https://api.spotify.com/v1/audio-analysis/2lz3zjQ5QCVXiyOzIk02vW,212927.0,4.0
Echo-216,Gareth Coker,15836,video game music,0.522,0.0534,0.0,-22.077,1.0,0.0368,0.755,0.883,0.0933,0.142,119.924,audio_features,1tQb4UZQyNpLOZKbSY3h13,spotify:track:1tQb4UZQyNpLOZKbSY3h13,https://api.spotify.com/v1/tracks/1tQb4UZQyNpLOZKbSY3h13,https://api.spotify.com/v1/audio-analysis/1tQb4UZQyNpLOZKbSY3h13,204640.0,4.0
Escharum,Gareth Coker,23944,video game music,0.548,0.329,9.0,-18.558,0.0,0.0304,0.0824,0.7,0.125,0.0869,89.963,audio_features,48Iv63pZwL1ok47qTk18Ly,spotify:track:48Iv63pZwL1ok47qTk18Ly,https://api.spotify.com/v1/tracks/48Iv63pZwL1ok47qTk18Ly,https://api.spotify.com/v1/audio-analysis/48Iv63pZwL1ok47qTk18Ly,256000.0,4.0
Fire Again,VALORANT,2185198,video game music,0.516,0.789,0.0,-3.678,1.0,0.163,0.000522,0.00206,0.289,0.266,99.998,audio_features,02rlJHfeHfAe7ozTFnDbGi,spotify:track:02rlJHfeHfAe7ozTFnDbGi,https://api.spotify.com/v1/tracks/02rlJHfeHfAe7ozTFnDbGi,https://api.spotify.com/v1/audio-analysis/02rlJHfeHfAe7ozTFnDbGi,206777.0,4.0
Karanlığın,VALORANT,508878,video game music,0.556,0.916,2.0,-5.831,1.0,0.0483,0.0503,0.595,0.114,0.271,100.965,audio_features,2iPaXFJC1ggCQQ9s28uwBb,spotify:track:2iPaXFJC1ggCQQ9s28uwBb,https://api.spotify.com/v1/tracks/2iPaXFJC1ggCQQ9s28uwBb,https://api.spotify.com/v1/audio-analysis/2iPaXFJC1ggCQQ9s28uwBb,215941.0,4.0
Know My Legend,Gareth Coker,136840,video game music,0.609,0.376,2.0,-17.01,1.0,0.0345,0.117,0.829,0.104,0.28,97.984,audio_features,2GnDvcAdzupWmp5ungDKa6,spotify:track:2GnDvcAdzupWmp5ungDKa6,https://api.spotify.com/v1/tracks/2GnDvcAdzupWmp5ungDKa6,https://api.spotify.com/v1/audio-analysis/2GnDvcAdzupWmp5ungDKa6,136840.0,4.0
RAJA,VALORANT,581524,video game music,0.554,0.856,2.0,-3.257,1.0,0.294,0.153,0.0,0.106,0.44,171.924,audio_features,2MpRCWHaa8KzG4uXFbYl4v,spotify:track:2MpRCWHaa8KzG4uXFbYl4v,https://api.spotify.com/v1/tracks/2MpRCWHaa8KzG4uXFbYl4v,https://api.spotify.com/v1/audio-analysis/2MpRCWHaa8KzG4uXFbYl4v,232326.0,4.0
The Road,Gareth Coker,126306,video game music,0.62,0.555,1.0,-14.984,0.0,0.0726,0.0781,0.878,0.303,0.0619,179.979,audio_features,6C3uCSq3u8qrAdjzlDYl1N,spotify:track:6C3uCSq3u8qrAdjzlDYl1N,https://api.spotify.com/v1/tracks/6C3uCSq3u8qrAdjzlDYl1N,https://api.spotify.com/v1/audio-analysis/6C3uCSq3u8qrAdjzlDYl1N,126307.0,3.0
The Trials,Kazuma Jinnouchi,15967,video game music,0.474,0.838,4.0,-9.744,0.0,0.102,0.017,0.683,0.106,0.133,94.507,audio_features,4Dva3VRpPIKzvfOZkZy3IY,spotify:track:4Dva3VRpPIKzvfOZkZy3IY,https://api.spotify.com/v1/tracks/4Dva3VRpPIKzvfOZkZy3IY,https://api.spotify.com/v1/audio-analysis/4Dva3VRpPIKzvfOZkZy3IY,253693.0,3.0
