trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All Time,Kurt Hugo Schneider,0,viral pop,0.303,0.393,0.0,-8.926,1.0,0.0458,0.777,0.000102,0.106,0.396,180.23,audio_features,4AKZMzmEUmT0MoR3xisgHM,spotify:track:4AKZMzmEUmT0MoR3xisgHM,https://api.spotify.com/v1/tracks/4AKZMzmEUmT0MoR3xisgHM,https://api.spotify.com/v1/audio-analysis/4AKZMzmEUmT0MoR3xisgHM,200972.0,4.0
happy for you,Jasmine Thompson,872315,viral pop,0.462,0.338,3.0,-8.788,1.0,0.045,0.824,0.0,0.129,0.416,139.845,audio_features,27KDaaYxMJgJcyixSP7oHO,spotify:track:27KDaaYxMJgJcyixSP7oHO,https://api.spotify.com/v1/tracks/27KDaaYxMJgJcyixSP7oHO,https://api.spotify.com/v1/audio-analysis/27KDaaYxMJgJcyixSP7oHO,165990.0,4.0
Blueberry Eyes (feat. SUGA of BTS),MAX,130545,viral pop,0.746,0.611,0.0,-7.034,0.0,0.101,0.454,0.000922,0.133,0.411,149.967,audio_features,5dn6QANKbf76pANGjMBida,spotify:track:5dn6QANKbf76pANGjMBida,https://api.spotify.com/v1/tracks/5dn6QANKbf76pANGjMBida,https://api.spotify.com/v1/audio-analysis/5dn6QANKbf76pANGjMBida,172245.0,4.0
Butterflies,MAX,2107024,viral pop,0.7,0.613,11.0,-4.041,1.0,0.0408,0.385,0.0,0.0887,0.42,88.084,audio_features,7eQHxigpuDJjCG50JyzU8v,spotify:track:7eQHxigpuDJjCG50JyzU8v,https://api.spotify.com/v1/tracks/7eQHxigpuDJjCG50JyzU8v,https://api.spotify.com/v1/audio-analysis/7eQHxigpuDJjCG50JyzU8v,191250.0,4.0
Die For You,Joji,2434155,viral pop,0.472,0.518,8.0,-7.379,1.0,0.051,0.383,0.127,0.289,0.154,147.805,audio_features,26hOm7dTtBi0TdpDGl141t,spotify:track:26hOm7dTtBi0TdpDGl141t,https://api.spotify.com/v1/tracks/26hOm7dTtBi0TdpDGl141t,https://api.spotify.com/v1/audio-analysis/26hOm7dTtBi0TdpDGl141t,211667.0,4.0
Falling In Love,Kurt Hugo Schneider,211436,viral pop,0.69,0.352,7.0,-10.348,1.0,0.0286,0.471,0.0,0.0955,0.263,128.044,audio_features,1lk7XKml3xru8taOpI1bih,spotify:track:1lk7XKml3xru8taOpI1bih,https://api.spotify.com/v1/tracks/1lk7XKml3xru8taOpI1bih,https://api.spotify.com/v1/audio-analysis/1lk7XKml3xru8taOpI1bih,211436.0,4.0
Gimme Love,Joji,1086182,viral pop,0.484,0.632,5.0,-6.917,1.0,0.0976,0.695,0.0243,0.209,0.0736,126.384,audio_features,0HItcI6qN6Dr4MC3CZryQh,spotify:track:0HItcI6qN6Dr4MC3CZryQh,https://api.spotify.com/v1/tracks/0HItcI6qN6Dr4MC3CZryQh,https://api.spotify.com/v1/audio-analysis/0HItcI6qN6Dr4MC3CZryQh,214558.0,3.0
Glimpse of Us,Joji,21676335,viral pop,0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,233456.0,3.0
Just A Dream,Joseph Vincent,148640,viral pop,0.757,0.363,6.0,-11.731,1.0,0.0578,0.476,0.0,0.0938,0.456,90.025,audio_features,1gHliV4RwsD5t4YjRdjaK4,spotify:track:1gHliV4RwsD5t4YjRdjaK4,https://api.spotify.com/v1/tracks/1gHliV4RwsD5t4YjRdjaK4,https://api.spotify.com/v1/audio-analysis/1gHliV4RwsD5t4YjRdjaK4,148677.0,4.0
Run,Joji,3019467,viral pop,0.448,0.72,7.0,-3.954,1.0,0.0332,0.0427,0.000292,0.614,0.361,157.919,audio_features,3AkdSFo7quCZ781KCqNK0T,spotify:track:3AkdSFo7quCZ781KCqNK0T,https://api.spotify.com/v1/tracks/3AkdSFo7quCZ781KCqNK0T,https://api.spotify.com/v1/audio-analysis/3AkdSFo7quCZ781KCqNK0T,195000.0,3.0
